#    L    TT             EE             BB             TE          
     2    0.10756E+04    0.34930E-01    0.16185E-04    0.27970E+01
     3    0.10122E+04    0.47092E-01    0.16431E-04    0.32152E+01
     4    0.95260E+03    0.43408E-01    0.14281E-04    0.30813E+01
     5    0.90783E+03    0.31195E-01    0.11172E-04    0.26800E+01
     6    0.87662E+03    0.18738E-01    0.81599E-05    0.22028E+01
     7    0.85606E+03    0.10305E-01    0.58106E-05    0.17592E+01
     8    0.84300E+03    0.61068E-02    0.42835E-05    0.14007E+01
     9    0.83582E+03    0.44776E-02    0.35052E-05    0.11420E+01
    10    0.83298E+03    0.38101E-02    0.33060E-05    0.98090E+00
    11    0.83302E+03    0.33191E-02    0.35027E-05    0.90327E+00
    12    0.83654E+03    0.29938E-02    0.39487E-05    0.89094E+00
    13    0.84181E+03    0.26100E-02    0.45501E-05    0.91964E+00
    14    0.84783E+03    0.25288E-02    0.52356E-05    0.96585E+00
    15    0.85501E+03    0.26848E-02    0.59764E-05    0.10219E+01
    16    0.86385E+03    0.29134E-02    0.67571E-05    0.10846E+01
    17    0.87434E+03    0.33010E-02    0.75713E-05    0.11494E+01
    18    0.88556E+03    0.37987E-02    0.84152E-05    0.12137E+01
    19    0.89832E+03    0.44145E-02    0.92876E-05    0.12777E+01
    20    0.91092E+03    0.52119E-02    0.10188E-04    0.13401E+01
    21    0.92373E+03    0.61532E-02    0.11114E-04    0.14051E+01
    22    0.93706E+03    0.72599E-02    0.12066E-04    0.14754E+01
    23    0.95075E+03    0.85327E-02    0.13041E-04    0.15474E+01
    24    0.96484E+03    0.99401E-02    0.14037E-04    0.16167E+01
    25    0.97928E+03    0.11513E-01    0.15054E-04    0.16822E+01
    26    0.99390E+03    0.13253E-01    0.16087E-04    0.17443E+01
    27    0.10089E+04    0.15146E-01    0.17139E-04    0.18004E+01
    28    0.10242E+04    0.17204E-01    0.18208E-04    0.18483E+01
    29    0.10399E+04    0.19444E-01    0.19295E-04    0.18884E+01
    30    0.10558E+04    0.21889E-01    0.20398E-04    0.19201E+01
    31    0.10717E+04    0.24544E-01    0.21514E-04    0.19443E+01
    32    0.10880E+04    0.27401E-01    0.22643E-04    0.19613E+01
    33    0.11047E+04    0.30463E-01    0.23781E-04    0.19695E+01
    34    0.11215E+04    0.33749E-01    0.24928E-04    0.19680E+01
    35    0.11384E+04    0.37275E-01    0.26079E-04    0.19591E+01
    36    0.11555E+04    0.41055E-01    0.27233E-04    0.19441E+01
    37    0.11726E+04    0.45080E-01    0.28390E-04    0.19194E+01
    38    0.11901E+04    0.49342E-01    0.29552E-04    0.18834E+01
    39    0.12080E+04    0.53847E-01    0.30717E-04    0.18362E+01
    40    0.12260E+04    0.58605E-01    0.31881E-04    0.17783E+01
    41    0.12443E+04    0.63635E-01    0.33039E-04    0.17096E+01
    42    0.12625E+04    0.68944E-01    0.34192E-04    0.16294E+01
    43    0.12809E+04    0.74542E-01    0.35337E-04    0.15368E+01
    44    0.12993E+04    0.80420E-01    0.36474E-04    0.14315E+01
    45    0.13181E+04    0.86582E-01    0.37603E-04    0.13135E+01
    46    0.13371E+04    0.93033E-01    0.38722E-04    0.11812E+01
    47    0.13562E+04    0.99769E-01    0.39830E-04    0.10352E+01
    48    0.13755E+04    0.10679E+00    0.40925E-04    0.88001E+00
    49    0.13949E+04    0.11408E+00    0.42006E-04    0.71915E+00
    50    0.14146E+04    0.12161E+00    0.43071E-04    0.54951E+00
    51    0.14346E+04    0.12935E+00    0.44119E-04    0.36653E+00
    52    0.14549E+04    0.13739E+00    0.45149E-04    0.16543E+00
    53    0.14752E+04    0.14587E+00    0.46160E-04   -0.56716E-01
    54    0.14954E+04    0.15479E+00    0.47152E-04   -0.29490E+00
    55    0.15158E+04    0.16412E+00    0.48123E-04   -0.54399E+00
    56    0.15365E+04    0.17374E+00    0.49073E-04   -0.80512E+00
    57    0.15576E+04    0.18352E+00    0.50000E-04   -0.10782E+01
    58    0.15789E+04    0.19348E+00    0.50904E-04   -0.13639E+01
    59    0.16004E+04    0.20364E+00    0.51784E-04   -0.16633E+01
    60    0.16220E+04    0.21405E+00    0.52638E-04   -0.19756E+01
    61    0.16442E+04    0.22482E+00    0.53466E-04   -0.23001E+01
    62    0.16662E+04    0.23592E+00    0.54266E-04   -0.26377E+01
    63    0.16883E+04    0.24731E+00    0.55039E-04   -0.29895E+01
    64    0.17108E+04    0.25902E+00    0.55784E-04   -0.33568E+01
    65    0.17333E+04    0.27101E+00    0.56500E-04   -0.37402E+01
    66    0.17562E+04    0.28323E+00    0.57187E-04   -0.41379E+01
    67    0.17793E+04    0.29567E+00    0.57845E-04   -0.45472E+01
    68    0.18028E+04    0.30837E+00    0.58473E-04   -0.49667E+01
    69    0.18264E+04    0.32129E+00    0.59070E-04   -0.53945E+01
    70    0.18504E+04    0.33447E+00    0.59636E-04   -0.58327E+01
    71    0.18745E+04    0.34789E+00    0.60170E-04   -0.62835E+01
    72    0.18988E+04    0.36153E+00    0.60672E-04   -0.67482E+01
    73    0.19233E+04    0.37535E+00    0.61142E-04   -0.72273E+01
    74    0.19479E+04    0.38934E+00    0.61581E-04   -0.77195E+01
    75    0.19729E+04    0.40351E+00    0.61988E-04   -0.82231E+01
    76    0.19981E+04    0.41786E+00    0.62363E-04   -0.87375E+01
    77    0.20237E+04    0.43238E+00    0.62706E-04   -0.92623E+01
    78    0.20497E+04    0.44710E+00    0.63018E-04   -0.97990E+01
    79    0.20758E+04    0.46196E+00    0.63297E-04   -0.10344E+02
    80    0.21023E+04    0.47696E+00    0.63545E-04   -0.10898E+02
    81    0.21289E+04    0.49205E+00    0.63761E-04   -0.11463E+02
    82    0.21559E+04    0.50726E+00    0.63945E-04   -0.12037E+02
    83    0.21830E+04    0.52256E+00    0.64097E-04   -0.12619E+02
    84    0.22103E+04    0.53794E+00    0.64217E-04   -0.13209E+02
    85    0.22379E+04    0.55337E+00    0.64305E-04   -0.13807E+02
    86    0.22656E+04    0.56887E+00    0.64361E-04   -0.14413E+02
    87    0.22937E+04    0.58441E+00    0.64386E-04   -0.15025E+02
    88    0.23218E+04    0.60000E+00    0.64380E-04   -0.15644E+02
    89    0.23503E+04    0.61562E+00    0.64342E-04   -0.16270E+02
    90    0.23790E+04    0.63124E+00    0.64274E-04   -0.16901E+02
    91    0.24079E+04    0.64685E+00    0.64176E-04   -0.17538E+02
    92    0.24370E+04    0.66244E+00    0.64048E-04   -0.18179E+02
    93    0.24665E+04    0.67799E+00    0.63891E-04   -0.18825E+02
    94    0.24960E+04    0.69347E+00    0.63705E-04   -0.19475E+02
    95    0.25258E+04    0.70888E+00    0.63492E-04   -0.20128E+02
    96    0.25556E+04    0.72421E+00    0.63252E-04   -0.20785E+02
    97    0.25859E+04    0.73943E+00    0.62985E-04   -0.21444E+02
    98    0.26164E+04    0.75454E+00    0.62692E-04   -0.22104E+02
    99    0.26470E+04    0.76951E+00    0.62374E-04   -0.22767E+02
   100    0.26778E+04    0.78433E+00    0.62031E-04   -0.23429E+02
   101    0.27088E+04    0.79906E+00    0.61665E-04   -0.24093E+02
   102    0.27404E+04    0.81355E+00    0.61275E-04   -0.24756E+02
   103    0.27718E+04    0.82788E+00    0.60863E-04   -0.25420E+02
   104    0.28035E+04    0.84205E+00    0.60429E-04   -0.26082E+02
   105    0.28354E+04    0.85598E+00    0.59974E-04   -0.26743E+02
   106    0.28674E+04    0.86975E+00    0.59497E-04   -0.27402E+02
   107    0.28994E+04    0.88320E+00    0.59001E-04   -0.28057E+02
   108    0.29318E+04    0.89641E+00    0.58486E-04   -0.28711E+02
   109    0.29644E+04    0.90931E+00    0.57952E-04   -0.29360E+02
   110    0.29970E+04    0.92189E+00    0.57399E-04   -0.30005E+02
   111    0.30297E+04    0.93424E+00    0.56830E-04   -0.30645E+02
   112    0.30627E+04    0.94627E+00    0.56243E-04   -0.31281E+02
   113    0.30958E+04    0.95798E+00    0.55641E-04   -0.31910E+02
   114    0.31290E+04    0.96931E+00    0.55024E-04   -0.32533E+02
   115    0.31625E+04    0.98039E+00    0.54393E-04   -0.33148E+02
   116    0.31959E+04    0.99101E+00    0.53749E-04   -0.33756E+02
   117    0.32297E+04    0.10012E+01    0.53092E-04   -0.34355E+02
   118    0.32636E+04    0.10112E+01    0.52423E-04   -0.34946E+02
   119    0.32974E+04    0.10208E+01    0.51744E-04   -0.35527E+02
   120    0.33315E+04    0.10299E+01    0.51054E-04   -0.36098E+02
   121    0.33655E+04    0.10387E+01    0.50356E-04   -0.36658E+02
   122    0.33996E+04    0.10470E+01    0.49648E-04   -0.37207E+02
   123    0.34337E+04    0.10548E+01    0.48934E-04   -0.37745E+02
   124    0.34679E+04    0.10622E+01    0.48212E-04   -0.38269E+02
   125    0.35021E+04    0.10692E+01    0.47485E-04   -0.38781E+02
   126    0.35363E+04    0.10757E+01    0.46752E-04   -0.39279E+02
   127    0.35705E+04    0.10817E+01    0.46015E-04   -0.39765E+02
   128    0.36047E+04    0.10874E+01    0.45275E-04   -0.40235E+02
   129    0.36390E+04    0.10925E+01    0.44532E-04   -0.40691E+02
   130    0.36732E+04    0.10970E+01    0.43787E-04   -0.41130E+02
   131    0.37074E+04    0.11012E+01    0.43040E-04   -0.41555E+02
   132    0.37416E+04    0.11048E+01    0.42294E-04   -0.41962E+02
   133    0.37758E+04    0.11079E+01    0.41547E-04   -0.42354E+02
   134    0.38099E+04    0.11106E+01    0.40802E-04   -0.42726E+02
   135    0.38440E+04    0.11128E+01    0.40057E-04   -0.43081E+02
