#    L    TT             EE             TE             PP             TP          
  1566    0.42878E+03    0.21261E+02    0.33927E+01    0.11785E+06    0.13497E+02
  1567    0.42642E+03    0.21333E+02    0.29708E+01    0.11770E+06    0.13337E+02
  1568    0.42411E+03    0.21405E+02    0.25439E+01    0.11755E+06    0.13178E+02
  1569    0.42185E+03    0.21474E+02    0.21115E+01    0.11740E+06    0.13019E+02
  1570    0.41963E+03    0.21541E+02    0.16741E+01    0.11725E+06    0.12862E+02
  1571    0.41745E+03    0.21607E+02    0.12322E+01    0.11710E+06    0.12705E+02
  1572    0.41530E+03    0.21667E+02    0.78468E+00    0.11695E+06    0.12550E+02
  1573    0.41319E+03    0.21727E+02    0.33278E+00    0.11680E+06    0.12395E+02
  1574    0.41114E+03    0.21782E+02   -0.12356E+00    0.11665E+06    0.12241E+02
  1575    0.40912E+03    0.21837E+02   -0.58401E+00    0.11650E+06    0.12088E+02
  1576    0.40715E+03    0.21887E+02   -0.10485E+01    0.11636E+06    0.11935E+02
  1577    0.40521E+03    0.21935E+02   -0.15167E+01    0.11621E+06    0.11784E+02
  1578    0.40332E+03    0.21981E+02   -0.19883E+01    0.11606E+06    0.11633E+02
  1579    0.40148E+03    0.22023E+02   -0.24633E+01    0.11591E+06    0.11484E+02
  1580    0.39966E+03    0.22064E+02   -0.29413E+01    0.11577E+06    0.11335E+02
  1581    0.39788E+03    0.22101E+02   -0.34222E+01    0.11562E+06    0.11187E+02
  1582    0.39616E+03    0.22136E+02   -0.39057E+01    0.11547E+06    0.11040E+02
  1583    0.39447E+03    0.22167E+02   -0.43916E+01    0.11533E+06    0.10895E+02
  1584    0.39283E+03    0.22196E+02   -0.48798E+01    0.11518E+06    0.10750E+02
  1585    0.39122E+03    0.22223E+02   -0.53698E+01    0.11504E+06    0.10606E+02
  1586    0.38967E+03    0.22246E+02   -0.58616E+01    0.11489E+06    0.10463E+02
  1587    0.38815E+03    0.22267E+02   -0.63550E+01    0.11475E+06    0.10321E+02
  1588    0.38668E+03    0.22285E+02   -0.68497E+01    0.11460E+06    0.10180E+02
  1589    0.38525E+03    0.22300E+02   -0.73455E+01    0.11446E+06    0.10040E+02
  1590    0.38385E+03    0.22312E+02   -0.78420E+01    0.11431E+06    0.99007E+01
  1591    0.38250E+03    0.22322E+02   -0.83391E+01    0.11417E+06    0.97628E+01
  1592    0.38119E+03    0.22329E+02   -0.88365E+01    0.11402E+06    0.96259E+01
  1593    0.37993E+03    0.22332E+02   -0.93342E+01    0.11388E+06    0.94900E+01
  1594    0.37869E+03    0.22334E+02   -0.98318E+01    0.11374E+06    0.93552E+01
  1595    0.37751E+03    0.22332E+02   -0.10329E+02    0.11359E+06    0.92214E+01
  1596    0.37637E+03    0.22327E+02   -0.10825E+02    0.11345E+06    0.90887E+01
  1597    0.37526E+03    0.22320E+02   -0.11321E+02    0.11331E+06    0.89571E+01
  1598    0.37420E+03    0.22309E+02   -0.11815E+02    0.11317E+06    0.88266E+01
  1599    0.37318E+03    0.22296E+02   -0.12308E+02    0.11302E+06    0.86973E+01
  1600    0.37220E+03    0.22281E+02   -0.12800E+02    0.11288E+06    0.85690E+01
  1601    0.37125E+03    0.22262E+02   -0.13290E+02    0.11274E+06    0.84418E+01
  1602    0.37034E+03    0.22240E+02   -0.13778E+02    0.11260E+06    0.83158E+01
  1603    0.36948E+03    0.22215E+02   -0.14264E+02    0.11246E+06    0.81909E+01
  1604    0.36866E+03    0.22188E+02   -0.14748E+02    0.11232E+06    0.80671E+01
  1605    0.36787E+03    0.22158E+02   -0.15228E+02    0.11218E+06    0.79445E+01
  1606    0.36712E+03    0.22125E+02   -0.15707E+02    0.11204E+06    0.78230E+01
  1607    0.36641E+03    0.22090E+02   -0.16184E+02    0.11190E+06    0.77026E+01
  1608    0.36573E+03    0.22052E+02   -0.16656E+02    0.11176E+06    0.75834E+01
  1609    0.36510E+03    0.22010E+02   -0.17126E+02    0.11162E+06    0.74653E+01
  1610    0.36451E+03    0.21966E+02   -0.17593E+02    0.11148E+06    0.73483E+01
  1611    0.36395E+03    0.21920E+02   -0.18056E+02    0.11134E+06    0.72325E+01
  1612    0.36343E+03    0.21870E+02   -0.18515E+02    0.11120E+06    0.71179E+01
  1613    0.36293E+03    0.21818E+02   -0.18971E+02    0.11106E+06    0.70044E+01
  1614    0.36249E+03    0.21764E+02   -0.19424E+02    0.11092E+06    0.68920E+01
  1615    0.36207E+03    0.21707E+02   -0.19871E+02    0.11079E+06    0.67808E+01
  1616    0.36169E+03    0.21647E+02   -0.20315E+02    0.11065E+06    0.66708E+01
  1617    0.36134E+03    0.21585E+02   -0.20754E+02    0.11051E+06    0.65619E+01
  1618    0.36103E+03    0.21521E+02   -0.21188E+02    0.11037E+06    0.64542E+01
  1619    0.36074E+03    0.21453E+02   -0.21618E+02    0.11024E+06    0.63476E+01
  1620    0.36050E+03    0.21383E+02   -0.22044E+02    0.11010E+06    0.62423E+01
  1621    0.36029E+03    0.21310E+02   -0.22464E+02    0.10996E+06    0.61380E+01
  1622    0.36011E+03    0.21236E+02   -0.22879E+02    0.10983E+06    0.60350E+01
  1623    0.35995E+03    0.21159E+02   -0.23289E+02    0.10969E+06    0.59331E+01
  1624    0.35983E+03    0.21080E+02   -0.23693E+02    0.10955E+06    0.58324E+01
  1625    0.35975E+03    0.20998E+02   -0.24092E+02    0.10942E+06    0.57328E+01
  1626    0.35969E+03    0.20914E+02   -0.24485E+02    0.10928E+06    0.56345E+01
  1627    0.35966E+03    0.20827E+02   -0.24873E+02    0.10915E+06    0.55373E+01
  1628    0.35966E+03    0.20739E+02   -0.25254E+02    0.10901E+06    0.54413E+01
  1629    0.35969E+03    0.20648E+02   -0.25629E+02    0.10888E+06    0.53465E+01
  1630    0.35975E+03    0.20555E+02   -0.25998E+02    0.10874E+06    0.52529E+01
  1631    0.35981E+03    0.20460E+02   -0.26361E+02    0.10861E+06    0.51604E+01
  1632    0.35993E+03    0.20362E+02   -0.26717E+02    0.10847E+06    0.50692E+01
  1633    0.36007E+03    0.20263E+02   -0.27066E+02    0.10834E+06    0.49791E+01
  1634    0.36024E+03    0.20162E+02   -0.27409E+02    0.10821E+06    0.48903E+01
  1635    0.36043E+03    0.20060E+02   -0.27745E+02    0.10807E+06    0.48026E+01
  1636    0.36064E+03    0.19953E+02   -0.28073E+02    0.10794E+06    0.47161E+01
  1637    0.36087E+03    0.19846E+02   -0.28396E+02    0.10781E+06    0.46309E+01
  1638    0.36113E+03    0.19738E+02   -0.28710E+02    0.10767E+06    0.45468E+01
  1639    0.36141E+03    0.19627E+02   -0.29018E+02    0.10754E+06    0.44640E+01
  1640    0.36172E+03    0.19514E+02   -0.29318E+02    0.10741E+06    0.43823E+01
  1641    0.36203E+03    0.19400E+02   -0.29611E+02    0.10728E+06    0.43019E+01
  1642    0.36238E+03    0.19284E+02   -0.29894E+02    0.10715E+06    0.42227E+01
  1643    0.36274E+03    0.19168E+02   -0.30172E+02    0.10701E+06    0.41447E+01
  1644    0.36311E+03    0.19048E+02   -0.30443E+02    0.10688E+06    0.40679E+01
  1645    0.36351E+03    0.18927E+02   -0.30704E+02    0.10675E+06    0.39923E+01
  1646    0.36391E+03    0.18805E+02   -0.30958E+02    0.10662E+06    0.39180E+01
  1647    0.36435E+03    0.18682E+02   -0.31202E+02    0.10649E+06    0.38448E+01
  1648    0.36480E+03    0.18557E+02   -0.31441E+02    0.10636E+06    0.37729E+01
  1649    0.36526E+03    0.18431E+02   -0.31670E+02    0.10623E+06    0.37023E+01
  1650    0.36573E+03    0.18303E+02   -0.31891E+02    0.10610E+06    0.36328E+01
  1651    0.36622E+03    0.18176E+02   -0.32105E+02    0.10597E+06    0.35646E+01
  1652    0.36673E+03    0.18045E+02   -0.32308E+02    0.10584E+06    0.34976E+01
  1653    0.36724E+03    0.17914E+02   -0.32503E+02    0.10571E+06    0.34319E+01
  1654    0.36776E+03    0.17782E+02   -0.32692E+02    0.10558E+06    0.33673E+01
  1655    0.36830E+03    0.17650E+02   -0.32869E+02    0.10545E+06    0.33040E+01
  1656    0.36885E+03    0.17516E+02   -0.33040E+02    0.10532E+06    0.32419E+01
  1657    0.36940E+03    0.17381E+02   -0.33201E+02    0.10520E+06    0.31810E+01
  1658    0.36997E+03    0.17245E+02   -0.33355E+02    0.10507E+06    0.31214E+01
  1659    0.37055E+03    0.17108E+02   -0.33499E+02    0.10494E+06    0.30629E+01
  1660    0.37113E+03    0.16971E+02   -0.33634E+02    0.10481E+06    0.30057E+01
  1661    0.37173E+03    0.16832E+02   -0.33762E+02    0.10468E+06    0.29497E+01
  1662    0.37232E+03    0.16693E+02   -0.33881E+02    0.10456E+06    0.28949E+01
  1663    0.37293E+03    0.16554E+02   -0.33990E+02    0.10443E+06    0.28413E+01
  1664    0.37353E+03    0.16413E+02   -0.34091E+02    0.10430E+06    0.27889E+01
  1665    0.37415E+03    0.16272E+02   -0.34184E+02    0.10418E+06    0.27377E+01
  1666    0.37477E+03    0.16131E+02   -0.34269E+02    0.10405E+06    0.26876E+01
  1667    0.37540E+03    0.15989E+02   -0.34343E+02    0.10392E+06    0.26388E+01
  1668    0.37603E+03    0.15847E+02   -0.34411E+02    0.10380E+06    0.25912E+01
  1669    0.37666E+03    0.15705E+02   -0.34468E+02    0.10367E+06    0.25448E+01
  1670    0.37729E+03    0.15562E+02   -0.34517E+02    0.10355E+06    0.24995E+01
  1671    0.37793E+03    0.15418E+02   -0.34559E+02    0.10342E+06    0.24555E+01
  1672    0.37857E+03    0.15274E+02   -0.34591E+02    0.10330E+06    0.24126E+01
  1673    0.37920E+03    0.15130E+02   -0.34615E+02    0.10317E+06    0.23709E+01
  1674    0.37985E+03    0.14987E+02   -0.34630E+02    0.10305E+06    0.23304E+01
  1675    0.38047E+03    0.14842E+02   -0.34637E+02    0.10292E+06    0.22911E+01
  1676    0.38111E+03    0.14697E+02   -0.34636E+02    0.10280E+06    0.22529E+01
  1677    0.38175E+03    0.14554E+02   -0.34626E+02    0.10267E+06    0.22159E+01
  1678    0.38237E+03    0.14409E+02   -0.34607E+02    0.10255E+06    0.21801E+01
  1679    0.38300E+03    0.14265E+02   -0.34581E+02    0.10243E+06    0.21455E+01
  1680    0.38362E+03    0.14121E+02   -0.34546E+02    0.10230E+06    0.21120E+01
  1681    0.38425E+03    0.13976E+02   -0.34502E+02    0.10218E+06    0.20797E+01
  1682    0.38485E+03    0.13832E+02   -0.34452E+02    0.10206E+06    0.20485E+01
  1683    0.38546E+03    0.13689E+02   -0.34393E+02    0.10193E+06    0.20185E+01
  1684    0.38607E+03    0.13546E+02   -0.34326E+02    0.10181E+06    0.19897E+01
  1685    0.38667E+03    0.13403E+02   -0.34251E+02    0.10169E+06    0.19620E+01
  1686    0.38726E+03    0.13262E+02   -0.34168E+02    0.10157E+06    0.19355E+01
  1687    0.38783E+03    0.13119E+02   -0.34077E+02    0.10144E+06    0.19101E+01
  1688    0.38841E+03    0.12978E+02   -0.33979E+02    0.10132E+06    0.18859E+01
  1689    0.38897E+03    0.12838E+02   -0.33872E+02    0.10120E+06    0.18628E+01
  1690    0.38952E+03    0.12698E+02   -0.33758E+02    0.10108E+06    0.18408E+01
  1691    0.39006E+03    0.12559E+02   -0.33638E+02    0.10096E+06    0.18200E+01
  1692    0.39060E+03    0.12420E+02   -0.33509E+02    0.10084E+06    0.18004E+01
  1693    0.39112E+03    0.12282E+02   -0.33373E+02    0.10072E+06    0.17818E+01
  1694    0.39162E+03    0.12146E+02   -0.33231E+02    0.10060E+06    0.17644E+01
  1695    0.39213E+03    0.12009E+02   -0.33081E+02    0.10048E+06    0.17482E+01
  1696    0.39261E+03    0.11874E+02   -0.32924E+02    0.10036E+06    0.17331E+01
  1697    0.39307E+03    0.11740E+02   -0.32761E+02    0.10024E+06    0.17190E+01
  1698    0.39353E+03    0.11607E+02   -0.32591E+02    0.10012E+06    0.17062E+01
  1699    0.39398E+03    0.11475E+02   -0.32413E+02    0.99997E+05    0.16944E+01
  1700    0.39440E+03    0.11343E+02   -0.32230E+02    0.99878E+05    0.16838E+01
  1701    0.39481E+03    0.11214E+02   -0.32040E+02    0.99759E+05    0.16743E+01
  1702    0.39521E+03    0.11085E+02   -0.31844E+02    0.99640E+05    0.16659E+01
  1703    0.39559E+03    0.10958E+02   -0.31643E+02    0.99521E+05    0.16586E+01
  1704    0.39595E+03    0.10831E+02   -0.31434E+02    0.99403E+05    0.16523E+01
  1705    0.39630E+03    0.10707E+02   -0.31220E+02    0.99284E+05    0.16472E+01
  1706    0.39663E+03    0.10582E+02   -0.30999E+02    0.99166E+05    0.16432E+01
  1707    0.39694E+03    0.10459E+02   -0.30774E+02    0.99048E+05    0.16402E+01
  1708    0.39724E+03    0.10338E+02   -0.30543E+02    0.98931E+05    0.16383E+01
  1709    0.39752E+03    0.10219E+02   -0.30306E+02    0.98813E+05    0.16374E+01
  1710    0.39777E+03    0.10102E+02   -0.30063E+02    0.98696E+05    0.16375E+01
  1711    0.39801E+03    0.99863E+01   -0.29814E+02    0.98579E+05    0.16387E+01
  1712    0.39823E+03    0.98707E+01   -0.29561E+02    0.98462E+05    0.16410E+01
  1713    0.39843E+03    0.97572E+01   -0.29303E+02    0.98345E+05    0.16442E+01
  1714    0.39861E+03    0.96459E+01   -0.29039E+02    0.98229E+05    0.16484E+01
  1715    0.39877E+03    0.95352E+01   -0.28771E+02    0.98112E+05    0.16537E+01
  1716    0.39892E+03    0.94266E+01   -0.28498E+02    0.97996E+05    0.16599E+01
  1717    0.39904E+03    0.93194E+01   -0.28221E+02    0.97880E+05    0.16671E+01
  1718    0.39913E+03    0.92143E+01   -0.27939E+02    0.97765E+05    0.16753E+01
  1719    0.39921E+03    0.91105E+01   -0.27652E+02    0.97649E+05    0.16844E+01
  1720    0.39927E+03    0.90089E+01   -0.27362E+02    0.97534E+05    0.16945E+01
  1721    0.39931E+03    0.89092E+01   -0.27067E+02    0.97419E+05    0.17055E+01
  1722    0.39934E+03    0.88102E+01   -0.26769E+02    0.97304E+05    0.17175E+01
  1723    0.39934E+03    0.87132E+01   -0.26466E+02    0.97189E+05    0.17304E+01
  1724    0.39931E+03    0.86189E+01   -0.26161E+02    0.97074E+05    0.17442E+01
  1725    0.39926E+03    0.85252E+01   -0.25851E+02    0.96960E+05    0.17590E+01
  1726    0.39919E+03    0.84342E+01   -0.25539E+02    0.96846E+05    0.17746E+01
  1727    0.39910E+03    0.83444E+01   -0.25223E+02    0.96732E+05    0.17911E+01
  1728    0.39899E+03    0.82582E+01   -0.24904E+02    0.96618E+05    0.18085E+01
  1729    0.39886E+03    0.81731E+01   -0.24582E+02    0.96504E+05    0.18268E+01
  1730    0.39870E+03    0.80893E+01   -0.24257E+02    0.96391E+05    0.18460E+01
  1731    0.39852E+03    0.80074E+01   -0.23930E+02    0.96278E+05    0.18660E+01
  1732    0.39831E+03    0.79274E+01   -0.23600E+02    0.96165E+05    0.18869E+01
  1733    0.39809E+03    0.78500E+01   -0.23268E+02    0.96052E+05    0.19086E+01
  1734    0.39784E+03    0.77739E+01   -0.22934E+02    0.95939E+05    0.19311E+01
  1735    0.39757E+03    0.77004E+01   -0.22596E+02    0.95827E+05    0.19545E+01
  1736    0.39728E+03    0.76280E+01   -0.22259E+02    0.95714E+05    0.19787E+01
  1737    0.39696E+03    0.75589E+01   -0.21919E+02    0.95602E+05    0.20037E+01
  1738    0.39662E+03    0.74910E+01   -0.21578E+02    0.95490E+05    0.20294E+01
  1739    0.39627E+03    0.74256E+01   -0.21235E+02    0.95379E+05    0.20560E+01
  1740    0.39588E+03    0.73621E+01   -0.20892E+02    0.95267E+05    0.20834E+01
  1741    0.39549E+03    0.73004E+01   -0.20546E+02    0.95156E+05    0.21115E+01
  1742    0.39506E+03    0.72413E+01   -0.20201E+02    0.95045E+05    0.21404E+01
  1743    0.39461E+03    0.71839E+01   -0.19854E+02    0.94934E+05    0.21701E+01
  1744    0.39414E+03    0.71291E+01   -0.19508E+02    0.94823E+05    0.22004E+01
  1745    0.39364E+03    0.70753E+01   -0.19161E+02    0.94712E+05    0.22316E+01
  1746    0.39312E+03    0.70248E+01   -0.18813E+02    0.94602E+05    0.22634E+01
  1747    0.39259E+03    0.69767E+01   -0.18466E+02    0.94491E+05    0.22960E+01
  1748    0.39202E+03    0.69311E+01   -0.18119E+02    0.94381E+05    0.23293E+01
  1749    0.39143E+03    0.68865E+01   -0.17771E+02    0.94272E+05    0.23633E+01
  1750    0.39082E+03    0.68443E+01   -0.17425E+02    0.94162E+05    0.23980E+01
  1751    0.39019E+03    0.68039E+01   -0.17080E+02    0.94052E+05    0.24334E+01
  1752    0.38954E+03    0.67651E+01   -0.16734E+02    0.93943E+05    0.24694E+01
  1753    0.38887E+03    0.67280E+01   -0.16390E+02    0.93834E+05    0.25061E+01
  1754    0.38817E+03    0.66940E+01   -0.16047E+02    0.93725E+05    0.25435E+01
  1755    0.38746E+03    0.66629E+01   -0.15705E+02    0.93616E+05    0.25815E+01
  1756    0.38673E+03    0.66329E+01   -0.15364E+02    0.93507E+05    0.26202E+01
  1757    0.38597E+03    0.66052E+01   -0.15025E+02    0.93399E+05    0.26595E+01
  1758    0.38518E+03    0.65794E+01   -0.14687E+02    0.93291E+05    0.26994E+01
  1759    0.38438E+03    0.65559E+01   -0.14352E+02    0.93183E+05    0.27399E+01
  1760    0.38356E+03    0.65346E+01   -0.14017E+02    0.93075E+05    0.27810E+01
  1761    0.38271E+03    0.65154E+01   -0.13684E+02    0.92967E+05    0.28226E+01
  1762    0.38184E+03    0.64981E+01   -0.13354E+02    0.92860E+05    0.28649E+01
  1763    0.38096E+03    0.64832E+01   -0.13025E+02    0.92752E+05    0.29077E+01
  1764    0.38007E+03    0.64704E+01   -0.12698E+02    0.92645E+05    0.29511E+01
  1765    0.37914E+03    0.64594E+01   -0.12374E+02    0.92538E+05    0.29950E+01
  1766    0.37820E+03    0.64505E+01   -0.12053E+02    0.92431E+05    0.30395E+01
  1767    0.37724E+03    0.64436E+01   -0.11733E+02    0.92324E+05    0.30845E+01
  1768    0.37625E+03    0.64388E+01   -0.11416E+02    0.92218E+05    0.31300E+01
  1769    0.37526E+03    0.64359E+01   -0.11103E+02    0.92112E+05    0.31760E+01
  1770    0.37423E+03    0.64349E+01   -0.10791E+02    0.92006E+05    0.32226E+01
  1771    0.37320E+03    0.64361E+01   -0.10483E+02    0.91900E+05    0.32696E+01
  1772    0.37215E+03    0.64390E+01   -0.10178E+02    0.91794E+05    0.33170E+01
  1773    0.37107E+03    0.64439E+01   -0.98754E+01    0.91688E+05    0.33650E+01
  1774    0.36998E+03    0.64507E+01   -0.95775E+01    0.91583E+05    0.34134E+01
  1775    0.36888E+03    0.64594E+01   -0.92824E+01    0.91477E+05    0.34622E+01
  1776    0.36776E+03    0.64698E+01   -0.89902E+01    0.91372E+05    0.35115E+01
  1777    0.36661E+03    0.64823E+01   -0.87029E+01    0.91267E+05    0.35612E+01
  1778    0.36545E+03    0.64965E+01   -0.84185E+01    0.91163E+05    0.36114E+01
  1779    0.36428E+03    0.65125E+01   -0.81382E+01    0.91058E+05    0.36619E+01
  1780    0.36310E+03    0.65303E+01   -0.78614E+01    0.90954E+05    0.37128E+01
  1781    0.36190E+03    0.65498E+01   -0.75888E+01    0.90850E+05    0.37642E+01
  1782    0.36067E+03    0.65711E+01   -0.73204E+01    0.90745E+05    0.38159E+01
  1783    0.35944E+03    0.65941E+01   -0.70560E+01    0.90642E+05    0.38679E+01
  1784    0.35820E+03    0.66186E+01   -0.67951E+01    0.90538E+05    0.39203E+01
  1785    0.35694E+03    0.66449E+01   -0.65397E+01    0.90434E+05    0.39731E+01
  1786    0.35567E+03    0.66728E+01   -0.62884E+01    0.90331E+05    0.40262E+01
  1787    0.35439E+03    0.67024E+01   -0.60412E+01    0.90228E+05    0.40797E+01
  1788    0.35310E+03    0.67334E+01   -0.58002E+01    0.90125E+05    0.41334E+01
  1789    0.35179E+03    0.67660E+01   -0.55624E+01    0.90022E+05    0.41875E+01
  1790    0.35047E+03    0.68000E+01   -0.53301E+01    0.89919E+05    0.42418E+01
  1791    0.34914E+03    0.68356E+01   -0.51033E+01    0.89816E+05    0.42965E+01
  1792    0.34780E+03    0.68725E+01   -0.48804E+01    0.89714E+05    0.43514E+01
  1793    0.34644E+03    0.69109E+01   -0.46628E+01    0.89612E+05    0.44066E+01
  1794    0.34509E+03    0.69506E+01   -0.44507E+01    0.89510E+05    0.44621E+01
  1795    0.34373E+03    0.69918E+01   -0.42438E+01    0.89408E+05    0.45178E+01
  1796    0.34232E+03    0.70343E+01   -0.40416E+01    0.89306E+05    0.45737E+01
  1797    0.34095E+03    0.70779E+01   -0.38454E+01    0.89205E+05    0.46299E+01
  1798    0.33955E+03    0.71227E+01   -0.36537E+01    0.89103E+05    0.46863E+01
  1799    0.33815E+03    0.71689E+01   -0.34681E+01    0.89002E+05    0.47429E+01
  1800    0.33674E+03    0.72162E+01   -0.32884E+01    0.88901E+05    0.47997E+01
  1801    0.33533E+03    0.72646E+01   -0.31136E+01    0.88800E+05    0.48566E+01
  1802    0.33393E+03    0.73141E+01   -0.29448E+01    0.88699E+05    0.49138E+01
  1803    0.33250E+03    0.73647E+01   -0.27822E+01    0.88599E+05    0.49711E+01
  1804    0.33107E+03    0.74162E+01   -0.26243E+01    0.88498E+05    0.50286E+01
  1805    0.32963E+03    0.74689E+01   -0.24727E+01    0.88398E+05    0.50863E+01
  1806    0.32819E+03    0.75226E+01   -0.23267E+01    0.88298E+05    0.51441E+01
  1807    0.32675E+03    0.75773E+01   -0.21867E+01    0.88198E+05    0.52021E+01
  1808    0.32530E+03    0.76327E+01   -0.20522E+01    0.88098E+05    0.52601E+01
  1809    0.32385E+03    0.76889E+01   -0.19237E+01    0.87999E+05    0.53183E+01
  1810    0.32240E+03    0.77462E+01   -0.18012E+01    0.87899E+05    0.53767E+01
  1811    0.32093E+03    0.78042E+01   -0.16844E+01    0.87800E+05    0.54351E+01
  1812    0.31947E+03    0.78632E+01   -0.15737E+01    0.87701E+05    0.54936E+01
  1813    0.31802E+03    0.79228E+01   -0.14688E+01    0.87602E+05    0.55523E+01
  1814    0.31655E+03    0.79832E+01   -0.13698E+01    0.87503E+05    0.56110E+01
  1815    0.31509E+03    0.80443E+01   -0.12768E+01    0.87404E+05    0.56697E+01
  1816    0.31363E+03    0.81060E+01   -0.11898E+01    0.87306E+05    0.57286E+01
  1817    0.31216E+03    0.81684E+01   -0.11086E+01    0.87208E+05    0.57875E+01
  1818    0.31069E+03    0.82314E+01   -0.10334E+01    0.87109E+05    0.58465E+01
  1819    0.30920E+03    0.82951E+01   -0.96416E+00    0.87011E+05    0.59055E+01
  1820    0.30774E+03    0.83591E+01   -0.90084E+00    0.86913E+05    0.59646E+01
  1821    0.30628E+03    0.84238E+01   -0.84345E+00    0.86816E+05    0.60236E+01
  1822    0.30482E+03    0.84888E+01   -0.79202E+00    0.86718E+05    0.60827E+01
  1823    0.30338E+03    0.85544E+01   -0.74649E+00    0.86621E+05    0.61418E+01
  1824    0.30192E+03    0.86201E+01   -0.70675E+00    0.86524E+05    0.62010E+01
  1825    0.30047E+03    0.86861E+01   -0.67305E+00    0.86427E+05    0.62601E+01
  1826    0.29901E+03    0.87532E+01   -0.64512E+00    0.86330E+05    0.63192E+01
  1827    0.29758E+03    0.88202E+01   -0.62299E+00    0.86233E+05    0.63783E+01
  1828    0.29613E+03    0.88874E+01   -0.60677E+00    0.86136E+05    0.64373E+01
  1829    0.29469E+03    0.89540E+01   -0.59625E+00    0.86040E+05    0.64964E+01
  1830    0.29325E+03    0.90223E+01   -0.59147E+00    0.85943E+05    0.65554E+01
  1831    0.29183E+03    0.90899E+01   -0.59246E+00    0.85847E+05    0.66143E+01
  1832    0.29040E+03    0.91577E+01   -0.59917E+00    0.85751E+05    0.66732E+01
  1833    0.28899E+03    0.92256E+01   -0.61140E+00    0.85655E+05    0.67320E+01
  1834    0.28758E+03    0.92929E+01   -0.62949E+00    0.85560E+05    0.67907E+01
  1835    0.28617E+03    0.93610E+01   -0.65286E+00    0.85464E+05    0.68494E+01
  1836    0.28477E+03    0.94301E+01   -0.68199E+00    0.85369E+05    0.69079E+01
  1837    0.28339E+03    0.94970E+01   -0.71654E+00    0.85273E+05    0.69664E+01
  1838    0.28201E+03    0.95648E+01   -0.75660E+00    0.85178E+05    0.70247E+01
  1839    0.28063E+03    0.96327E+01   -0.80200E+00    0.85083E+05    0.70830E+01
  1840    0.27927E+03    0.96992E+01   -0.85282E+00    0.84989E+05    0.71411E+01
  1841    0.27792E+03    0.97666E+01   -0.90888E+00    0.84894E+05    0.71991E+01
  1842    0.27657E+03    0.98333E+01   -0.97020E+00    0.84799E+05    0.72569E+01
  1843    0.27523E+03    0.98994E+01   -0.10367E+01    0.84705E+05    0.73146E+01
  1844    0.27391E+03    0.99656E+01   -0.11083E+01    0.84611E+05    0.73722E+01
  1845    0.27262E+03    0.10031E+02   -0.11850E+01    0.84517E+05    0.74296E+01
  1846    0.27130E+03    0.10097E+02   -0.12665E+01    0.84423E+05    0.74868E+01
  1847    0.27002E+03    0.10162E+02   -0.13532E+01    0.84329E+05    0.75438E+01
  1848    0.26873E+03    0.10226E+02   -0.14445E+01    0.84236E+05    0.76007E+01
  1849    0.26747E+03    0.10290E+02   -0.15406E+01    0.84142E+05    0.76574E+01
  1850    0.26621E+03    0.10353E+02   -0.16415E+01    0.84049E+05    0.77138E+01
  1851    0.26495E+03    0.10416E+02   -0.17469E+01    0.83956E+05    0.77701E+01
  1852    0.26373E+03    0.10479E+02   -0.18569E+01    0.83863E+05    0.78261E+01
  1853    0.26250E+03    0.10540E+02   -0.19714E+01    0.83770E+05    0.78819E+01
  1854    0.26130E+03    0.10600E+02   -0.20905E+01    0.83677E+05    0.79375E+01
  1855    0.26011E+03    0.10659E+02   -0.22138E+01    0.83584E+05    0.79929E+01
  1856    0.25894E+03    0.10719E+02   -0.23413E+01    0.83492E+05    0.80480E+01
  1857    0.25777E+03    0.10778E+02   -0.24732E+01    0.83400E+05    0.81029E+01
  1858    0.25662E+03    0.10835E+02   -0.26092E+01    0.83308E+05    0.81575E+01
  1859    0.25549E+03    0.10892E+02   -0.27495E+01    0.83216E+05    0.82119E+01
  1860    0.25436E+03    0.10947E+02   -0.28936E+01    0.83124E+05    0.82660E+01
  1861    0.25327E+03    0.11003E+02   -0.30418E+01    0.83032E+05    0.83198E+01
  1862    0.25218E+03    0.11057E+02   -0.31938E+01    0.82940E+05    0.83734E+01
  1863    0.25109E+03    0.11110E+02   -0.33495E+01    0.82849E+05    0.84268E+01
  1864    0.25004E+03    0.11164E+02   -0.35090E+01    0.82758E+05    0.84798E+01
  1865    0.24899E+03    0.11216E+02   -0.36721E+01    0.82666E+05    0.85325E+01
  1866    0.24797E+03    0.11266E+02   -0.38388E+01    0.82575E+05    0.85850E+01
  1867    0.24695E+03    0.11316E+02   -0.40088E+01    0.82485E+05    0.86372E+01
  1868    0.24596E+03    0.11364E+02   -0.41823E+01    0.82394E+05    0.86890E+01
  1869    0.24498E+03    0.11412E+02   -0.43589E+01    0.82303E+05    0.87406E+01
  1870    0.24402E+03    0.11459E+02   -0.45389E+01    0.82213E+05    0.87919E+01
  1871    0.24306E+03    0.11505E+02   -0.47218E+01    0.82123E+05    0.88428E+01
  1872    0.24214E+03    0.11549E+02   -0.49079E+01    0.82032E+05    0.88934E+01
  1873    0.24122E+03    0.11593E+02   -0.50968E+01    0.81942E+05    0.89437E+01
  1874    0.24033E+03    0.11635E+02   -0.52886E+01    0.81852E+05    0.89937E+01
  1875    0.23945E+03    0.11676E+02   -0.54830E+01    0.81763E+05    0.90433E+01
