#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.15524E+04    0.16575E+00    0.94304E-02   -0.76039E+00    0.13579E-06    0.75130E-03   -0.86547E-06
    55    0.15719E+04    0.17537E+00    0.96246E-02   -0.10183E+01    0.13521E-06    0.73684E-03   -0.85399E-06
    56    0.15918E+04    0.18526E+00    0.98145E-02   -0.12879E+01    0.13462E-06    0.72310E-03   -0.78215E-06
    57    0.16119E+04    0.19533E+00    0.10000E-01   -0.15691E+01    0.13401E-06    0.70999E-03   -0.67009E-06
    58    0.16324E+04    0.20556E+00    0.10181E-01   -0.18627E+01    0.13340E-06    0.69738E-03   -0.54498E-06
    59    0.16530E+04    0.21599E+00    0.10357E-01   -0.21694E+01    0.13277E-06    0.68516E-03   -0.43391E-06
    60    0.16737E+04    0.22668E+00    0.10528E-01   -0.24887E+01    0.13214E-06    0.67321E-03   -0.36393E-06
    61    0.16950E+04    0.23771E+00    0.10693E-01   -0.28198E+01    0.13149E-06    0.66143E-03   -0.35473E-06
    62    0.17161E+04    0.24907E+00    0.10853E-01   -0.31636E+01    0.13084E-06    0.64981E-03   -0.39667E-06
    63    0.17373E+04    0.26073E+00    0.11008E-01   -0.35212E+01    0.13018E-06    0.63837E-03   -0.47279E-06
    64    0.17589E+04    0.27270E+00    0.11157E-01   -0.38939E+01    0.12951E-06    0.62711E-03   -0.56619E-06
    65    0.17806E+04    0.28495E+00    0.11300E-01   -0.42823E+01    0.12884E-06    0.61605E-03   -0.65997E-06
    66    0.18025E+04    0.29742E+00    0.11437E-01   -0.46846E+01    0.12817E-06    0.60521E-03   -0.73992E-06
    67    0.18247E+04    0.31010E+00    0.11569E-01   -0.50981E+01    0.12749E-06    0.59462E-03   -0.80252E-06
    68    0.18473E+04    0.32305E+00    0.11695E-01   -0.55213E+01    0.12681E-06    0.58433E-03   -0.84688E-06
    69    0.18700E+04    0.33621E+00    0.11814E-01   -0.59526E+01    0.12612E-06    0.57437E-03   -0.87213E-06
    70    0.18931E+04    0.34961E+00    0.11927E-01   -0.63936E+01    0.12543E-06    0.56479E-03   -0.87739E-06
    71    0.19163E+04    0.36326E+00    0.12034E-01   -0.68469E+01    0.12475E-06    0.55561E-03   -0.86285E-06
    72    0.19397E+04    0.37712E+00    0.12134E-01   -0.73136E+01    0.12406E-06    0.54682E-03   -0.83288E-06
    73    0.19632E+04    0.39116E+00    0.12228E-01   -0.77942E+01    0.12336E-06    0.53837E-03   -0.79288E-06
    74    0.19870E+04    0.40536E+00    0.12316E-01   -0.82876E+01    0.12267E-06    0.53022E-03   -0.74827E-06
    75    0.20111E+04    0.41973E+00    0.12398E-01   -0.87921E+01    0.12198E-06    0.52233E-03   -0.70446E-06
    76    0.20354E+04    0.43429E+00    0.12473E-01   -0.93069E+01    0.12128E-06    0.51468E-03   -0.66608E-06
    77    0.20602E+04    0.44900E+00    0.12541E-01   -0.98319E+01    0.12058E-06    0.50722E-03   -0.63480E-06
    78    0.20853E+04    0.46391E+00    0.12604E-01   -0.10368E+02    0.11989E-06    0.49994E-03   -0.61150E-06
    79    0.21105E+04    0.47896E+00    0.12659E-01   -0.10913E+02    0.11919E-06    0.49281E-03   -0.59710E-06
    80    0.21361E+04    0.49414E+00    0.12709E-01   -0.11466E+02    0.11849E-06    0.48580E-03   -0.59249E-06
    81    0.21619E+04    0.50940E+00    0.12752E-01   -0.12029E+02    0.11779E-06    0.47889E-03   -0.59836E-06
    82    0.21880E+04    0.52477E+00    0.12789E-01   -0.12601E+02    0.11710E-06    0.47207E-03   -0.61460E-06
    83    0.22143E+04    0.54023E+00    0.12819E-01   -0.13181E+02    0.11640E-06    0.46534E-03   -0.64087E-06
    84    0.22408E+04    0.55575E+00    0.12843E-01   -0.13769E+02    0.11571E-06    0.45869E-03   -0.67685E-06
    85    0.22675E+04    0.57133E+00    0.12861E-01   -0.14364E+02    0.11502E-06    0.45212E-03   -0.72220E-06
    86    0.22944E+04    0.58696E+00    0.12872E-01   -0.14966E+02    0.11433E-06    0.44561E-03   -0.77602E-06
    87    0.23218E+04    0.60263E+00    0.12877E-01   -0.15575E+02    0.11364E-06    0.43920E-03   -0.83500E-06
    88    0.23491E+04    0.61833E+00    0.12876E-01   -0.16189E+02    0.11295E-06    0.43290E-03   -0.89525E-06
    89    0.23768E+04    0.63407E+00    0.12868E-01   -0.16811E+02    0.11227E-06    0.42672E-03   -0.95288E-06
    90    0.24048E+04    0.64980E+00    0.12855E-01   -0.17438E+02    0.11159E-06    0.42070E-03   -0.10040E-05
    91    0.24329E+04    0.66551E+00    0.12835E-01   -0.18070E+02    0.11091E-06    0.41484E-03   -0.10455E-05
    92    0.24613E+04    0.68118E+00    0.12810E-01   -0.18706E+02    0.11024E-06    0.40915E-03   -0.10774E-05
    93    0.24900E+04    0.69682E+00    0.12778E-01   -0.19347E+02    0.10957E-06    0.40362E-03   -0.11004E-05
    94    0.25188E+04    0.71237E+00    0.12741E-01   -0.19990E+02    0.10890E-06    0.39824E-03   -0.11152E-05
    95    0.25479E+04    0.72785E+00    0.12698E-01   -0.20638E+02    0.10824E-06    0.39301E-03   -0.11225E-05
    96    0.25770E+04    0.74324E+00    0.12650E-01   -0.21288E+02    0.10757E-06    0.38791E-03   -0.11231E-05
    97    0.26066E+04    0.75851E+00    0.12597E-01   -0.21941E+02    0.10691E-06    0.38296E-03   -0.11178E-05
    98    0.26364E+04    0.77367E+00    0.12538E-01   -0.22594E+02    0.10626E-06    0.37813E-03   -0.11071E-05
    99    0.26663E+04    0.78867E+00    0.12475E-01   -0.23250E+02    0.10561E-06    0.37342E-03   -0.10920E-05
   100    0.26965E+04    0.80352E+00    0.12406E-01   -0.23905E+02    0.10496E-06    0.36883E-03   -0.10730E-05
   101    0.27269E+04    0.81827E+00    0.12333E-01   -0.24562E+02    0.10431E-06    0.36435E-03   -0.10510E-05
   102    0.27578E+04    0.83278E+00    0.12255E-01   -0.25218E+02    0.10367E-06    0.35998E-03   -0.10266E-05
   103    0.27886E+04    0.84712E+00    0.12173E-01   -0.25874E+02    0.10303E-06    0.35571E-03   -0.10006E-05
   104    0.28197E+04    0.86129E+00    0.12086E-01   -0.26528E+02    0.10240E-06    0.35153E-03   -0.97371E-06
   105    0.28510E+04    0.87521E+00    0.11995E-01   -0.27181E+02    0.10176E-06    0.34743E-03   -0.94665E-06
   106    0.28825E+04    0.88896E+00    0.11899E-01   -0.27832E+02    0.10114E-06    0.34342E-03   -0.92015E-06
   107    0.29139E+04    0.90239E+00    0.11800E-01   -0.28480E+02    0.10051E-06    0.33949E-03   -0.89495E-06
   108    0.29457E+04    0.91558E+00    0.11697E-01   -0.29125E+02    0.99893E-07    0.33562E-03   -0.87175E-06
   109    0.29777E+04    0.92844E+00    0.11590E-01   -0.29766E+02    0.99277E-07    0.33182E-03   -0.85128E-06
   110    0.30098E+04    0.94098E+00    0.11480E-01   -0.30401E+02    0.98665E-07    0.32807E-03   -0.83428E-06
   111    0.30421E+04    0.95328E+00    0.11366E-01   -0.31033E+02    0.98058E-07    0.32438E-03   -0.82130E-06
   112    0.30745E+04    0.96525E+00    0.11249E-01   -0.31660E+02    0.97454E-07    0.32074E-03   -0.81223E-06
   113    0.31072E+04    0.97690E+00    0.11128E-01   -0.32281E+02    0.96855E-07    0.31715E-03   -0.80680E-06
   114    0.31399E+04    0.98815E+00    0.11005E-01   -0.32895E+02    0.96259E-07    0.31361E-03   -0.80475E-06
   115    0.31729E+04    0.99916E+00    0.10879E-01   -0.33502E+02    0.95668E-07    0.31012E-03   -0.80579E-06
   116    0.32059E+04    0.10097E+01    0.10750E-01   -0.34100E+02    0.95081E-07    0.30669E-03   -0.80967E-06
   117    0.32392E+04    0.10198E+01    0.10618E-01   -0.34691E+02    0.94498E-07    0.30330E-03   -0.81610E-06
   118    0.32727E+04    0.10297E+01    0.10485E-01   -0.35273E+02    0.93919E-07    0.29996E-03   -0.82483E-06
   119    0.33062E+04    0.10392E+01    0.10349E-01   -0.35845E+02    0.93345E-07    0.29668E-03   -0.83558E-06
   120    0.33398E+04    0.10482E+01    0.10211E-01   -0.36407E+02    0.92774E-07    0.29344E-03   -0.84807E-06
   121    0.33734E+04    0.10569E+01    0.10071E-01   -0.36958E+02    0.92207E-07    0.29025E-03   -0.86205E-06
   122    0.34071E+04    0.10650E+01    0.99297E-02   -0.37498E+02    0.91645E-07    0.28712E-03   -0.87724E-06
   123    0.34409E+04    0.10727E+01    0.97867E-02   -0.38027E+02    0.91087E-07    0.28403E-03   -0.89337E-06
   124    0.34748E+04    0.10800E+01    0.96424E-02   -0.38542E+02    0.90532E-07    0.28099E-03   -0.91017E-06
   125    0.35086E+04    0.10868E+01    0.94969E-02   -0.39045E+02    0.89982E-07    0.27800E-03   -0.92738E-06
   126    0.35425E+04    0.10932E+01    0.93504E-02   -0.39535E+02    0.89436E-07    0.27505E-03   -0.94472E-06
   127    0.35765E+04    0.10991E+01    0.92030E-02   -0.40011E+02    0.88894E-07    0.27216E-03   -0.96192E-06
   128    0.36104E+04    0.11046E+01    0.90549E-02   -0.40473E+02    0.88357E-07    0.26931E-03   -0.97872E-06
   129    0.36443E+04    0.11095E+01    0.89063E-02   -0.40920E+02    0.87823E-07    0.26651E-03   -0.99485E-06
   130    0.36783E+04    0.11139E+01    0.87573E-02   -0.41351E+02    0.87293E-07    0.26376E-03   -0.10100E-05
   131    0.37122E+04    0.11179E+01    0.86081E-02   -0.41767E+02    0.86768E-07    0.26105E-03   -0.10241E-05
   132    0.37462E+04    0.11213E+01    0.84588E-02   -0.42166E+02    0.86247E-07    0.25839E-03   -0.10369E-05
   133    0.37801E+04    0.11243E+01    0.83095E-02   -0.42549E+02    0.85729E-07    0.25577E-03   -0.10485E-05
   134    0.38140E+04    0.11268E+01    0.81603E-02   -0.42913E+02    0.85216E-07    0.25320E-03   -0.10591E-05
   135    0.38479E+04    0.11288E+01    0.80114E-02   -0.43260E+02    0.84707E-07    0.25067E-03   -0.10684E-05
   136    0.38816E+04    0.11302E+01    0.78629E-02   -0.43587E+02    0.84202E-07    0.24819E-03   -0.10767E-05
   137    0.39153E+04    0.11311E+01    0.77148E-02   -0.43896E+02    0.83701E-07    0.24574E-03   -0.10839E-05
   138    0.39490E+04    0.11315E+01    0.75673E-02   -0.44186E+02    0.83203E-07    0.24333E-03   -0.10899E-05
   139    0.39824E+04    0.11316E+01    0.74205E-02   -0.44455E+02    0.82710E-07    0.24096E-03   -0.10950E-05
   140    0.40159E+04    0.11310E+01    0.72745E-02   -0.44705E+02    0.82221E-07    0.23862E-03   -0.10990E-05
   141    0.40491E+04    0.11298E+01    0.71295E-02   -0.44933E+02    0.81735E-07    0.23633E-03   -0.11020E-05
   142    0.40824E+04    0.11283E+01    0.69855E-02   -0.45141E+02    0.81253E-07    0.23406E-03   -0.11039E-05
   143    0.41155E+04    0.11262E+01    0.68426E-02   -0.45328E+02    0.80775E-07    0.23183E-03   -0.11049E-05
   144    0.41485E+04    0.11236E+01    0.67010E-02   -0.45493E+02    0.80301E-07    0.22963E-03   -0.11050E-05
   145    0.41813E+04    0.11206E+01    0.65608E-02   -0.45636E+02    0.79831E-07    0.22746E-03   -0.11041E-05
   146    0.42142E+04    0.11171E+01    0.64221E-02   -0.45757E+02    0.79364E-07    0.22533E-03   -0.11023E-05
   147    0.42467E+04    0.11131E+01    0.62850E-02   -0.45855E+02    0.78901E-07    0.22322E-03   -0.10995E-05
   148    0.42790E+04    0.11086E+01    0.61496E-02   -0.45930E+02    0.78442E-07    0.22114E-03   -0.10959E-05
   149    0.43113E+04    0.11037E+01    0.60161E-02   -0.45982E+02    0.77987E-07    0.21908E-03   -0.10915E-05
   150    0.43433E+04    0.10983E+01    0.58845E-02   -0.46008E+02    0.77535E-07    0.21705E-03   -0.10861E-05
   151    0.43752E+04    0.10926E+01    0.57550E-02   -0.46012E+02    0.77086E-07    0.21505E-03   -0.10800E-05
   152    0.44067E+04    0.10862E+01    0.56275E-02   -0.45991E+02    0.76642E-07    0.21306E-03   -0.10731E-05
   153    0.44381E+04    0.10796E+01    0.55022E-02   -0.45944E+02    0.76201E-07    0.21111E-03   -0.10654E-05
   154    0.44693E+04    0.10725E+01    0.53791E-02   -0.45873E+02    0.75763E-07    0.20917E-03   -0.10570E-05
   155    0.45003E+04    0.10651E+01    0.52581E-02   -0.45776E+02    0.75329E-07    0.20726E-03   -0.10478E-05
   156    0.45309E+04    0.10572E+01    0.51394E-02   -0.45655E+02    0.74898E-07    0.20537E-03   -0.10381E-05
   157    0.45614E+04    0.10491E+01    0.50230E-02   -0.45508E+02    0.74471E-07    0.20351E-03   -0.10277E-05
   158    0.45916E+04    0.10406E+01    0.49089E-02   -0.45335E+02    0.74048E-07    0.20167E-03   -0.10166E-05
   159    0.46215E+04    0.10317E+01    0.47971E-02   -0.45136E+02    0.73628E-07    0.19985E-03   -0.10051E-05
   160    0.46512E+04    0.10224E+01    0.46876E-02   -0.44910E+02    0.73211E-07    0.19805E-03   -0.99296E-06
   161    0.46807E+04    0.10130E+01    0.45806E-02   -0.44658E+02    0.72798E-07    0.19628E-03   -0.98035E-06
   162    0.47098E+04    0.10032E+01    0.44760E-02   -0.44380E+02    0.72388E-07    0.19452E-03   -0.96728E-06
   163    0.47388E+04    0.99309E+00    0.43739E-02   -0.44076E+02    0.71981E-07    0.19279E-03   -0.95376E-06
   164    0.47673E+04    0.98278E+00    0.42743E-02   -0.43745E+02    0.71577E-07    0.19108E-03   -0.93985E-06
   165    0.47957E+04    0.97218E+00    0.41772E-02   -0.43387E+02    0.71177E-07    0.18939E-03   -0.92556E-06
   166    0.48238E+04    0.96144E+00    0.40827E-02   -0.43002E+02    0.70781E-07    0.18772E-03   -0.91094E-06
   167    0.48516E+04    0.95034E+00    0.39908E-02   -0.42591E+02    0.70387E-07    0.18608E-03   -0.89600E-06
   168    0.48789E+04    0.93925E+00    0.39016E-02   -0.42153E+02    0.69997E-07    0.18445E-03   -0.88080E-06
   169    0.49060E+04    0.92788E+00    0.38150E-02   -0.41686E+02    0.69610E-07    0.18285E-03   -0.86535E-06
   170    0.49327E+04    0.91645E+00    0.37312E-02   -0.41193E+02    0.69226E-07    0.18126E-03   -0.84970E-06
   171    0.49589E+04    0.90496E+00    0.36501E-02   -0.40671E+02    0.68845E-07    0.17969E-03   -0.83386E-06
   172    0.49848E+04    0.89334E+00    0.35717E-02   -0.40122E+02    0.68467E-07    0.17815E-03   -0.81789E-06
   173    0.50101E+04    0.88159E+00    0.34962E-02   -0.39546E+02    0.68093E-07    0.17662E-03   -0.80180E-06
   174    0.50352E+04    0.87000E+00    0.34235E-02   -0.38942E+02    0.67721E-07    0.17512E-03   -0.78563E-06
   175    0.50598E+04    0.85829E+00    0.33537E-02   -0.38311E+02    0.67353E-07    0.17363E-03   -0.76942E-06
   176    0.50839E+04    0.84667E+00    0.32868E-02   -0.37651E+02    0.66988E-07    0.17216E-03   -0.75319E-06
   177    0.51077E+04    0.83508E+00    0.32228E-02   -0.36965E+02    0.66625E-07    0.17071E-03   -0.73694E-06
   178    0.51309E+04    0.82373E+00    0.31616E-02   -0.36251E+02    0.66266E-07    0.16928E-03   -0.72069E-06
   179    0.51536E+04    0.81234E+00    0.31031E-02   -0.35509E+02    0.65910E-07    0.16786E-03   -0.70443E-06
   180    0.51761E+04    0.80113E+00    0.30473E-02   -0.34740E+02    0.65556E-07    0.16647E-03   -0.68818E-06
   181    0.51979E+04    0.79009E+00    0.29942E-02   -0.33945E+02    0.65206E-07    0.16509E-03   -0.67192E-06
   182    0.52193E+04    0.77931E+00    0.29436E-02   -0.33122E+02    0.64858E-07    0.16372E-03   -0.65568E-06
   183    0.52402E+04    0.76871E+00    0.28956E-02   -0.32273E+02    0.64513E-07    0.16237E-03   -0.63944E-06
   184    0.52607E+04    0.75836E+00    0.28500E-02   -0.31397E+02    0.64171E-07    0.16104E-03   -0.62323E-06
   185    0.52806E+04    0.74843E+00    0.28069E-02   -0.30496E+02    0.63832E-07    0.15972E-03   -0.60702E-06
   186    0.52998E+04    0.73876E+00    0.27661E-02   -0.29568E+02    0.63496E-07    0.15842E-03   -0.59084E-06
   187    0.53188E+04    0.72951E+00    0.27276E-02   -0.28613E+02    0.63162E-07    0.15713E-03   -0.57469E-06
   188    0.53372E+04    0.72065E+00    0.26914E-02   -0.27633E+02    0.62831E-07    0.15585E-03   -0.55856E-06
   189    0.53550E+04    0.71223E+00    0.26574E-02   -0.26628E+02    0.62503E-07    0.15459E-03   -0.54247E-06
   190    0.53726E+04    0.70430E+00    0.26256E-02   -0.25598E+02    0.62177E-07    0.15334E-03   -0.52641E-06
   191    0.53893E+04    0.69689E+00    0.25958E-02   -0.24541E+02    0.61854E-07    0.15210E-03   -0.51040E-06
   192    0.54056E+04    0.69001E+00    0.25680E-02   -0.23460E+02    0.61533E-07    0.15087E-03   -0.49442E-06
   193    0.54213E+04    0.68372E+00    0.25423E-02   -0.22356E+02    0.61215E-07    0.14966E-03   -0.47850E-06
   194    0.54366E+04    0.67804E+00    0.25184E-02   -0.21227E+02    0.60900E-07    0.14845E-03   -0.46262E-06
   195    0.54513E+04    0.67302E+00    0.24965E-02   -0.20074E+02    0.60587E-07    0.14726E-03   -0.44680E-06
   196    0.54654E+04    0.66870E+00    0.24763E-02   -0.18898E+02    0.60277E-07    0.14608E-03   -0.43104E-06
   197    0.54790E+04    0.66511E+00    0.24579E-02   -0.17700E+02    0.59969E-07    0.14490E-03   -0.41534E-06
   198    0.54920E+04    0.66229E+00    0.24412E-02   -0.16478E+02    0.59663E-07    0.14374E-03   -0.39970E-06
   199    0.55045E+04    0.66027E+00    0.24262E-02   -0.15235E+02    0.59360E-07    0.14258E-03   -0.38414E-06
   200    0.55165E+04    0.65908E+00    0.24127E-02   -0.13970E+02    0.59059E-07    0.14143E-03   -0.36864E-06
   201    0.55279E+04    0.65879E+00    0.24008E-02   -0.12683E+02    0.58761E-07    0.14029E-03   -0.35322E-06
   202    0.55387E+04    0.65940E+00    0.23904E-02   -0.11376E+02    0.58465E-07    0.13916E-03   -0.33788E-06
   203    0.55489E+04    0.66097E+00    0.23814E-02   -0.10047E+02    0.58171E-07    0.13803E-03   -0.32261E-06
   204    0.55584E+04    0.66353E+00    0.23738E-02   -0.86996E+01    0.57879E-07    0.13691E-03   -0.30742E-06
   205    0.55673E+04    0.66711E+00    0.23676E-02   -0.73319E+01    0.57590E-07    0.13580E-03   -0.29229E-06
   206    0.55756E+04    0.67175E+00    0.23626E-02   -0.59450E+01    0.57303E-07    0.13470E-03   -0.27724E-06
   207    0.55833E+04    0.67748E+00    0.23589E-02   -0.45394E+01    0.57018E-07    0.13360E-03   -0.26226E-06
   208    0.55903E+04    0.68434E+00    0.23564E-02   -0.31156E+01    0.56735E-07    0.13251E-03   -0.24734E-06
   209    0.55967E+04    0.69236E+00    0.23550E-02   -0.16740E+01    0.56455E-07    0.13143E-03   -0.23250E-06
   210    0.56024E+04    0.70159E+00    0.23547E-02   -0.21552E+00    0.56176E-07    0.13036E-03   -0.21772E-06
   211    0.56076E+04    0.71206E+00    0.23555E-02    0.12597E+01    0.55900E-07    0.12929E-03   -0.20300E-06
   212    0.56120E+04    0.72380E+00    0.23572E-02    0.27508E+01    0.55626E-07    0.12823E-03   -0.18835E-06
   213    0.56158E+04    0.73685E+00    0.23599E-02    0.42577E+01    0.55354E-07    0.12718E-03   -0.17377E-06
   214    0.56190E+04    0.75120E+00    0.23635E-02    0.57792E+01    0.55084E-07    0.12614E-03   -0.15925E-06
