#    L    TT             EE             BB             TE          
    91    0.24329E+04    0.66551E+00    0.12835E-01   -0.18070E+02
    92    0.24613E+04    0.68118E+00    0.12810E-01   -0.18706E+02
    93    0.24900E+04    0.69682E+00    0.12778E-01   -0.19347E+02
    94    0.25188E+04    0.71237E+00    0.12741E-01   -0.19990E+02
    95    0.25479E+04    0.72785E+00    0.12698E-01   -0.20638E+02
    96    0.25770E+04    0.74324E+00    0.12650E-01   -0.21288E+02
    97    0.26066E+04    0.75851E+00    0.12597E-01   -0.21941E+02
    98    0.26364E+04    0.77367E+00    0.12538E-01   -0.22594E+02
    99    0.26663E+04    0.78867E+00    0.12475E-01   -0.23250E+02
   100    0.26965E+04    0.80352E+00    0.12406E-01   -0.23905E+02
   101    0.27269E+04    0.81827E+00    0.12333E-01   -0.24562E+02
   102    0.27578E+04    0.83278E+00    0.12255E-01   -0.25218E+02
   103    0.27886E+04    0.84712E+00    0.12173E-01   -0.25874E+02
   104    0.28197E+04    0.86129E+00    0.12086E-01   -0.26528E+02
   105    0.28510E+04    0.87521E+00    0.11995E-01   -0.27181E+02
   106    0.28825E+04    0.88896E+00    0.11899E-01   -0.27832E+02
   107    0.29139E+04    0.90239E+00    0.11800E-01   -0.28480E+02
   108    0.29457E+04    0.91558E+00    0.11697E-01   -0.29125E+02
   109    0.29777E+04    0.92844E+00    0.11590E-01   -0.29766E+02
   110    0.30098E+04    0.94098E+00    0.11480E-01   -0.30401E+02
   111    0.30421E+04    0.95328E+00    0.11366E-01   -0.31033E+02
   112    0.30745E+04    0.96525E+00    0.11249E-01   -0.31660E+02
   113    0.31072E+04    0.97690E+00    0.11128E-01   -0.32281E+02
   114    0.31399E+04    0.98815E+00    0.11005E-01   -0.32895E+02
   115    0.31729E+04    0.99916E+00    0.10879E-01   -0.33502E+02
   116    0.32059E+04    0.10097E+01    0.10750E-01   -0.34100E+02
   117    0.32392E+04    0.10198E+01    0.10618E-01   -0.34691E+02
   118    0.32727E+04    0.10297E+01    0.10485E-01   -0.35273E+02
   119    0.33062E+04    0.10392E+01    0.10349E-01   -0.35845E+02
   120    0.33398E+04    0.10482E+01    0.10211E-01   -0.36407E+02
   121    0.33734E+04    0.10569E+01    0.10071E-01   -0.36958E+02
   122    0.34071E+04    0.10650E+01    0.99297E-02   -0.37498E+02
   123    0.34409E+04    0.10727E+01    0.97867E-02   -0.38027E+02
   124    0.34748E+04    0.10800E+01    0.96424E-02   -0.38542E+02
   125    0.35086E+04    0.10868E+01    0.94969E-02   -0.39045E+02
   126    0.35425E+04    0.10932E+01    0.93504E-02   -0.39535E+02
   127    0.35765E+04    0.10991E+01    0.92030E-02   -0.40011E+02
   128    0.36104E+04    0.11046E+01    0.90549E-02   -0.40473E+02
   129    0.36443E+04    0.11095E+01    0.89063E-02   -0.40920E+02
   130    0.36783E+04    0.11139E+01    0.87573E-02   -0.41351E+02
   131    0.37122E+04    0.11179E+01    0.86081E-02   -0.41767E+02
   132    0.37462E+04    0.11213E+01    0.84588E-02   -0.42166E+02
   133    0.37801E+04    0.11243E+01    0.83095E-02   -0.42549E+02
   134    0.38140E+04    0.11268E+01    0.81603E-02   -0.42913E+02
   135    0.38479E+04    0.11288E+01    0.80114E-02   -0.43260E+02
   136    0.38816E+04    0.11302E+01    0.78629E-02   -0.43587E+02
   137    0.39153E+04    0.11311E+01    0.77148E-02   -0.43896E+02
   138    0.39490E+04    0.11315E+01    0.75673E-02   -0.44186E+02
   139    0.39824E+04    0.11316E+01    0.74205E-02   -0.44455E+02
   140    0.40159E+04    0.11310E+01    0.72745E-02   -0.44705E+02
   141    0.40491E+04    0.11298E+01    0.71295E-02   -0.44933E+02
   142    0.40824E+04    0.11283E+01    0.69855E-02   -0.45141E+02
   143    0.41155E+04    0.11262E+01    0.68426E-02   -0.45328E+02
   144    0.41485E+04    0.11236E+01    0.67010E-02   -0.45493E+02
   145    0.41813E+04    0.11206E+01    0.65608E-02   -0.45636E+02
   146    0.42142E+04    0.11171E+01    0.64221E-02   -0.45757E+02
   147    0.42467E+04    0.11131E+01    0.62850E-02   -0.45855E+02
   148    0.42790E+04    0.11086E+01    0.61496E-02   -0.45930E+02
   149    0.43113E+04    0.11037E+01    0.60161E-02   -0.45982E+02
   150    0.43433E+04    0.10983E+01    0.58845E-02   -0.46008E+02
   151    0.43752E+04    0.10926E+01    0.57550E-02   -0.46012E+02
   152    0.44067E+04    0.10862E+01    0.56275E-02   -0.45991E+02
   153    0.44381E+04    0.10796E+01    0.55022E-02   -0.45944E+02
   154    0.44693E+04    0.10725E+01    0.53791E-02   -0.45873E+02
   155    0.45003E+04    0.10651E+01    0.52581E-02   -0.45776E+02
   156    0.45309E+04    0.10572E+01    0.51394E-02   -0.45655E+02
   157    0.45614E+04    0.10491E+01    0.50230E-02   -0.45508E+02
   158    0.45916E+04    0.10406E+01    0.49089E-02   -0.45335E+02
   159    0.46215E+04    0.10317E+01    0.47971E-02   -0.45136E+02
   160    0.46512E+04    0.10224E+01    0.46876E-02   -0.44910E+02
   161    0.46807E+04    0.10130E+01    0.45806E-02   -0.44658E+02
   162    0.47098E+04    0.10032E+01    0.44760E-02   -0.44380E+02
   163    0.47388E+04    0.99309E+00    0.43739E-02   -0.44076E+02
   164    0.47673E+04    0.98278E+00    0.42743E-02   -0.43745E+02
   165    0.47957E+04    0.97218E+00    0.41772E-02   -0.43387E+02
   166    0.48238E+04    0.96144E+00    0.40827E-02   -0.43002E+02
   167    0.48516E+04    0.95034E+00    0.39908E-02   -0.42591E+02
   168    0.48789E+04    0.93925E+00    0.39016E-02   -0.42153E+02
   169    0.49060E+04    0.92788E+00    0.38150E-02   -0.41686E+02
   170    0.49327E+04    0.91645E+00    0.37312E-02   -0.41193E+02
   171    0.49589E+04    0.90496E+00    0.36501E-02   -0.40671E+02
   172    0.49848E+04    0.89334E+00    0.35717E-02   -0.40122E+02
   173    0.50101E+04    0.88159E+00    0.34962E-02   -0.39546E+02
   174    0.50352E+04    0.87000E+00    0.34235E-02   -0.38942E+02
   175    0.50598E+04    0.85829E+00    0.33537E-02   -0.38311E+02
   176    0.50839E+04    0.84667E+00    0.32868E-02   -0.37651E+02
   177    0.51077E+04    0.83508E+00    0.32228E-02   -0.36965E+02
   178    0.51309E+04    0.82373E+00    0.31616E-02   -0.36251E+02
   179    0.51536E+04    0.81234E+00    0.31031E-02   -0.35509E+02
   180    0.51761E+04    0.80113E+00    0.30473E-02   -0.34740E+02
   181    0.51979E+04    0.79009E+00    0.29942E-02   -0.33945E+02
   182    0.52193E+04    0.77931E+00    0.29436E-02   -0.33122E+02
   183    0.52402E+04    0.76871E+00    0.28956E-02   -0.32273E+02
   184    0.52607E+04    0.75836E+00    0.28500E-02   -0.31397E+02
   185    0.52806E+04    0.74843E+00    0.28069E-02   -0.30496E+02
   186    0.52998E+04    0.73876E+00    0.27661E-02   -0.29568E+02
   187    0.53188E+04    0.72951E+00    0.27276E-02   -0.28613E+02
   188    0.53372E+04    0.72065E+00    0.26914E-02   -0.27633E+02
   189    0.53550E+04    0.71223E+00    0.26574E-02   -0.26628E+02
   190    0.53726E+04    0.70430E+00    0.26256E-02   -0.25598E+02
   191    0.53893E+04    0.69689E+00    0.25958E-02   -0.24541E+02
   192    0.54056E+04    0.69001E+00    0.25680E-02   -0.23460E+02
   193    0.54213E+04    0.68372E+00    0.25423E-02   -0.22356E+02
   194    0.54366E+04    0.67804E+00    0.25184E-02   -0.21227E+02
   195    0.54513E+04    0.67302E+00    0.24965E-02   -0.20074E+02
   196    0.54654E+04    0.66870E+00    0.24763E-02   -0.18898E+02
   197    0.54790E+04    0.66511E+00    0.24579E-02   -0.17700E+02
   198    0.54920E+04    0.66229E+00    0.24412E-02   -0.16478E+02
   199    0.55045E+04    0.66027E+00    0.24262E-02   -0.15235E+02
   200    0.55165E+04    0.65908E+00    0.24127E-02   -0.13970E+02
   201    0.55279E+04    0.65879E+00    0.24008E-02   -0.12683E+02
   202    0.55387E+04    0.65940E+00    0.23904E-02   -0.11376E+02
   203    0.55489E+04    0.66097E+00    0.23814E-02   -0.10047E+02
   204    0.55584E+04    0.66353E+00    0.23738E-02   -0.86996E+01
   205    0.55673E+04    0.66711E+00    0.23676E-02   -0.73319E+01
   206    0.55756E+04    0.67175E+00    0.23626E-02   -0.59450E+01
   207    0.55833E+04    0.67748E+00    0.23589E-02   -0.45394E+01
   208    0.55903E+04    0.68434E+00    0.23564E-02   -0.31156E+01
   209    0.55967E+04    0.69236E+00    0.23550E-02   -0.16740E+01
   210    0.56024E+04    0.70159E+00    0.23547E-02   -0.21552E+00
   211    0.56076E+04    0.71206E+00    0.23555E-02    0.12597E+01
   212    0.56120E+04    0.72380E+00    0.23572E-02    0.27508E+01
   213    0.56158E+04    0.73685E+00    0.23599E-02    0.42577E+01
   214    0.56190E+04    0.75120E+00    0.23635E-02    0.57792E+01
   215    0.56215E+04    0.76705E+00    0.23680E-02    0.73146E+01
   216    0.56234E+04    0.78420E+00    0.23732E-02    0.88642E+01
   217    0.56247E+04    0.80283E+00    0.23792E-02    0.10426E+02
   218    0.56253E+04    0.82291E+00    0.23859E-02    0.12001E+02
   219    0.56253E+04    0.84446E+00    0.23932E-02    0.13588E+02
   220    0.56248E+04    0.86762E+00    0.24012E-02    0.15185E+02
   221    0.56236E+04    0.89232E+00    0.24096E-02    0.16793E+02
   222    0.56218E+04    0.91871E+00    0.24186E-02    0.18411E+02
   223    0.56192E+04    0.94670E+00    0.24281E-02    0.20039E+02
   224    0.56162E+04    0.97630E+00    0.24379E-02    0.21673E+02
   225    0.56125E+04    0.10077E+01    0.24481E-02    0.23317E+02
   226    0.56082E+04    0.10408E+01    0.24586E-02    0.24967E+02
   227    0.56033E+04    0.10757E+01    0.24693E-02    0.26624E+02
   228    0.55977E+04    0.11123E+01    0.24803E-02    0.28287E+02
   229    0.55916E+04    0.11507E+01    0.24914E-02    0.29954E+02
   230    0.55848E+04    0.11910E+01    0.25026E-02    0.31626E+02
   231    0.55774E+04    0.12332E+01    0.25139E-02    0.33302E+02
   232    0.55694E+04    0.12772E+01    0.25251E-02    0.34981E+02
   233    0.55607E+04    0.13233E+01    0.25363E-02    0.36661E+02
   234    0.55514E+04    0.13713E+01    0.25475E-02    0.38343E+02
   235    0.55415E+04    0.14212E+01    0.25585E-02    0.40025E+02
   236    0.55309E+04    0.14731E+01    0.25693E-02    0.41708E+02
   237    0.55198E+04    0.15271E+01    0.25798E-02    0.43389E+02
   238    0.55080E+04    0.15832E+01    0.25901E-02    0.45069E+02
   239    0.54957E+04    0.16412E+01    0.26000E-02    0.46747E+02
   240    0.54826E+04    0.17013E+01    0.26096E-02    0.48421E+02
   241    0.54691E+04    0.17636E+01    0.26187E-02    0.50091E+02
   242    0.54550E+04    0.18279E+01    0.26273E-02    0.51757E+02
   243    0.54403E+04    0.18945E+01    0.26353E-02    0.53417E+02
   244    0.54250E+04    0.19631E+01    0.26428E-02    0.55072E+02
   245    0.54091E+04    0.20340E+01    0.26497E-02    0.56719E+02
   246    0.53927E+04    0.21070E+01    0.26558E-02    0.58359E+02
   247    0.53757E+04    0.21821E+01    0.26612E-02    0.59991E+02
   248    0.53582E+04    0.22598E+01    0.26659E-02    0.61613E+02
   249    0.53402E+04    0.23393E+01    0.26697E-02    0.63226E+02
   250    0.53216E+04    0.24214E+01    0.26726E-02    0.64827E+02
   251    0.53025E+04    0.25055E+01    0.26746E-02    0.66418E+02
   252    0.52828E+04    0.25919E+01    0.26757E-02    0.67997E+02
   253    0.52628E+04    0.26805E+01    0.26759E-02    0.69563E+02
   254    0.52422E+04    0.27714E+01    0.26752E-02    0.71115E+02
   255    0.52210E+04    0.28645E+01    0.26737E-02    0.72654E+02
   256    0.51994E+04    0.29600E+01    0.26713E-02    0.74179E+02
   257    0.51774E+04    0.30576E+01    0.26681E-02    0.75682E+02
   258    0.51549E+04    0.31575E+01    0.26641E-02    0.77177E+02
   259    0.51319E+04    0.32596E+01    0.26594E-02    0.78648E+02
   260    0.51085E+04    0.33640E+01    0.26538E-02    0.80110E+02
   261    0.50847E+04    0.34706E+01    0.26476E-02    0.81540E+02
   262    0.50603E+04    0.35795E+01    0.26406E-02    0.82962E+02
   263    0.50357E+04    0.36905E+01    0.26330E-02    0.84368E+02
   264    0.50106E+04    0.38038E+01    0.26246E-02    0.85749E+02
   265    0.49850E+04    0.39192E+01    0.26156E-02    0.87100E+02
   266    0.49590E+04    0.40370E+01    0.26060E-02    0.88441E+02
   267    0.49326E+04    0.41568E+01    0.25957E-02    0.89752E+02
   268    0.49058E+04    0.42789E+01    0.25849E-02    0.91046E+02
   269    0.48785E+04    0.44030E+01    0.25734E-02    0.92316E+02
   270    0.48510E+04    0.45293E+01    0.25615E-02    0.93563E+02
   271    0.48230E+04    0.46576E+01    0.25489E-02    0.94786E+02
