#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10996E+04    0.35375E-01    0.80927E-03    0.28254E+01    0.50813E-07    0.32067E-02   -0.13133E-04
     3    0.10315E+04    0.47563E-01    0.82154E-03    0.32154E+01    0.61874E-07    0.31998E-02   -0.14446E-04
     4    0.97087E+03    0.43835E-01    0.71407E-03    0.30732E+01    0.71332E-07    0.31184E-02   -0.12745E-04
     5    0.92573E+03    0.31532E-01    0.55859E-03    0.26698E+01    0.79551E-07    0.30098E-02   -0.93697E-05
     6    0.89441E+03    0.18984E-01    0.40800E-03    0.21929E+01    0.86736E-07    0.28945E-02   -0.54366E-05
     7    0.87388E+03    0.10482E-01    0.29053E-03    0.17501E+01    0.93071E-07    0.27824E-02   -0.18297E-05
     8    0.86090E+03    0.62473E-02    0.21417E-03    0.13923E+01    0.98688E-07    0.26733E-02    0.84983E-06
     9    0.85383E+03    0.46088E-02    0.17526E-03    0.11340E+01    0.10370E-06    0.25656E-02    0.23472E-05
    10    0.85110E+03    0.39517E-02    0.16530E-03    0.97280E+00    0.10817E-06    0.24611E-02    0.27598E-05
    11    0.85125E+03    0.34829E-02    0.17513E-03    0.89474E+00    0.11219E-06    0.23650E-02    0.23974E-05
    12    0.85483E+03    0.31862E-02    0.19743E-03    0.88171E+00    0.11579E-06    0.22786E-02    0.15794E-05
    13    0.86014E+03    0.28351E-02    0.22751E-03    0.90952E+00    0.11902E-06    0.21996E-02    0.56693E-06
    14    0.86621E+03    0.27891E-02    0.26178E-03    0.95460E+00    0.12193E-06    0.21254E-02   -0.39844E-06
    15    0.87344E+03    0.29825E-02    0.29882E-03    0.10093E+01    0.12454E-06    0.20535E-02   -0.10764E-05
    16    0.88235E+03    0.32504E-02    0.33786E-03    0.10705E+01    0.12689E-06    0.19825E-02   -0.12997E-05
    17    0.89291E+03    0.36790E-02    0.37856E-03    0.11336E+01    0.12900E-06    0.19142E-02   -0.11800E-05
    18    0.90417E+03    0.42195E-02    0.42076E-03    0.11960E+01    0.13089E-06    0.18506E-02   -0.89215E-06
    19    0.91695E+03    0.48797E-02    0.46438E-03    0.12581E+01    0.13259E-06    0.17911E-02   -0.59887E-06
    20    0.92954E+03    0.57233E-02    0.50939E-03    0.13185E+01    0.13410E-06    0.17345E-02   -0.41680E-06
    21    0.94233E+03    0.67124E-02    0.55572E-03    0.13813E+01    0.13545E-06    0.16805E-02   -0.29596E-06
    22    0.95564E+03    0.78687E-02    0.60329E-03    0.14493E+01    0.13664E-06    0.16290E-02   -0.17500E-06
    23    0.96928E+03    0.91927E-02    0.65203E-03    0.15190E+01    0.13770E-06    0.15800E-02   -0.10863E-06
    24    0.98332E+03    0.10653E-01    0.70187E-03    0.15858E+01    0.13862E-06    0.15337E-02   -0.16149E-06
    25    0.99771E+03    0.12280E-01    0.75268E-03    0.16487E+01    0.13943E-06    0.14897E-02   -0.32507E-06
    26    0.10123E+04    0.14075E-01    0.80436E-03    0.17082E+01    0.14013E-06    0.14478E-02   -0.55437E-06
    27    0.10272E+04    0.16024E-01    0.85693E-03    0.17615E+01    0.14073E-06    0.14077E-02   -0.73091E-06
    28    0.10424E+04    0.18139E-01    0.91040E-03    0.18068E+01    0.14124E-06    0.13689E-02   -0.75346E-06
    29    0.10580E+04    0.20437E-01    0.96475E-03    0.18441E+01    0.14166E-06    0.13318E-02   -0.66034E-06
    30    0.10738E+04    0.22943E-01    0.10199E-02    0.18730E+01    0.14199E-06    0.12966E-02   -0.52616E-06
    31    0.10896E+04    0.25660E-01    0.10757E-02    0.18941E+01    0.14224E-06    0.12629E-02   -0.43299E-06
    32    0.11058E+04    0.28579E-01    0.11321E-02    0.19082E+01    0.14242E-06    0.12305E-02   -0.43890E-06
    33    0.11223E+04    0.31705E-01    0.11891E-02    0.19134E+01    0.14254E-06    0.11991E-02   -0.49999E-06
    34    0.11390E+04    0.35056E-01    0.12464E-02    0.19089E+01    0.14260E-06    0.11688E-02   -0.55205E-06
    35    0.11558E+04    0.38647E-01    0.13040E-02    0.18970E+01    0.14261E-06    0.11396E-02   -0.55036E-06
    36    0.11727E+04    0.42493E-01    0.13616E-02    0.18789E+01    0.14256E-06    0.11115E-02   -0.47495E-06
    37    0.11897E+04    0.46585E-01    0.14195E-02    0.18513E+01    0.14246E-06    0.10849E-02   -0.38500E-06
    38    0.12071E+04    0.50915E-01    0.14776E-02    0.18123E+01    0.14232E-06    0.10598E-02   -0.34118E-06
    39    0.12248E+04    0.55488E-01    0.15359E-02    0.17620E+01    0.14214E-06    0.10359E-02   -0.33221E-06
    40    0.12427E+04    0.60316E-01    0.15940E-02    0.17011E+01    0.14192E-06    0.10129E-02   -0.32898E-06
    41    0.12608E+04    0.65415E-01    0.16520E-02    0.16295E+01    0.14165E-06    0.99040E-03   -0.30910E-06
    42    0.12789E+04    0.70795E-01    0.17096E-02    0.15463E+01    0.14136E-06    0.96834E-03   -0.27673E-06
    43    0.12971E+04    0.76462E-01    0.17668E-02    0.14507E+01    0.14103E-06    0.94682E-03   -0.24264E-06
    44    0.13153E+04    0.82411E-01    0.18237E-02    0.13426E+01    0.14066E-06    0.92593E-03   -0.21755E-06
    45    0.13339E+04    0.88644E-01    0.18801E-02    0.12218E+01    0.14027E-06    0.90577E-03   -0.21215E-06
    46    0.13527E+04    0.95165E-01    0.19361E-02    0.10866E+01    0.13986E-06    0.88638E-03   -0.23461E-06
    47    0.13717E+04    0.10197E+00    0.19915E-02    0.93797E+00    0.13942E-06    0.86770E-03   -0.28303E-06
    48    0.13907E+04    0.10907E+00    0.20462E-02    0.78006E+00    0.13895E-06    0.84965E-03   -0.35301E-06
    49    0.14099E+04    0.11643E+00    0.21003E-02    0.61657E+00    0.13847E-06    0.83213E-03   -0.44018E-06
    50    0.14295E+04    0.12403E+00    0.21536E-02    0.44438E+00    0.13797E-06    0.81506E-03   -0.54018E-06
    51    0.14492E+04    0.13184E+00    0.22060E-02    0.25891E+00    0.13745E-06    0.79839E-03   -0.64684E-06
    52    0.14693E+04    0.13995E+00    0.22575E-02    0.55402E-01    0.13691E-06    0.78215E-03   -0.74674E-06
    53    0.14894E+04    0.14850E+00    0.23080E-02   -0.16908E+00    0.13636E-06    0.76643E-03   -0.82468E-06
    54    0.15094E+04    0.15748E+00    0.23576E-02   -0.40952E+00    0.13579E-06    0.75130E-03   -0.86547E-06
    55    0.15296E+04    0.16689E+00    0.24061E-02   -0.66079E+00    0.13521E-06    0.73684E-03   -0.85399E-06
    56    0.15501E+04    0.17658E+00    0.24536E-02   -0.92400E+00    0.13462E-06    0.72310E-03   -0.78215E-06
    57    0.15709E+04    0.18643E+00    0.25000E-02   -0.11991E+01    0.13401E-06    0.70999E-03   -0.67009E-06
    58    0.15921E+04    0.19645E+00    0.25452E-02   -0.14867E+01    0.13340E-06    0.69738E-03   -0.54498E-06
    59    0.16133E+04    0.20668E+00    0.25892E-02   -0.17879E+01    0.13277E-06    0.68516E-03   -0.43391E-06
    60    0.16348E+04    0.21716E+00    0.26319E-02   -0.21019E+01    0.13214E-06    0.67321E-03   -0.36393E-06
    61    0.16567E+04    0.22799E+00    0.26733E-02   -0.24280E+01    0.13149E-06    0.66143E-03   -0.35473E-06
    62    0.16785E+04    0.23916E+00    0.27133E-02   -0.27672E+01    0.13084E-06    0.64981E-03   -0.39667E-06
    63    0.17003E+04    0.25062E+00    0.27519E-02   -0.31205E+01    0.13018E-06    0.63837E-03   -0.47279E-06
    64    0.17226E+04    0.26239E+00    0.27892E-02   -0.34891E+01    0.12951E-06    0.62711E-03   -0.56619E-06
    65    0.17450E+04    0.27444E+00    0.28250E-02   -0.38737E+01    0.12884E-06    0.61605E-03   -0.65997E-06
    66    0.17676E+04    0.28672E+00    0.28594E-02   -0.42725E+01    0.12817E-06    0.60521E-03   -0.73992E-06
    67    0.17905E+04    0.29923E+00    0.28923E-02   -0.46829E+01    0.12749E-06    0.59462E-03   -0.80252E-06
    68    0.18137E+04    0.31199E+00    0.29236E-02   -0.51032E+01    0.12681E-06    0.58433E-03   -0.84688E-06
    69    0.18372E+04    0.32496E+00    0.29535E-02   -0.55319E+01    0.12612E-06    0.57437E-03   -0.87213E-06
    70    0.18609E+04    0.33820E+00    0.29818E-02   -0.59708E+01    0.12543E-06    0.56479E-03   -0.87739E-06
    71    0.18848E+04    0.35168E+00    0.30085E-02   -0.64222E+01    0.12475E-06    0.55561E-03   -0.86285E-06
    72    0.19089E+04    0.36537E+00    0.30336E-02   -0.68875E+01    0.12406E-06    0.54682E-03   -0.83288E-06
    73    0.19331E+04    0.37924E+00    0.30571E-02   -0.73669E+01    0.12336E-06    0.53837E-03   -0.79288E-06
    74    0.19575E+04    0.39328E+00    0.30790E-02   -0.78594E+01    0.12267E-06    0.53022E-03   -0.74827E-06
    75    0.19823E+04    0.40750E+00    0.30994E-02   -0.83632E+01    0.12198E-06    0.52233E-03   -0.70446E-06
    76    0.20073E+04    0.42190E+00    0.31181E-02   -0.88777E+01    0.12128E-06    0.51468E-03   -0.66608E-06
    77    0.20327E+04    0.43647E+00    0.31353E-02   -0.94025E+01    0.12058E-06    0.50722E-03   -0.63480E-06
    78    0.20584E+04    0.45124E+00    0.31509E-02   -0.99392E+01    0.11989E-06    0.49994E-03   -0.61150E-06
    79    0.20844E+04    0.46614E+00    0.31649E-02   -0.10484E+02    0.11919E-06    0.49281E-03   -0.59710E-06
    80    0.21106E+04    0.48119E+00    0.31773E-02   -0.11038E+02    0.11849E-06    0.48580E-03   -0.59249E-06
    81    0.21371E+04    0.49633E+00    0.31880E-02   -0.11602E+02    0.11779E-06    0.47889E-03   -0.59836E-06
    82    0.21638E+04    0.51157E+00    0.31972E-02   -0.12176E+02    0.11710E-06    0.47207E-03   -0.61460E-06
    83    0.21907E+04    0.52691E+00    0.32048E-02   -0.12758E+02    0.11640E-06    0.46534E-03   -0.64087E-06
    84    0.22179E+04    0.54232E+00    0.32108E-02   -0.13347E+02    0.11571E-06    0.45869E-03   -0.67685E-06
    85    0.22452E+04    0.55779E+00    0.32152E-02   -0.13944E+02    0.11502E-06    0.45212E-03   -0.72220E-06
    86    0.22727E+04    0.57332E+00    0.32181E-02   -0.14549E+02    0.11433E-06    0.44561E-03   -0.77602E-06
    87    0.23006E+04    0.58889E+00    0.32193E-02   -0.15161E+02    0.11364E-06    0.43920E-03   -0.83500E-06
    88    0.23286E+04    0.60451E+00    0.32190E-02   -0.15778E+02    0.11295E-06    0.43290E-03   -0.89525E-06
    89    0.23569E+04    0.62016E+00    0.32171E-02   -0.16403E+02    0.11227E-06    0.42672E-03   -0.95288E-06
    90    0.23854E+04    0.63581E+00    0.32137E-02   -0.17033E+02    0.11159E-06    0.42070E-03   -0.10040E-05
    91    0.24140E+04    0.65144E+00    0.32088E-02   -0.17669E+02    0.11091E-06    0.41484E-03   -0.10455E-05
    92    0.24430E+04    0.66705E+00    0.32024E-02   -0.18309E+02    0.11024E-06    0.40915E-03   -0.10774E-05
    93    0.24723E+04    0.68263E+00    0.31945E-02   -0.18954E+02    0.10957E-06    0.40362E-03   -0.11004E-05
    94    0.25016E+04    0.69813E+00    0.31853E-02   -0.19602E+02    0.10890E-06    0.39824E-03   -0.11152E-05
    95    0.25313E+04    0.71355E+00    0.31746E-02   -0.20254E+02    0.10824E-06    0.39301E-03   -0.11225E-05
    96    0.25609E+04    0.72889E+00    0.31626E-02   -0.20909E+02    0.10757E-06    0.38791E-03   -0.11231E-05
    97    0.25910E+04    0.74413E+00    0.31492E-02   -0.21566E+02    0.10691E-06    0.38296E-03   -0.11178E-05
    98    0.26213E+04    0.75925E+00    0.31346E-02   -0.22224E+02    0.10626E-06    0.37813E-03   -0.11071E-05
