#    L    TT             EE             BB             TE          
     2    0.49076E+01    0.90685E-04    0.16185E-03    0.57995E-02
     3    0.39528E+01    0.96123E-04    0.16431E-03    0.52089E-04
     4    0.37277E+01    0.87108E-04    0.14281E-03   -0.16469E-02
     5    0.36525E+01    0.68947E-04    0.11172E-03   -0.20769E-02
     6    0.36319E+01    0.50218E-04    0.81599E-04   -0.20311E-02
     7    0.36369E+01    0.36247E-04    0.58106E-04   -0.18554E-02
     8    0.36528E+01    0.28663E-04    0.42835E-04   -0.17142E-02
     9    0.36743E+01    0.26788E-04    0.35052E-04   -0.16474E-02
    10    0.36979E+01    0.28906E-04    0.33060E-04   -0.16529E-02
    11    0.37188E+01    0.33428E-04    0.35027E-04   -0.17423E-02
    12    0.37323E+01    0.39267E-04    0.39487E-04   -0.18830E-02
    13    0.37415E+01    0.45937E-04    0.45501E-04   -0.20668E-02
    14    0.37510E+01    0.53133E-04    0.52356E-04   -0.22951E-02
    15    0.37627E+01    0.60758E-04    0.59764E-04   -0.25658E-02
    16    0.37766E+01    0.68773E-04    0.67571E-04   -0.28759E-02
    17    0.37894E+01    0.77150E-04    0.75713E-04   -0.32219E-02
    18    0.37975E+01    0.85870E-04    0.84152E-04   -0.35991E-02
    19    0.38008E+01    0.94934E-04    0.92876E-04   -0.39990E-02
    20    0.38003E+01    0.10435E-03    0.10188E-03   -0.44151E-02
    21    0.37968E+01    0.11412E-03    0.11114E-03   -0.48526E-02
    22    0.37911E+01    0.12425E-03    0.12066E-03   -0.53170E-02
    23    0.37833E+01    0.13470E-03    0.13041E-03   -0.58049E-02
    24    0.37733E+01    0.14544E-03    0.14037E-03   -0.63116E-02
    25    0.37614E+01    0.15645E-03    0.15054E-03   -0.68350E-02
    26    0.37478E+01    0.16770E-03    0.16087E-03   -0.73735E-02
    27    0.37325E+01    0.17914E-03    0.17139E-03   -0.79220E-02
    28    0.37156E+01    0.19076E-03    0.18208E-03   -0.84771E-02
    29    0.36970E+01    0.20267E-03    0.19295E-03   -0.90442E-02
    30    0.36768E+01    0.21496E-03    0.20398E-03   -0.96286E-02
    31    0.36552E+01    0.22760E-03    0.21514E-03   -0.10226E-01
    32    0.36323E+01    0.24053E-03    0.22643E-03   -0.10831E-01
    33    0.36081E+01    0.25361E-03    0.23781E-03   -0.11442E-01
    34    0.35823E+01    0.26676E-03    0.24928E-03   -0.12057E-01
    35    0.35553E+01    0.28002E-03    0.26079E-03   -0.12675E-01
    36    0.35272E+01    0.29348E-03    0.27233E-03   -0.13294E-01
    37    0.34979E+01    0.30716E-03    0.28390E-03   -0.13913E-01
    38    0.34676E+01    0.32102E-03    0.29552E-03   -0.14530E-01
    39    0.34361E+01    0.33505E-03    0.30717E-03   -0.15143E-01
    40    0.34036E+01    0.34918E-03    0.31881E-03   -0.15753E-01
    41    0.33701E+01    0.36337E-03    0.33039E-03   -0.16358E-01
    42    0.33356E+01    0.37763E-03    0.34192E-03   -0.16959E-01
    43    0.33003E+01    0.39194E-03    0.35337E-03   -0.17554E-01
    44    0.32640E+01    0.40630E-03    0.36474E-03   -0.18141E-01
    45    0.32269E+01    0.42070E-03    0.37603E-03   -0.18721E-01
    46    0.31891E+01    0.43515E-03    0.38722E-03   -0.19291E-01
    47    0.31504E+01    0.44964E-03    0.39830E-03   -0.19851E-01
    48    0.31111E+01    0.46414E-03    0.40925E-03   -0.20399E-01
    49    0.30711E+01    0.47865E-03    0.42006E-03   -0.20935E-01
    50    0.30305E+01    0.49315E-03    0.43071E-03   -0.21457E-01
    51    0.29892E+01    0.50763E-03    0.44119E-03   -0.21964E-01
    52    0.29475E+01    0.52207E-03    0.45149E-03   -0.22455E-01
    53    0.29052E+01    0.53645E-03    0.46160E-03   -0.22931E-01
    54    0.28625E+01    0.55076E-03    0.47152E-03   -0.23391E-01
    55    0.28194E+01    0.56498E-03    0.48123E-03   -0.23835E-01
    56    0.27759E+01    0.57909E-03    0.49073E-03   -0.24262E-01
    57    0.27320E+01    0.59309E-03    0.50000E-03   -0.24671E-01
    58    0.26878E+01    0.60697E-03    0.50904E-03   -0.25062E-01
    59    0.26434E+01    0.62072E-03    0.51784E-03   -0.25433E-01
    60    0.25986E+01    0.63435E-03    0.52638E-03   -0.25785E-01
    61    0.25536E+01    0.64784E-03    0.53466E-03   -0.26116E-01
    62    0.25084E+01    0.66118E-03    0.54266E-03   -0.26426E-01
    63    0.24631E+01    0.67436E-03    0.55039E-03   -0.26716E-01
    64    0.24176E+01    0.68738E-03    0.55784E-03   -0.26987E-01
    65    0.23721E+01    0.70021E-03    0.56500E-03   -0.27238E-01
    66    0.23266E+01    0.71285E-03    0.57187E-03   -0.27470E-01
    67    0.22810E+01    0.72528E-03    0.57845E-03   -0.27681E-01
    68    0.22355E+01    0.73747E-03    0.58473E-03   -0.27872E-01
    69    0.21901E+01    0.74941E-03    0.59070E-03   -0.28041E-01
    70    0.21447E+01    0.76108E-03    0.59636E-03   -0.28187E-01
    71    0.20994E+01    0.77246E-03    0.60170E-03   -0.28310E-01
    72    0.20542E+01    0.78356E-03    0.60672E-03   -0.28410E-01
    73    0.20092E+01    0.79440E-03    0.61142E-03   -0.28490E-01
    74    0.19644E+01    0.80500E-03    0.61581E-03   -0.28550E-01
    75    0.19198E+01    0.81537E-03    0.61988E-03   -0.28592E-01
