#    L    TT             EE             BB             TE          
    91    0.24352E+04    0.66761E+00    0.15384E-01   -0.18064E+02
    92    0.24636E+04    0.68332E+00    0.15415E-01   -0.18699E+02
    93    0.24924E+04    0.69899E+00    0.15441E-01   -0.19339E+02
    94    0.25212E+04    0.71458E+00    0.15462E-01   -0.19981E+02
    95    0.25503E+04    0.73009E+00    0.15478E-01   -0.20628E+02
    96    0.25794E+04    0.74551E+00    0.15489E-01   -0.21277E+02
    97    0.26090E+04    0.76082E+00    0.15496E-01   -0.21929E+02
    98    0.26388E+04    0.77601E+00    0.15498E-01   -0.22581E+02
    99    0.26687E+04    0.79105E+00    0.15496E-01   -0.23236E+02
   100    0.26990E+04    0.80593E+00    0.15489E-01   -0.23889E+02
   101    0.27293E+04    0.82072E+00    0.15479E-01   -0.24545E+02
   102    0.27603E+04    0.83527E+00    0.15465E-01   -0.25199E+02
   103    0.27911E+04    0.84964E+00    0.15446E-01   -0.25854E+02
   104    0.28222E+04    0.86385E+00    0.15424E-01   -0.26507E+02
   105    0.28535E+04    0.87780E+00    0.15399E-01   -0.27158E+02
   106    0.28850E+04    0.89159E+00    0.15370E-01   -0.27807E+02
   107    0.29164E+04    0.90506E+00    0.15338E-01   -0.28453E+02
   108    0.29482E+04    0.91828E+00    0.15302E-01   -0.29096E+02
   109    0.29802E+04    0.93119E+00    0.15264E-01   -0.29736E+02
   110    0.30123E+04    0.94377E+00    0.15223E-01   -0.30370E+02
   111    0.30446E+04    0.95610E+00    0.15179E-01   -0.30999E+02
   112    0.30770E+04    0.96812E+00    0.15132E-01   -0.31625E+02
   113    0.31096E+04    0.97981E+00    0.15083E-01   -0.32243E+02
   114    0.31424E+04    0.99111E+00    0.15032E-01   -0.32855E+02
   115    0.31754E+04    0.10022E+01    0.14979E-01   -0.33460E+02
   116    0.32084E+04    0.10127E+01    0.14924E-01   -0.34056E+02
   117    0.32416E+04    0.10229E+01    0.14867E-01   -0.34644E+02
   118    0.32751E+04    0.10329E+01    0.14808E-01   -0.35224E+02
   119    0.33086E+04    0.10424E+01    0.14749E-01   -0.35794E+02
   120    0.33422E+04    0.10514E+01    0.14687E-01   -0.36353E+02
   121    0.33758E+04    0.10602E+01    0.14625E-01   -0.36902E+02
   122    0.34094E+04    0.10684E+01    0.14562E-01   -0.37440E+02
   123    0.34432E+04    0.10761E+01    0.14498E-01   -0.37967E+02
   124    0.34770E+04    0.10835E+01    0.14434E-01   -0.38479E+02
   125    0.35108E+04    0.10903E+01    0.14369E-01   -0.38979E+02
   126    0.35447E+04    0.10968E+01    0.14304E-01   -0.39466E+02
   127    0.35786E+04    0.11028E+01    0.14239E-01   -0.39940E+02
   128    0.36125E+04    0.11083E+01    0.14175E-01   -0.40399E+02
   129    0.36464E+04    0.11133E+01    0.14110E-01   -0.40843E+02
   130    0.36803E+04    0.11178E+01    0.14046E-01   -0.41271E+02
   131    0.37142E+04    0.11218E+01    0.13983E-01   -0.41684E+02
   132    0.37481E+04    0.11253E+01    0.13920E-01   -0.42080E+02
   133    0.37820E+04    0.11284E+01    0.13858E-01   -0.42461E+02
   134    0.38158E+04    0.11310E+01    0.13797E-01   -0.42822E+02
   135    0.38497E+04    0.11330E+01    0.13738E-01   -0.43166E+02
   136    0.38833E+04    0.11345E+01    0.13679E-01   -0.43490E+02
   137    0.39170E+04    0.11356E+01    0.13622E-01   -0.43796E+02
   138    0.39506E+04    0.11361E+01    0.13566E-01   -0.44082E+02
   139    0.39839E+04    0.11362E+01    0.13512E-01   -0.44349E+02
   140    0.40174E+04    0.11357E+01    0.13460E-01   -0.44595E+02
   141    0.40505E+04    0.11347E+01    0.13410E-01   -0.44821E+02
