#    L    TT             EE             BB             TE          
     2    0.98153E+02    0.18137E-02    0.32371E-02    0.11599E+00
     3    0.79055E+02    0.19225E-02    0.32862E-02    0.10418E-02
     4    0.74555E+02    0.17422E-02    0.28563E-02   -0.32939E-01
     5    0.73050E+02    0.13789E-02    0.22344E-02   -0.41538E-01
     6    0.72637E+02    0.10044E-02    0.16320E-02   -0.40622E-01
     7    0.72738E+02    0.72494E-03    0.11621E-02   -0.37108E-01
     8    0.73056E+02    0.57326E-03    0.85670E-03   -0.34284E-01
     9    0.73487E+02    0.53577E-03    0.70104E-03   -0.32948E-01
    10    0.73957E+02    0.57812E-03    0.66120E-03   -0.33058E-01
    11    0.74377E+02    0.66855E-03    0.70054E-03   -0.34846E-01
    12    0.74646E+02    0.78534E-03    0.78973E-03   -0.37659E-01
    13    0.74829E+02    0.91874E-03    0.91002E-03   -0.41336E-01
    14    0.75020E+02    0.10627E-02    0.10471E-02   -0.45902E-01
    15    0.75254E+02    0.12152E-02    0.11953E-02   -0.51315E-01
    16    0.75533E+02    0.13755E-02    0.13514E-02   -0.57517E-01
    17    0.75788E+02    0.15430E-02    0.15143E-02   -0.64437E-01
    18    0.75949E+02    0.17174E-02    0.16830E-02   -0.71981E-01
    19    0.76016E+02    0.18987E-02    0.18575E-02   -0.79980E-01
    20    0.76006E+02    0.20869E-02    0.20376E-02   -0.88303E-01
    21    0.75936E+02    0.22824E-02    0.22229E-02   -0.97051E-01
    22    0.75823E+02    0.24850E-02    0.24132E-02   -0.10634E+00
    23    0.75666E+02    0.26940E-02    0.26081E-02   -0.11610E+00
    24    0.75466E+02    0.29089E-02    0.28075E-02   -0.12623E+00
    25    0.75227E+02    0.31290E-02    0.30107E-02   -0.13670E+00
    26    0.74955E+02    0.33540E-02    0.32175E-02   -0.14747E+00
    27    0.74651E+02    0.35829E-02    0.34277E-02   -0.15844E+00
    28    0.74312E+02    0.38153E-02    0.36416E-02   -0.16954E+00
    29    0.73940E+02    0.40533E-02    0.38590E-02   -0.18088E+00
    30    0.73537E+02    0.42991E-02    0.40795E-02   -0.19257E+00
    31    0.73105E+02    0.45520E-02    0.43029E-02   -0.20452E+00
    32    0.72647E+02    0.48106E-02    0.45285E-02   -0.21663E+00
    33    0.72161E+02    0.50723E-02    0.47562E-02   -0.22884E+00
    34    0.71646E+02    0.53352E-02    0.49856E-02   -0.24114E+00
    35    0.71106E+02    0.56004E-02    0.52159E-02   -0.25350E+00
    36    0.70543E+02    0.58697E-02    0.54465E-02   -0.26589E+00
    37    0.69959E+02    0.61431E-02    0.56779E-02   -0.27827E+00
    38    0.69351E+02    0.64205E-02    0.59104E-02   -0.29060E+00
    39    0.68722E+02    0.67010E-02    0.61434E-02   -0.30286E+00
    40    0.68072E+02    0.69836E-02    0.63762E-02   -0.31505E+00
    41    0.67402E+02    0.72675E-02    0.66079E-02   -0.32717E+00
    42    0.66713E+02    0.75526E-02    0.68383E-02   -0.33918E+00
    43    0.66005E+02    0.78387E-02    0.70674E-02   -0.35108E+00
    44    0.65280E+02    0.81259E-02    0.72948E-02   -0.36283E+00
    45    0.64539E+02    0.84141E-02    0.75205E-02   -0.37442E+00
    46    0.63781E+02    0.87031E-02    0.77443E-02   -0.38582E+00
    47    0.63009E+02    0.89927E-02    0.79659E-02   -0.39702E+00
    48    0.62222E+02    0.92828E-02    0.81850E-02   -0.40799E+00
    49    0.61422E+02    0.95729E-02    0.84012E-02   -0.41870E+00
    50    0.60609E+02    0.98629E-02    0.86142E-02   -0.42913E+00
    51    0.59785E+02    0.10153E-01    0.88239E-02   -0.43927E+00
    52    0.58950E+02    0.10441E-01    0.90299E-02   -0.44911E+00
    53    0.58104E+02    0.10729E-01    0.92321E-02   -0.45863E+00
    54    0.57250E+02    0.11015E-01    0.94304E-02   -0.46783E+00
    55    0.56387E+02    0.11300E-01    0.96246E-02   -0.47670E+00
    56    0.55517E+02    0.11582E-01    0.98145E-02   -0.48523E+00
    57    0.54640E+02    0.11862E-01    0.10000E-01   -0.49342E+00
    58    0.53757E+02    0.12139E-01    0.10181E-01   -0.50123E+00
    59    0.52867E+02    0.12414E-01    0.10357E-01   -0.50866E+00
    60    0.51972E+02    0.12687E-01    0.10528E-01   -0.51569E+00
    61    0.51072E+02    0.12957E-01    0.10693E-01   -0.52231E+00
    62    0.50169E+02    0.13224E-01    0.10853E-01   -0.52852E+00
    63    0.49261E+02    0.13487E-01    0.11008E-01   -0.53432E+00
    64    0.48352E+02    0.13748E-01    0.11157E-01   -0.53973E+00
    65    0.47442E+02    0.14004E-01    0.11300E-01   -0.54476E+00
    66    0.46531E+02    0.14257E-01    0.11437E-01   -0.54939E+00
    67    0.45620E+02    0.14506E-01    0.11569E-01   -0.55363E+00
    68    0.44710E+02    0.14749E-01    0.11695E-01   -0.55745E+00
    69    0.43801E+02    0.14988E-01    0.11814E-01   -0.56083E+00
    70    0.42893E+02    0.15222E-01    0.11927E-01   -0.56375E+00
    71    0.41988E+02    0.15449E-01    0.12034E-01   -0.56620E+00
    72    0.41084E+02    0.15671E-01    0.12134E-01   -0.56821E+00
    73    0.40184E+02    0.15888E-01    0.12228E-01   -0.56979E+00
