331-F1      0.00000       150.00000      0.00000      90.0000
331-F2      0.00000       135.00000      0.00000      90.0000
331-F3      0.00000       120.00000      0.00000      90.0000
331-F4      0.00000       105.00000      0.00000      90.0000
331-F5      0.00000       90.000000      0.00000      90.0000
331-F6      0.00000       75.000000      0.00000      90.0000
331-F7      0.00000       60.000000      0.00000      90.0000
331-F8      0.00000       45.000000      0.00000      90.0000
331-F9      0.00000       30.000000      0.00000      90.0000
331-F10      0.00000       15.000000      0.00000      90.0000
331-F11      0.00000      -0.0000000      0.00000      90.0000
331-F12      0.00000      -15.000000      0.00000      90.0000
331-F13      0.00000      -30.000000      0.00000      90.0000
331-F14      0.00000      -45.000000      0.00000      90.0000
331-F15      0.00000      -60.000000      0.00000      90.0000
331-F16      0.00000      -75.000000      0.00000      90.0000
331-F17      0.00000      -90.000000      0.00000      90.0000
331-F18      0.00000      -105.00000      0.00000      90.0000
331-F19      0.00000      -120.00000      0.00000      90.0000
331-F20      0.00000      -135.00000      0.00000      90.0000
331-F21      0.00000      -150.00000      0.00000      90.0000
331-F22       12.990381       142.50000      0.00000      90.0000
331-F23      -12.990381       142.50000      0.00000      90.0000
331-F24       12.990381       127.50000      0.00000      90.0000
331-F25      -12.990381       127.50000      0.00000      90.0000
331-F26       12.990381       112.50000      0.00000      90.0000
331-F27      -12.990381       112.50000      0.00000      90.0000
331-F28       12.990381       97.500000      0.00000      90.0000
331-F29      -12.990381       97.500000      0.00000      90.0000
331-F30       12.990381       82.500000      0.00000      90.0000
331-F31      -12.990381       82.500000      0.00000      90.0000
331-F32       12.990381       67.500000      0.00000      90.0000
331-F33      -12.990381       67.500000      0.00000      90.0000
331-F34       12.990381       52.500000      0.00000      90.0000
331-F35      -12.990381       52.500000      0.00000      90.0000
331-F36       12.990381       37.500000      0.00000      90.0000
331-F37      -12.990381       37.500000      0.00000      90.0000
331-F38       12.990381       22.500000      0.00000      90.0000
331-F39      -12.990381       22.500000      0.00000      90.0000
331-F40       12.990381       7.5000000      0.00000      90.0000
331-F41      -12.990381       7.5000000      0.00000      90.0000
331-F42       12.990381      -7.5000000      0.00000      90.0000
331-F43      -12.990381      -7.5000000      0.00000      90.0000
331-F44       12.990381      -22.500000      0.00000      90.0000
331-F45      -12.990381      -22.500000      0.00000      90.0000
331-F46       12.990381      -37.500000      0.00000      90.0000
331-F47      -12.990381      -37.500000      0.00000      90.0000
331-F48       12.990381      -52.500000      0.00000      90.0000
331-F49      -12.990381      -52.500000      0.00000      90.0000
331-F50       12.990381      -67.500000      0.00000      90.0000
331-F51      -12.990381      -67.500000      0.00000      90.0000
331-F52       12.990381      -82.500000      0.00000      90.0000
331-F53      -12.990381      -82.500000      0.00000      90.0000
331-F54       12.990381      -97.500000      0.00000      90.0000
331-F55      -12.990381      -97.500000      0.00000      90.0000
331-F56       12.990381      -112.50000      0.00000      90.0000
331-F57      -12.990381      -112.50000      0.00000      90.0000
331-F58       12.990381      -127.50000      0.00000      90.0000
331-F59      -12.990381      -127.50000      0.00000      90.0000
331-F60       12.990381      -142.50000      0.00000      90.0000
331-F61      -12.990381      -142.50000      0.00000      90.0000
331-F62       25.980762       135.00000      0.00000      90.0000
331-F63      -25.980762       135.00000      0.00000      90.0000
331-F64       25.980762       120.00000      0.00000      90.0000
331-F65      -25.980762       120.00000      0.00000      90.0000
331-F66       25.980762       105.00000      0.00000      90.0000
331-F67      -25.980762       105.00000      0.00000      90.0000
331-F68       25.980762       90.000000      0.00000      90.0000
331-F69      -25.980762       90.000000      0.00000      90.0000
331-F70       25.980762       75.000000      0.00000      90.0000
331-F71      -25.980762       75.000000      0.00000      90.0000
331-F72       25.980762       60.000000      0.00000      90.0000
331-F73      -25.980762       60.000000      0.00000      90.0000
331-F74       25.980762       45.000000      0.00000      90.0000
331-F75      -25.980762       45.000000      0.00000      90.0000
331-F76       25.980762       30.000000      0.00000      90.0000
331-F77      -25.980762       30.000000      0.00000      90.0000
331-F78       25.980762       15.000000      0.00000      90.0000
331-F79      -25.980762       15.000000      0.00000      90.0000
331-F80       25.980762      -0.0000000      0.00000      90.0000
331-F81      -25.980762      -0.0000000      0.00000      90.0000
331-F82       25.980762      -15.000000      0.00000      90.0000
331-F83      -25.980762      -15.000000      0.00000      90.0000
