#    L    TT             EE             BB             TE          
     2    0.49076E+02    0.90685E-03    0.16185E-02    0.57995E-01
     3    0.39528E+02    0.96123E-03    0.16431E-02    0.52089E-03
     4    0.37277E+02    0.87108E-03    0.14281E-02   -0.16469E-01
     5    0.36525E+02    0.68947E-03    0.11172E-02   -0.20769E-01
     6    0.36319E+02    0.50218E-03    0.81599E-03   -0.20311E-01
     7    0.36369E+02    0.36247E-03    0.58106E-03   -0.18554E-01
     8    0.36528E+02    0.28663E-03    0.42835E-03   -0.17142E-01
     9    0.36743E+02    0.26788E-03    0.35052E-03   -0.16474E-01
    10    0.36979E+02    0.28906E-03    0.33060E-03   -0.16529E-01
    11    0.37188E+02    0.33428E-03    0.35027E-03   -0.17423E-01
    12    0.37323E+02    0.39267E-03    0.39487E-03   -0.18830E-01
    13    0.37415E+02    0.45937E-03    0.45501E-03   -0.20668E-01
    14    0.37510E+02    0.53133E-03    0.52356E-03   -0.22951E-01
    15    0.37627E+02    0.60758E-03    0.59764E-03   -0.25658E-01
    16    0.37766E+02    0.68773E-03    0.67571E-03   -0.28759E-01
    17    0.37894E+02    0.77150E-03    0.75713E-03   -0.32219E-01
    18    0.37975E+02    0.85870E-03    0.84152E-03   -0.35991E-01
    19    0.38008E+02    0.94934E-03    0.92876E-03   -0.39990E-01
    20    0.38003E+02    0.10435E-02    0.10188E-02   -0.44151E-01
    21    0.37968E+02    0.11412E-02    0.11114E-02   -0.48526E-01
    22    0.37911E+02    0.12425E-02    0.12066E-02   -0.53170E-01
    23    0.37833E+02    0.13470E-02    0.13041E-02   -0.58049E-01
    24    0.37733E+02    0.14544E-02    0.14037E-02   -0.63116E-01
    25    0.37614E+02    0.15645E-02    0.15054E-02   -0.68350E-01
    26    0.37478E+02    0.16770E-02    0.16087E-02   -0.73735E-01
    27    0.37325E+02    0.17914E-02    0.17139E-02   -0.79220E-01
    28    0.37156E+02    0.19076E-02    0.18208E-02   -0.84771E-01
    29    0.36970E+02    0.20267E-02    0.19295E-02   -0.90442E-01
    30    0.36768E+02    0.21496E-02    0.20398E-02   -0.96286E-01
    31    0.36552E+02    0.22760E-02    0.21514E-02   -0.10226E+00
    32    0.36323E+02    0.24053E-02    0.22643E-02   -0.10831E+00
    33    0.36081E+02    0.25361E-02    0.23781E-02   -0.11442E+00
