#    L    TT             EE             BB             TE          
    90    0.12929E+00    0.93256E-04    0.64274E-04   -0.26974E-02
    91    0.12548E+00    0.93749E-04    0.64176E-04   -0.26729E-02
    92    0.12173E+00    0.94202E-04    0.64048E-04   -0.26471E-02
    93    0.11804E+00    0.94617E-04    0.63891E-04   -0.26198E-02
    94    0.11440E+00    0.94993E-04    0.63705E-04   -0.25911E-02
    95    0.11082E+00    0.95331E-04    0.63492E-04   -0.25612E-02
    96    0.10731E+00    0.95630E-04    0.63252E-04   -0.25300E-02
    97    0.10385E+00    0.95892E-04    0.62985E-04   -0.24977E-02
    98    0.10045E+00    0.96116E-04    0.62692E-04   -0.24642E-02
    99    0.97106E-01    0.96302E-04    0.62374E-04   -0.24296E-02
   100    0.93827E-01    0.96451E-04    0.62031E-04   -0.23940E-02
   101    0.90611E-01    0.96562E-04    0.61665E-04   -0.23575E-02
   102    0.87457E-01    0.96637E-04    0.61275E-04   -0.23200E-02
   103    0.84366E-01    0.96674E-04    0.60863E-04   -0.22817E-02
   104    0.81340E-01    0.96675E-04    0.60429E-04   -0.22426E-02
   105    0.78377E-01    0.96640E-04    0.59974E-04   -0.22027E-02
   106    0.75480E-01    0.96568E-04    0.59497E-04   -0.21622E-02
   107    0.72649E-01    0.96460E-04    0.59001E-04   -0.21210E-02
   108    0.69884E-01    0.96316E-04    0.58486E-04   -0.20792E-02
   109    0.67186E-01    0.96137E-04    0.57952E-04   -0.20369E-02
   110    0.64557E-01    0.95922E-04    0.57399E-04   -0.19941E-02
   111    0.61995E-01    0.95672E-04    0.56830E-04   -0.19510E-02
   112    0.59501E-01    0.95387E-04    0.56243E-04   -0.19074E-02
   113    0.57075E-01    0.95067E-04    0.55641E-04   -0.18635E-02
   114    0.54715E-01    0.94714E-04    0.55024E-04   -0.18194E-02
   115    0.52420E-01    0.94328E-04    0.54393E-04   -0.17750E-02
   116    0.50192E-01    0.93908E-04    0.53749E-04   -0.17304E-02
   117    0.48028E-01    0.93457E-04    0.53092E-04   -0.16856E-02
   118    0.45928E-01    0.92974E-04    0.52423E-04   -0.16407E-02
   119    0.43891E-01    0.92459E-04    0.51744E-04   -0.15957E-02
   120    0.41917E-01    0.91914E-04    0.51054E-04   -0.15507E-02
   121    0.40005E-01    0.91339E-04    0.50356E-04   -0.15057E-02
   122    0.38155E-01    0.90734E-04    0.49648E-04   -0.14608E-02
   123    0.36366E-01    0.90100E-04    0.48934E-04   -0.14159E-02
   124    0.34637E-01    0.89437E-04    0.48212E-04   -0.13712E-02
   125    0.32968E-01    0.88746E-04    0.47485E-04   -0.13267E-02
   126    0.31358E-01    0.88028E-04    0.46752E-04   -0.12823E-02
   127    0.29806E-01    0.87283E-04    0.46015E-04   -0.12383E-02
   128    0.28312E-01    0.86511E-04    0.45275E-04   -0.11945E-02
   129    0.26876E-01    0.85712E-04    0.44532E-04   -0.11511E-02
   130    0.25496E-01    0.84889E-04    0.43787E-04   -0.11081E-02
   131    0.24171E-01    0.84040E-04    0.43040E-04   -0.10655E-02
   132    0.22902E-01    0.83168E-04    0.42294E-04   -0.10233E-02
   133    0.21686E-01    0.82272E-04    0.41547E-04   -0.98164E-03
   134    0.20522E-01    0.81355E-04    0.40802E-04   -0.94047E-03
   135    0.19410E-01    0.80418E-04    0.40057E-04   -0.89982E-03
   136    0.18348E-01    0.79461E-04    0.39314E-04   -0.85971E-03
   137    0.17336E-01    0.78485E-04    0.38574E-04   -0.82018E-03
   138    0.16371E-01    0.77492E-04    0.37836E-04   -0.78123E-03
   139    0.15453E-01    0.76483E-04    0.37103E-04   -0.74291E-03
   140    0.14581E-01    0.75459E-04    0.36373E-04   -0.70522E-03
   141    0.13754E-01    0.74421E-04    0.35647E-04   -0.66820E-03
   142    0.12970E-01    0.73371E-04    0.34927E-04   -0.63187E-03
   143    0.12229E-01    0.72308E-04    0.34213E-04   -0.59625E-03
   144    0.11528E-01    0.71235E-04    0.33505E-04   -0.56136E-03
   145    0.10868E-01    0.70152E-04    0.32804E-04   -0.52723E-03
   146    0.10247E-01    0.69060E-04    0.32111E-04   -0.49388E-03
   147    0.96636E-02    0.67962E-04    0.31425E-04   -0.46134E-03
   148    0.91170E-02    0.66857E-04    0.30748E-04   -0.42963E-03
   149    0.86060E-02    0.65747E-04    0.30081E-04   -0.39876E-03
   150    0.81295E-02    0.64633E-04    0.29423E-04   -0.36878E-03
   151    0.76863E-02    0.63516E-04    0.28775E-04   -0.33969E-03
   152    0.72754E-02    0.62397E-04    0.28138E-04   -0.31149E-03
   153    0.68959E-02    0.61276E-04    0.27511E-04   -0.28418E-03
   154    0.65466E-02    0.60155E-04    0.26895E-04   -0.25776E-03
   155    0.62267E-02    0.59033E-04    0.26291E-04   -0.23222E-03
