#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14980E+04    0.15528E+00    0.47152E-03   -0.31596E+00    0.13579E-06    0.75130E-03   -0.86547E-06
    55    0.15183E+04    0.16463E+00    0.48123E-03   -0.56545E+00    0.13521E-06    0.73684E-03   -0.85399E-06
    56    0.15390E+04    0.17426E+00    0.49073E-03   -0.82696E+00    0.13462E-06    0.72310E-03   -0.78215E-06
    57    0.15600E+04    0.18406E+00    0.50000E-03   -0.11004E+01    0.13401E-06    0.70999E-03   -0.67009E-06
    58    0.15813E+04    0.19402E+00    0.50904E-03   -0.13865E+01    0.13340E-06    0.69738E-03   -0.54498E-06
    59    0.16028E+04    0.20420E+00    0.51784E-03   -0.16862E+01    0.13277E-06    0.68516E-03   -0.43391E-06
    60    0.16244E+04    0.21462E+00    0.52638E-03   -0.19988E+01    0.13214E-06    0.67321E-03   -0.36393E-06
    61    0.16465E+04    0.22540E+00    0.53466E-03   -0.23236E+01    0.13149E-06    0.66143E-03   -0.35473E-06
    62    0.16684E+04    0.23651E+00    0.54266E-03   -0.26615E+01    0.13084E-06    0.64981E-03   -0.39667E-06
    63    0.16905E+04    0.24792E+00    0.55039E-03   -0.30136E+01    0.13018E-06    0.63837E-03   -0.47279E-06
    64    0.17130E+04    0.25964E+00    0.55784E-03   -0.33811E+01    0.12951E-06    0.62711E-03   -0.56619E-06
    65    0.17355E+04    0.27164E+00    0.56500E-03   -0.37647E+01    0.12884E-06    0.61605E-03   -0.65997E-06
    66    0.17583E+04    0.28387E+00    0.57187E-03   -0.41626E+01    0.12817E-06    0.60521E-03   -0.73992E-06
    67    0.17813E+04    0.29632E+00    0.57845E-03   -0.45722E+01    0.12749E-06    0.59462E-03   -0.80252E-06
    68    0.18048E+04    0.30904E+00    0.58473E-03   -0.49917E+01    0.12681E-06    0.58433E-03   -0.84688E-06
    69    0.18284E+04    0.32197E+00    0.59070E-03   -0.54198E+01    0.12612E-06    0.57437E-03   -0.87213E-06
    70    0.18523E+04    0.33515E+00    0.59636E-03   -0.58580E+01    0.12543E-06    0.56479E-03   -0.87739E-06
    71    0.18764E+04    0.34859E+00    0.60170E-03   -0.63090E+01    0.12475E-06    0.55561E-03   -0.86285E-06
    72    0.19007E+04    0.36223E+00    0.60672E-03   -0.67738E+01    0.12406E-06    0.54682E-03   -0.83288E-06
    73    0.19251E+04    0.37606E+00    0.61142E-03   -0.72529E+01    0.12336E-06    0.53837E-03   -0.79288E-06
    74    0.19497E+04    0.39006E+00    0.61581E-03   -0.77452E+01    0.12267E-06    0.53022E-03   -0.74827E-06
    75    0.19746E+04    0.40424E+00    0.61988E-03   -0.82489E+01    0.12198E-06    0.52233E-03   -0.70446E-06
    76    0.19998E+04    0.41860E+00    0.62363E-03   -0.87632E+01    0.12128E-06    0.51468E-03   -0.66608E-06
    77    0.20254E+04    0.43313E+00    0.62706E-03   -0.92880E+01    0.12058E-06    0.50722E-03   -0.63480E-06
    78    0.20513E+04    0.44786E+00    0.63018E-03   -0.98247E+01    0.11989E-06    0.49994E-03   -0.61150E-06
    79    0.20774E+04    0.46273E+00    0.63297E-03   -0.10370E+02    0.11919E-06    0.49281E-03   -0.59710E-06
    80    0.21038E+04    0.47774E+00    0.63545E-03   -0.10924E+02    0.11849E-06    0.48580E-03   -0.59249E-06
    81    0.21304E+04    0.49284E+00    0.63761E-03   -0.11488E+02    0.11779E-06    0.47889E-03   -0.59836E-06
    82    0.21573E+04    0.50805E+00    0.63945E-03   -0.12062E+02    0.11710E-06    0.47207E-03   -0.61460E-06
    83    0.21844E+04    0.52336E+00    0.64097E-03   -0.12645E+02    0.11640E-06    0.46534E-03   -0.64087E-06
    84    0.22117E+04    0.53874E+00    0.64217E-03   -0.13235E+02    0.11571E-06    0.45869E-03   -0.67685E-06
    85    0.22392E+04    0.55418E+00    0.64305E-03   -0.13833E+02    0.11502E-06    0.45212E-03   -0.72220E-06
    86    0.22669E+04    0.56969E+00    0.64361E-03   -0.14438E+02    0.11433E-06    0.44561E-03   -0.77602E-06
    87    0.22950E+04    0.58523E+00    0.64386E-03   -0.15050E+02    0.11364E-06    0.43920E-03   -0.83500E-06
    88    0.23231E+04    0.60082E+00    0.64380E-03   -0.15668E+02    0.11295E-06    0.43290E-03   -0.89525E-06
    89    0.23515E+04    0.61645E+00    0.64342E-03   -0.16295E+02    0.11227E-06    0.42672E-03   -0.95288E-06
    90    0.23802E+04    0.63208E+00    0.64274E-03   -0.16926E+02    0.11159E-06    0.42070E-03   -0.10040E-05
    91    0.24090E+04    0.64769E+00    0.64176E-03   -0.17562E+02    0.11091E-06    0.41484E-03   -0.10455E-05
    92    0.24381E+04    0.66328E+00    0.64048E-03   -0.18203E+02    0.11024E-06    0.40915E-03   -0.10774E-05
    93    0.24676E+04    0.67884E+00    0.63891E-03   -0.18849E+02    0.10957E-06    0.40362E-03   -0.11004E-05
    94    0.24970E+04    0.69433E+00    0.63705E-03   -0.19498E+02    0.10890E-06    0.39824E-03   -0.11152E-05
    95    0.25268E+04    0.70974E+00    0.63492E-03   -0.20151E+02    0.10824E-06    0.39301E-03   -0.11225E-05
    96    0.25566E+04    0.72507E+00    0.63252E-03   -0.20808E+02    0.10757E-06    0.38791E-03   -0.11231E-05
    97    0.25868E+04    0.74029E+00    0.62985E-03   -0.21467E+02    0.10691E-06    0.38296E-03   -0.11178E-05
    98    0.26173E+04    0.75541E+00    0.62692E-03   -0.22126E+02    0.10626E-06    0.37813E-03   -0.11071E-05
    99    0.26478E+04    0.77038E+00    0.62374E-03   -0.22789E+02    0.10561E-06    0.37342E-03   -0.10920E-05
   100    0.26787E+04    0.78520E+00    0.62031E-03   -0.23450E+02    0.10496E-06    0.36883E-03   -0.10730E-05
   101    0.27096E+04    0.79993E+00    0.61665E-03   -0.24114E+02    0.10431E-06    0.36435E-03   -0.10510E-05
   102    0.27412E+04    0.81442E+00    0.61275E-03   -0.24777E+02    0.10367E-06    0.35998E-03   -0.10266E-05
   103    0.27726E+04    0.82875E+00    0.60863E-03   -0.25441E+02    0.10303E-06    0.35571E-03   -0.10006E-05
   104    0.28043E+04    0.84292E+00    0.60429E-03   -0.26102E+02    0.10240E-06    0.35153E-03   -0.97371E-06
   105    0.28361E+04    0.85685E+00    0.59974E-03   -0.26763E+02    0.10176E-06    0.34743E-03   -0.94665E-06
   106    0.28681E+04    0.87062E+00    0.59497E-03   -0.27421E+02    0.10114E-06    0.34342E-03   -0.92015E-06
   107    0.29001E+04    0.88407E+00    0.59001E-03   -0.28077E+02    0.10051E-06    0.33949E-03   -0.89495E-06
   108    0.29324E+04    0.89728E+00    0.58486E-03   -0.28730E+02    0.99893E-07    0.33562E-03   -0.87175E-06
   109    0.29650E+04    0.91017E+00    0.57952E-03   -0.29379E+02    0.99277E-07    0.33182E-03   -0.85128E-06
   110    0.29975E+04    0.92276E+00    0.57399E-03   -0.30023E+02    0.98665E-07    0.32807E-03   -0.83428E-06
   111    0.30303E+04    0.93510E+00    0.56830E-03   -0.30662E+02    0.98058E-07    0.32438E-03   -0.82130E-06
   112    0.30632E+04    0.94713E+00    0.56243E-03   -0.31298E+02    0.97454E-07    0.32074E-03   -0.81223E-06
   113    0.30963E+04    0.95884E+00    0.55641E-03   -0.31927E+02    0.96855E-07    0.31715E-03   -0.80680E-06
   114    0.31295E+04    0.97016E+00    0.55024E-03   -0.32549E+02    0.96259E-07    0.31361E-03   -0.80475E-06
   115    0.31630E+04    0.98124E+00    0.54393E-03   -0.33164E+02    0.95668E-07    0.31012E-03   -0.80579E-06
   116    0.31964E+04    0.99185E+00    0.53749E-03   -0.33772E+02    0.95081E-07    0.30669E-03   -0.80967E-06
   117    0.32301E+04    0.10021E+01    0.53092E-03   -0.34370E+02    0.94498E-07    0.30330E-03   -0.81610E-06
   118    0.32640E+04    0.10121E+01    0.52423E-03   -0.34961E+02    0.93919E-07    0.29996E-03   -0.82483E-06
   119    0.32978E+04    0.10217E+01    0.51744E-03   -0.35542E+02    0.93345E-07    0.29668E-03   -0.83558E-06
   120    0.33318E+04    0.10307E+01    0.51054E-03   -0.36112E+02    0.92774E-07    0.29344E-03   -0.84807E-06
   121    0.33658E+04    0.10395E+01    0.50356E-03   -0.36672E+02    0.92207E-07    0.29025E-03   -0.86205E-06
   122    0.33999E+04    0.10478E+01    0.49648E-03   -0.37221E+02    0.91645E-07    0.28712E-03   -0.87724E-06
   123    0.34340E+04    0.10556E+01    0.48934E-03   -0.37758E+02    0.91087E-07    0.28403E-03   -0.89337E-06
   124    0.34682E+04    0.10630E+01    0.48212E-03   -0.38281E+02    0.90532E-07    0.28099E-03   -0.91017E-06
   125    0.35024E+04    0.10700E+01    0.47485E-03   -0.38793E+02    0.89982E-07    0.27800E-03   -0.92738E-06
   126    0.35366E+04    0.10765E+01    0.46752E-03   -0.39291E+02    0.89436E-07    0.27505E-03   -0.94472E-06
   127    0.35708E+04    0.10825E+01    0.46015E-03   -0.39776E+02    0.88894E-07    0.27216E-03   -0.96192E-06
   128    0.36050E+04    0.10882E+01    0.45275E-03   -0.40246E+02    0.88357E-07    0.26931E-03   -0.97872E-06
   129    0.36392E+04    0.10932E+01    0.44532E-03   -0.40701E+02    0.87823E-07    0.26651E-03   -0.99485E-06
   130    0.36734E+04    0.10978E+01    0.43787E-03   -0.41140E+02    0.87293E-07    0.26376E-03   -0.10100E-05
   131    0.37076E+04    0.11019E+01    0.43040E-03   -0.41564E+02    0.86768E-07    0.26105E-03   -0.10241E-05
   132    0.37418E+04    0.11055E+01    0.42294E-03   -0.41971E+02    0.86247E-07    0.25839E-03   -0.10369E-05
   133    0.37760E+04    0.11087E+01    0.41547E-03   -0.42363E+02    0.85729E-07    0.25577E-03   -0.10485E-05
   134    0.38101E+04    0.11113E+01    0.40802E-03   -0.42734E+02    0.85216E-07    0.25320E-03   -0.10591E-05
   135    0.38442E+04    0.11135E+01    0.40057E-03   -0.43089E+02    0.84707E-07    0.25067E-03   -0.10684E-05
   136    0.38781E+04    0.11151E+01    0.39314E-03   -0.43424E+02    0.84202E-07    0.24819E-03   -0.10767E-05
   137    0.39121E+04    0.11162E+01    0.38574E-03   -0.43740E+02    0.83701E-07    0.24574E-03   -0.10839E-05
   138    0.39459E+04    0.11168E+01    0.37836E-03   -0.44037E+02    0.83203E-07    0.24333E-03   -0.10899E-05
   139    0.39795E+04    0.11170E+01    0.37103E-03   -0.44314E+02    0.82710E-07    0.24096E-03   -0.10950E-05
   140    0.40131E+04    0.11166E+01    0.36373E-03   -0.44571E+02    0.82221E-07    0.23862E-03   -0.10990E-05
   141    0.40465E+04    0.11157E+01    0.35647E-03   -0.44806E+02    0.81735E-07    0.23633E-03   -0.11020E-05
   142    0.40799E+04    0.11143E+01    0.34927E-03   -0.45021E+02    0.81253E-07    0.23406E-03   -0.11039E-05
   143    0.41132E+04    0.11125E+01    0.34213E-03   -0.45214E+02    0.80775E-07    0.23183E-03   -0.11049E-05
   144    0.41463E+04    0.11101E+01    0.33505E-03   -0.45386E+02    0.80301E-07    0.22963E-03   -0.11050E-05
   145    0.41792E+04    0.11073E+01    0.32804E-03   -0.45536E+02    0.79831E-07    0.22746E-03   -0.11041E-05
