#    L    TT             EE             BB             TE          
     2    0.10800E+04    0.35014E-01    0.16361E-03    0.28022E+01
     3    0.10157E+04    0.47182E-01    0.16781E-03    0.32152E+01
     4    0.95597E+03    0.43492E-01    0.14866E-03    0.30798E+01
     5    0.91113E+03    0.31265E-01    0.12049E-03    0.26781E+01
     6    0.87991E+03    0.18796E-01    0.93878E-04    0.22010E+01
     7    0.85936E+03    0.10354E-01    0.74483E-04    0.17575E+01
     8    0.84633E+03    0.61537E-02    0.63898E-04    0.13992E+01
     9    0.83918E+03    0.45280E-02    0.61392E-04    0.11406E+01
    10    0.83637E+03    0.38683E-02    0.65268E-04    0.97940E+00
    11    0.83644E+03    0.33878E-02    0.73696E-04    0.90169E+00
    12    0.83999E+03    0.30749E-02    0.85210E-04    0.88922E+00
    13    0.84527E+03    0.27047E-02    0.98876E-04    0.91776E+00
    14    0.85132E+03    0.26382E-02    0.11398E-03    0.96375E+00
    15    0.85852E+03    0.28099E-02    0.13023E-03    0.10196E+01
    16    0.86739E+03    0.30552E-02    0.14749E-03    0.10820E+01
    17    0.87791E+03    0.34603E-02    0.16568E-03    0.11464E+01
    18    0.88916E+03    0.39766E-02    0.18478E-03    0.12103E+01
    19    0.90194E+03    0.46118E-02    0.20477E-03    0.12740E+01
    20    0.91456E+03    0.54295E-02    0.22564E-03    0.13360E+01
    21    0.92739E+03    0.63921E-02    0.24739E-03    0.14006E+01
    22    0.94074E+03    0.75209E-02    0.27000E-03    0.14704E+01
    23    0.95443E+03    0.88168E-02    0.29346E-03    0.15419E+01
    24    0.96853E+03    0.10248E-01    0.31775E-03    0.16108E+01
    25    0.98299E+03    0.11846E-01    0.34285E-03    0.16757E+01
    26    0.99762E+03    0.13611E-01    0.36875E-03    0.17373E+01
    27    0.10127E+04    0.15531E-01    0.39545E-03    0.17928E+01
    28    0.10280E+04    0.17616E-01    0.42294E-03    0.18402E+01
    29    0.10436E+04    0.19884E-01    0.45124E-03    0.18798E+01
    30    0.10595E+04    0.22358E-01    0.48031E-03    0.19109E+01
    31    0.10755E+04    0.25043E-01    0.51015E-03    0.19344E+01
    32    0.10918E+04    0.27930E-01    0.54074E-03    0.19508E+01
    33    0.11084E+04    0.31024E-01    0.57204E-03    0.19584E+01
    34    0.11253E+04    0.34342E-01    0.60406E-03    0.19562E+01
    35    0.11422E+04    0.37900E-01    0.63676E-03    0.19467E+01
    36    0.11592E+04    0.41714E-01    0.67009E-03    0.19310E+01
    37    0.11764E+04    0.45773E-01    0.70410E-03    0.19058E+01
    38    0.11939E+04    0.50071E-01    0.73878E-03    0.18691E+01
    39    0.12118E+04    0.54611E-01    0.77412E-03    0.18213E+01
    40    0.12298E+04    0.59406E-01    0.81007E-03    0.17626E+01
    41    0.12481E+04    0.64472E-01    0.84659E-03    0.16933E+01
    42    0.12663E+04    0.69819E-01    0.88368E-03    0.16125E+01
    43    0.12847E+04    0.75455E-01    0.92132E-03    0.15192E+01
    44    0.13031E+04    0.81372E-01    0.95950E-03    0.14132E+01
    45    0.13218E+04    0.87573E-01    0.99822E-03    0.12947E+01
    46    0.13409E+04    0.94063E-01    0.10375E-02    0.11617E+01
    47    0.13600E+04    0.10084E+00    0.10772E-02    0.10151E+01
    48    0.13793E+04    0.10790E+00    0.11175E-02    0.85927E+00
    49    0.13986E+04    0.11524E+00    0.11582E-02    0.69781E+00
    50    0.14184E+04    0.12281E+00    0.11994E-02    0.52759E+00
    51    0.14383E+04    0.13059E+00    0.12410E-02    0.34403E+00
    52    0.14586E+04    0.13867E+00    0.12831E-02    0.14239E+00
    53    0.14789E+04    0.14719E+00    0.13256E-02   -0.80299E-01
    54    0.14992E+04    0.15615E+00    0.13685E-02   -0.31900E+00
    55    0.15195E+04    0.16553E+00    0.14118E-02   -0.56859E+00
    56    0.15403E+04    0.17519E+00    0.14555E-02   -0.83019E+00
    57    0.15613E+04    0.18502E+00    0.14996E-02   -0.11037E+01
    58    0.15826E+04    0.19501E+00    0.15441E-02   -0.13899E+01
    59    0.16041E+04    0.20522E+00    0.15890E-02   -0.16896E+01
    60    0.16257E+04    0.21568E+00    0.16342E-02   -0.20023E+01
    61    0.16478E+04    0.22649E+00    0.16797E-02   -0.23271E+01
    62    0.16698E+04    0.23763E+00    0.17256E-02   -0.26651E+01
    63    0.16920E+04    0.24907E+00    0.17718E-02   -0.30172E+01
    64    0.17145E+04    0.26082E+00    0.18183E-02   -0.33847E+01
    65    0.17370E+04    0.27286E+00    0.18651E-02   -0.37683E+01
    66    0.17599E+04    0.28513E+00    0.19123E-02   -0.41662E+01
    67    0.17829E+04    0.29761E+00    0.19598E-02   -0.45757E+01
    68    0.18064E+04    0.31036E+00    0.20076E-02   -0.49952E+01
    69    0.18301E+04    0.32332E+00    0.20557E-02   -0.54231E+01
    70    0.18540E+04    0.33654E+00    0.21041E-02   -0.58613E+01
    71    0.18781E+04    0.35001E+00    0.21527E-02   -0.63121E+01
    72    0.19024E+04    0.36369E+00    0.22017E-02   -0.67768E+01
    73    0.19269E+04    0.37755E+00    0.22510E-02   -0.72557E+01
    74    0.19515E+04    0.39159E+00    0.23005E-02   -0.77477E+01
    75    0.19765E+04    0.40580E+00    0.23504E-02   -0.82512E+01
    76    0.20017E+04    0.42019E+00    0.24006E-02   -0.87653E+01
