#    L    TT             EE             BB             TE          
    91    0.24090E+04    0.64769E+00    0.64176E-03   -0.17562E+02
    92    0.24381E+04    0.66328E+00    0.64048E-03   -0.18203E+02
    93    0.24676E+04    0.67884E+00    0.63891E-03   -0.18849E+02
    94    0.24970E+04    0.69433E+00    0.63705E-03   -0.19498E+02
    95    0.25268E+04    0.70974E+00    0.63492E-03   -0.20151E+02
    96    0.25566E+04    0.72507E+00    0.63252E-03   -0.20808E+02
    97    0.25868E+04    0.74029E+00    0.62985E-03   -0.21467E+02
    98    0.26173E+04    0.75541E+00    0.62692E-03   -0.22126E+02
    99    0.26478E+04    0.77038E+00    0.62374E-03   -0.22789E+02
   100    0.26787E+04    0.78520E+00    0.62031E-03   -0.23450E+02
   101    0.27096E+04    0.79993E+00    0.61665E-03   -0.24114E+02
   102    0.27412E+04    0.81442E+00    0.61275E-03   -0.24777E+02
   103    0.27726E+04    0.82875E+00    0.60863E-03   -0.25441E+02
   104    0.28043E+04    0.84292E+00    0.60429E-03   -0.26102E+02
   105    0.28361E+04    0.85685E+00    0.59974E-03   -0.26763E+02
   106    0.28681E+04    0.87062E+00    0.59497E-03   -0.27421E+02
   107    0.29001E+04    0.88407E+00    0.59001E-03   -0.28077E+02
   108    0.29324E+04    0.89728E+00    0.58486E-03   -0.28730E+02
   109    0.29650E+04    0.91017E+00    0.57952E-03   -0.29379E+02
   110    0.29975E+04    0.92276E+00    0.57399E-03   -0.30023E+02
   111    0.30303E+04    0.93510E+00    0.56830E-03   -0.30662E+02
   112    0.30632E+04    0.94713E+00    0.56243E-03   -0.31298E+02
   113    0.30963E+04    0.95884E+00    0.55641E-03   -0.31927E+02
   114    0.31295E+04    0.97016E+00    0.55024E-03   -0.32549E+02
   115    0.31630E+04    0.98124E+00    0.54393E-03   -0.33164E+02
   116    0.31964E+04    0.99185E+00    0.53749E-03   -0.33772E+02
   117    0.32301E+04    0.10021E+01    0.53092E-03   -0.34370E+02
   118    0.32640E+04    0.10121E+01    0.52423E-03   -0.34961E+02
   119    0.32978E+04    0.10217E+01    0.51744E-03   -0.35542E+02
