#    L    TT             EE             BB             TE          
    90    0.64644E+01    0.46628E-02    0.32137E-02   -0.13487E+00
    91    0.62741E+01    0.46874E-02    0.32088E-02   -0.13365E+00
    92    0.60866E+01    0.47101E-02    0.32024E-02   -0.13235E+00
    93    0.59019E+01    0.47308E-02    0.31945E-02   -0.13099E+00
    94    0.57201E+01    0.47496E-02    0.31853E-02   -0.12956E+00
    95    0.55412E+01    0.47665E-02    0.31746E-02   -0.12806E+00
    96    0.53653E+01    0.47815E-02    0.31626E-02   -0.12650E+00
    97    0.51923E+01    0.47946E-02    0.31492E-02   -0.12488E+00
    98    0.50223E+01    0.48058E-02    0.31346E-02   -0.12321E+00
    99    0.48553E+01    0.48151E-02    0.31187E-02   -0.12148E+00
   100    0.46914E+01    0.48225E-02    0.31016E-02   -0.11970E+00
   101    0.45305E+01    0.48281E-02    0.30833E-02   -0.11787E+00
   102    0.43729E+01    0.48318E-02    0.30638E-02   -0.11600E+00
   103    0.42183E+01    0.48337E-02    0.30432E-02   -0.11408E+00
   104    0.40670E+01    0.48338E-02    0.30215E-02   -0.11213E+00
   105    0.39189E+01    0.48320E-02    0.29987E-02   -0.11014E+00
   106    0.37740E+01    0.48284E-02    0.29749E-02   -0.10811E+00
   107    0.36324E+01    0.48230E-02    0.29501E-02   -0.10605E+00
   108    0.34942E+01    0.48158E-02    0.29243E-02   -0.10396E+00
   109    0.33593E+01    0.48068E-02    0.28976E-02   -0.10185E+00
   110    0.32278E+01    0.47961E-02    0.28700E-02   -0.99707E-01
   111    0.30997E+01    0.47836E-02    0.28415E-02   -0.97548E-01
   112    0.29751E+01    0.47693E-02    0.28122E-02   -0.95371E-01
   113    0.28537E+01    0.47534E-02    0.27821E-02   -0.93177E-01
   114    0.27357E+01    0.47357E-02    0.27512E-02   -0.90969E-01
   115    0.26210E+01    0.47164E-02    0.27197E-02   -0.88748E-01
   116    0.25096E+01    0.46954E-02    0.26874E-02   -0.86518E-01
   117    0.24014E+01    0.46728E-02    0.26546E-02   -0.84279E-01
   118    0.22964E+01    0.46487E-02    0.26212E-02   -0.82035E-01
   119    0.21945E+01    0.46230E-02    0.25872E-02   -0.79786E-01
   120    0.20959E+01    0.45957E-02    0.25527E-02   -0.77536E-01
   121    0.20003E+01    0.45669E-02    0.25178E-02   -0.75286E-01
   122    0.19078E+01    0.45367E-02    0.24824E-02   -0.73039E-01
   123    0.18183E+01    0.45050E-02    0.24467E-02   -0.70796E-01
   124    0.17319E+01    0.44719E-02    0.24106E-02   -0.68560E-01
   125    0.16484E+01    0.44373E-02    0.23742E-02   -0.66333E-01
   126    0.15679E+01    0.44014E-02    0.23376E-02   -0.64117E-01
   127    0.14903E+01    0.43641E-02    0.23008E-02   -0.61914E-01
   128    0.14156E+01    0.43255E-02    0.22637E-02   -0.59726E-01
   129    0.13438E+01    0.42856E-02    0.22266E-02   -0.57555E-01
   130    0.12748E+01    0.42444E-02    0.21893E-02   -0.55404E-01
   131    0.12086E+01    0.42020E-02    0.21520E-02   -0.53273E-01
   132    0.11451E+01    0.41584E-02    0.21147E-02   -0.51166E-01
   133    0.10843E+01    0.41136E-02    0.20774E-02   -0.49082E-01
   134    0.10261E+01    0.40678E-02    0.20401E-02   -0.47023E-01
   135    0.97050E+00    0.40209E-02    0.20029E-02   -0.44991E-01
   136    0.91741E+00    0.39730E-02    0.19657E-02   -0.42986E-01
   137    0.86678E+00    0.39243E-02    0.19287E-02   -0.41009E-01
   138    0.81855E+00    0.38746E-02    0.18918E-02   -0.39062E-01
   139    0.77266E+00    0.38242E-02    0.18551E-02   -0.37145E-01
   140    0.72906E+00    0.37730E-02    0.18186E-02   -0.35261E-01
   141    0.68770E+00    0.37211E-02    0.17824E-02   -0.33410E-01
   142    0.64850E+00    0.36685E-02    0.17464E-02   -0.31594E-01
   143    0.61143E+00    0.36154E-02    0.17107E-02   -0.29812E-01
   144    0.57641E+00    0.35617E-02    0.16753E-02   -0.28068E-01
   145    0.54340E+00    0.35076E-02    0.16402E-02   -0.26362E-01
   146    0.51235E+00    0.34530E-02    0.16055E-02   -0.24694E-01
   147    0.48318E+00    0.33981E-02    0.15713E-02   -0.23067E-01
   148    0.45585E+00    0.33428E-02    0.15374E-02   -0.21481E-01
   149    0.43030E+00    0.32873E-02    0.15040E-02   -0.19938E-01
   150    0.40647E+00    0.32316E-02    0.14711E-02   -0.18439E-01
   151    0.38431E+00    0.31758E-02    0.14387E-02   -0.16984E-01
   152    0.36377E+00    0.31198E-02    0.14069E-02   -0.15574E-01
   153    0.34479E+00    0.30638E-02    0.13756E-02   -0.14209E-01
   154    0.32733E+00    0.30077E-02    0.13448E-02   -0.12888E-01
   155    0.31133E+00    0.29517E-02    0.13145E-02   -0.11611E-01
   156    0.29675E+00    0.28957E-02    0.12849E-02   -0.10378E-01
   157    0.28353E+00    0.28397E-02    0.12557E-02   -0.91888E-02
   158    0.27162E+00    0.27839E-02    0.12272E-02   -0.80430E-02
   159    0.26097E+00    0.27282E-02    0.11993E-02   -0.69404E-02
   160    0.25154E+00    0.26727E-02    0.11719E-02   -0.58809E-02
   161    0.24326E+00    0.26175E-02    0.11451E-02   -0.48643E-02
   162    0.23610E+00    0.25625E-02    0.11190E-02   -0.38903E-02
   163    0.22999E+00    0.25078E-02    0.10935E-02   -0.29587E-02
   164    0.22489E+00    0.24535E-02    0.10686E-02   -0.20694E-02
   165    0.22075E+00    0.23995E-02    0.10443E-02   -0.12220E-02
   166    0.21752E+00    0.23460E-02    0.10207E-02   -0.41646E-03
   167    0.21514E+00    0.22929E-02    0.99771E-03    0.34749E-03
   168    0.21357E+00    0.22403E-02    0.97540E-03    0.10701E-02
   169    0.21275E+00    0.21882E-02    0.95376E-03    0.17515E-02
   170    0.21264E+00    0.21367E-02    0.93279E-03    0.23919E-02
   171    0.21319E+00    0.20858E-02    0.91251E-03    0.29916E-02
   172    0.21433E+00    0.20355E-02    0.89293E-03    0.35507E-02
   173    0.21603E+00    0.19859E-02    0.87405E-03    0.40695E-02
   174    0.21823E+00    0.19371E-02    0.85588E-03    0.45482E-02
   175    0.22088E+00    0.18890E-02    0.83843E-03    0.49870E-02
   176    0.22394E+00    0.18416E-02    0.82171E-03    0.53863E-02
   177    0.22737E+00    0.17951E-02    0.80570E-03    0.57470E-02
   178    0.23114E+00    0.17494E-02    0.79039E-03    0.60704E-02
   179    0.23523E+00    0.17046E-02    0.77577E-03    0.63577E-02
   180    0.23960E+00    0.16606E-02    0.76183E-03    0.66101E-02
   181    0.24424E+00    0.16175E-02    0.74854E-03    0.68287E-02
   182    0.24911E+00    0.15753E-02    0.73590E-03    0.70147E-02
   183    0.25418E+00    0.15340E-02    0.72389E-03    0.71694E-02
   184    0.25943E+00    0.14937E-02    0.71250E-03    0.72939E-02
   185    0.26482E+00    0.14543E-02    0.70172E-03    0.73894E-02
   186    0.27034E+00    0.14159E-02    0.69152E-03    0.74571E-02
   187    0.27594E+00    0.13785E-02    0.68191E-03    0.74982E-02
   188    0.28161E+00    0.13421E-02    0.67286E-03    0.75139E-02
   189    0.28732E+00    0.13067E-02    0.66435E-03    0.75054E-02
   190    0.29303E+00    0.12724E-02    0.65639E-03    0.74739E-02
   191    0.29872E+00    0.12392E-02    0.64894E-03    0.74204E-02
   192    0.30436E+00    0.12070E-02    0.64201E-03    0.73464E-02
   193    0.30992E+00    0.11759E-02    0.63557E-03    0.72529E-02
   194    0.31538E+00    0.11460E-02    0.62961E-03    0.71411E-02
   195    0.32070E+00    0.11172E-02    0.62412E-03    0.70122E-02
   196    0.32586E+00    0.10896E-02    0.61908E-03    0.68674E-02
   197    0.33083E+00    0.10631E-02    0.61448E-03    0.67079E-02
   198    0.33558E+00    0.10378E-02    0.61030E-03    0.65349E-02
   199    0.34009E+00    0.10138E-02    0.60654E-03    0.63496E-02
   200    0.34432E+00    0.99097E-03    0.60318E-03    0.61532E-02
   201    0.34825E+00    0.96940E-03    0.60020E-03    0.59467E-02
   202    0.35189E+00    0.94905E-03    0.59760E-03    0.57308E-02
   203    0.35523E+00    0.92991E-03    0.59535E-03    0.55058E-02
   204    0.35829E+00    0.91194E-03    0.59346E-03    0.52725E-02
   205    0.36106E+00    0.89512E-03    0.59189E-03    0.50311E-02
   206    0.36356E+00    0.87942E-03    0.59065E-03    0.47822E-02
   207    0.36579E+00    0.86482E-03    0.58973E-03    0.45263E-02
   208    0.36775E+00    0.85130E-03    0.58910E-03    0.42639E-02
   209    0.36945E+00    0.83882E-03    0.58875E-03    0.39955E-02
   210    0.37089E+00    0.82737E-03    0.58868E-03    0.37215E-02
   211    0.37208E+00    0.81691E-03    0.58887E-03    0.34424E-02
   212    0.37302E+00    0.80742E-03    0.58931E-03    0.31588E-02
   213    0.37372E+00    0.79888E-03    0.58998E-03    0.28711E-02
   214    0.37419E+00    0.79126E-03    0.59088E-03    0.25799E-02
   215    0.37443E+00    0.78453E-03    0.59199E-03    0.22855E-02
   216    0.37444E+00    0.77868E-03    0.59330E-03    0.19885E-02
   217    0.37423E+00    0.77366E-03    0.59480E-03    0.16893E-02
   218    0.37380E+00    0.76946E-03    0.59647E-03    0.13886E-02
   219    0.37317E+00    0.76606E-03    0.59831E-03    0.10866E-02
   220    0.37233E+00    0.76342E-03    0.60029E-03    0.78404E-03
   221    0.37128E+00    0.76153E-03    0.60241E-03    0.48128E-03
   222    0.37005E+00    0.76035E-03    0.60466E-03    0.17883E-03
   223    0.36862E+00    0.75986E-03    0.60702E-03   -0.12281E-03
   224    0.36701E+00    0.76004E-03    0.60948E-03   -0.42317E-03
   225    0.36523E+00    0.76085E-03    0.61202E-03   -0.72175E-03
   226    0.36326E+00    0.76228E-03    0.61465E-03   -0.10181E-02
   227    0.36113E+00    0.76430E-03    0.61733E-03   -0.13116E-02
   228    0.35883E+00    0.76688E-03    0.62007E-03   -0.16019E-02
   229    0.35638E+00    0.77000E-03    0.62285E-03   -0.18885E-02
   230    0.35377E+00    0.77363E-03    0.62565E-03   -0.21709E-02
   231    0.35101E+00    0.77774E-03    0.62846E-03   -0.24485E-02
   232    0.34811E+00    0.78232E-03    0.63128E-03   -0.27210E-02
   233    0.34507E+00    0.78734E-03    0.63409E-03   -0.29878E-02
   234    0.34190E+00    0.79276E-03    0.63687E-03   -0.32484E-02
   235    0.33859E+00    0.79857E-03    0.63962E-03   -0.35023E-02
   236    0.33517E+00    0.80473E-03    0.64232E-03   -0.37491E-02
   237    0.33163E+00    0.81123E-03    0.64496E-03   -0.39882E-02
   238    0.32797E+00    0.81804E-03    0.64752E-03   -0.42193E-02
   239    0.32421E+00    0.82513E-03    0.65000E-03   -0.44417E-02
   240    0.32035E+00    0.83247E-03    0.65239E-03   -0.46550E-02
   241    0.31639E+00    0.84005E-03    0.65466E-03   -0.48587E-02
   242    0.31233E+00    0.84784E-03    0.65682E-03   -0.50524E-02
   243    0.30819E+00    0.85580E-03    0.65883E-03   -0.52354E-02
   244    0.30397E+00    0.86392E-03    0.66070E-03   -0.54074E-02
   245    0.29967E+00    0.87217E-03    0.66242E-03   -0.55679E-02
   246    0.29530E+00    0.88052E-03    0.66396E-03   -0.57164E-02
   247    0.29086E+00    0.88895E-03    0.66531E-03   -0.58523E-02
   248    0.28636E+00    0.89743E-03    0.66647E-03   -0.59752E-02
   249    0.28180E+00    0.90594E-03    0.66742E-03   -0.60846E-02
   250    0.27720E+00    0.91445E-03    0.66815E-03   -0.61800E-02
   251    0.27255E+00    0.92294E-03    0.66865E-03   -0.62611E-02
   252    0.26785E+00    0.93140E-03    0.66892E-03   -0.63281E-02
   253    0.26312E+00    0.93982E-03    0.66897E-03   -0.63814E-02
   254    0.25835E+00    0.94818E-03    0.66880E-03   -0.64213E-02
   255    0.25356E+00    0.95647E-03    0.66841E-03   -0.64482E-02
   256    0.24874E+00    0.96469E-03    0.66782E-03   -0.64625E-02
   257    0.24390E+00    0.97283E-03    0.66702E-03   -0.64646E-02
   258    0.23904E+00    0.98088E-03    0.66603E-03   -0.64548E-02
   259    0.23417E+00    0.98882E-03    0.66484E-03   -0.64335E-02
   260    0.22929E+00    0.99665E-03    0.66346E-03   -0.64010E-02
   261    0.22441E+00    0.10044E-02    0.66190E-03   -0.63579E-02
   262    0.21952E+00    0.10119E-02    0.66015E-03   -0.63043E-02
   263    0.21464E+00    0.10194E-02    0.65824E-03   -0.62407E-02
   264    0.20977E+00    0.10266E-02    0.65615E-03   -0.61675E-02
   265    0.20491E+00    0.10338E-02    0.65390E-03   -0.60850E-02
   266    0.20006E+00    0.10407E-02    0.65149E-03   -0.59936E-02
   267    0.19524E+00    0.10474E-02    0.64893E-03   -0.58936E-02
   268    0.19044E+00    0.10540E-02    0.64622E-03   -0.57856E-02
   269    0.18567E+00    0.10604E-02    0.64336E-03   -0.56697E-02
   270    0.18093E+00    0.10665E-02    0.64037E-03   -0.55464E-02
   271    0.17623E+00    0.10724E-02    0.63723E-03   -0.54161E-02
   272    0.17157E+00    0.10781E-02    0.63397E-03   -0.52791E-02
   273    0.16696E+00    0.10836E-02    0.63059E-03   -0.51359E-02
   274    0.16239E+00    0.10888E-02    0.62708E-03   -0.49867E-02
   275    0.15788E+00    0.10937E-02    0.62346E-03   -0.48319E-02
   276    0.15343E+00    0.10984E-02    0.61973E-03   -0.46720E-02
