#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2868    0.27301E+02   -0.17839E+01    0.33603E-10   -0.17839E+01    0.15394E+01    0.33904E-11    0.33603E-10    0.33904E-11    0.85996E-16
  2869    0.27260E+02   -0.18002E+01    0.33497E-10   -0.18002E+01    0.15357E+01    0.33721E-11    0.33497E-10    0.33721E-11    0.85870E-16
  2870    0.27222E+02   -0.18164E+01    0.33393E-10   -0.18164E+01    0.15319E+01    0.33536E-11    0.33393E-10    0.33536E-11    0.85744E-16
  2871    0.27183E+02   -0.18323E+01    0.33291E-10   -0.18323E+01    0.15279E+01    0.33349E-11    0.33291E-10    0.33349E-11    0.85618E-16
  2872    0.27146E+02   -0.18480E+01    0.33190E-10   -0.18480E+01    0.15239E+01    0.33158E-11    0.33190E-10    0.33158E-11    0.85492E-16
  2873    0.27111E+02   -0.18634E+01    0.33092E-10   -0.18634E+01    0.15196E+01    0.32966E-11    0.33092E-10    0.32966E-11    0.85367E-16
  2874    0.27077E+02   -0.18788E+01    0.32995E-10   -0.18788E+01    0.15153E+01    0.32770E-11    0.32995E-10    0.32770E-11    0.85242E-16
  2875    0.27044E+02   -0.18937E+01    0.32900E-10   -0.18937E+01    0.15108E+01    0.32572E-11    0.32900E-10    0.32572E-11    0.85117E-16
  2876    0.27012E+02   -0.19086E+01    0.32807E-10   -0.19086E+01    0.15062E+01    0.32372E-11    0.32807E-10    0.32372E-11    0.84992E-16
  2877    0.26981E+02   -0.19231E+01    0.32715E-10   -0.19231E+01    0.15016E+01    0.32169E-11    0.32715E-10    0.32169E-11    0.84868E-16
  2878    0.26951E+02   -0.19374E+01    0.32626E-10   -0.19374E+01    0.14968E+01    0.31964E-11    0.32626E-10    0.31964E-11    0.84744E-16
  2879    0.26922E+02   -0.19514E+01    0.32538E-10   -0.19514E+01    0.14918E+01    0.31757E-11    0.32538E-10    0.31757E-11    0.84620E-16
  2880    0.26894E+02   -0.19653E+01    0.32452E-10   -0.19653E+01    0.14869E+01    0.31547E-11    0.32452E-10    0.31547E-11    0.84496E-16
  2881    0.26868E+02   -0.19788E+01    0.32367E-10   -0.19788E+01    0.14817E+01    0.31335E-11    0.32367E-10    0.31335E-11    0.84372E-16
  2882    0.26842E+02   -0.19921E+01    0.32285E-10   -0.19921E+01    0.14765E+01    0.31121E-11    0.32285E-10    0.31121E-11    0.84249E-16
  2883    0.26818E+02   -0.20051E+01    0.32204E-10   -0.20051E+01    0.14712E+01    0.30905E-11    0.32204E-10    0.30905E-11    0.84126E-16
  2884    0.26794E+02   -0.20178E+01    0.32125E-10   -0.20178E+01    0.14659E+01    0.30686E-11    0.32125E-10    0.30686E-11    0.84003E-16
  2885    0.26771E+02   -0.20303E+01    0.32047E-10   -0.20303E+01    0.14604E+01    0.30466E-11    0.32047E-10    0.30466E-11    0.83880E-16
  2886    0.26749E+02   -0.20425E+01    0.31972E-10   -0.20425E+01    0.14548E+01    0.30243E-11    0.31972E-10    0.30243E-11    0.83758E-16
  2887    0.26728E+02   -0.20544E+01    0.31898E-10   -0.20544E+01    0.14490E+01    0.30018E-11    0.31898E-10    0.30018E-11    0.83636E-16
  2888    0.26707E+02   -0.20660E+01    0.31825E-10   -0.20660E+01    0.14433E+01    0.29792E-11    0.31825E-10    0.29792E-11    0.83514E-16
  2889    0.26688E+02   -0.20771E+01    0.31755E-10   -0.20771E+01    0.14373E+01    0.29563E-11    0.31755E-10    0.29563E-11    0.83392E-16
  2890    0.26669E+02   -0.20882E+01    0.31686E-10   -0.20882E+01    0.14313E+01    0.29332E-11    0.31686E-10    0.29332E-11    0.83270E-16
  2891    0.26651E+02   -0.20986E+01    0.31619E-10   -0.20986E+01    0.14252E+01    0.29100E-11    0.31619E-10    0.29100E-11    0.83149E-16
  2892    0.26633E+02   -0.21090E+01    0.31554E-10   -0.21090E+01    0.14190E+01    0.28865E-11    0.31554E-10    0.28865E-11    0.83028E-16
  2893    0.26616E+02   -0.21190E+01    0.31490E-10   -0.21190E+01    0.14128E+01    0.28629E-11    0.31490E-10    0.28629E-11    0.82907E-16
  2894    0.26601E+02   -0.21289E+01    0.31428E-10   -0.21289E+01    0.14065E+01    0.28391E-11    0.31428E-10    0.28391E-11    0.82786E-16
  2895    0.26585E+02   -0.21382E+01    0.31368E-10   -0.21382E+01    0.14000E+01    0.28151E-11    0.31368E-10    0.28151E-11    0.82665E-16
  2896    0.26570E+02   -0.21473E+01    0.31309E-10   -0.21473E+01    0.13935E+01    0.27909E-11    0.31309E-10    0.27909E-11    0.82545E-16
  2897    0.26556E+02   -0.21561E+01    0.31253E-10   -0.21561E+01    0.13869E+01    0.27666E-11    0.31253E-10    0.27666E-11    0.82425E-16
  2898    0.26542E+02   -0.21645E+01    0.31197E-10   -0.21645E+01    0.13802E+01    0.27421E-11    0.31197E-10    0.27421E-11    0.82305E-16
  2899    0.26529E+02   -0.21725E+01    0.31144E-10   -0.21725E+01    0.13735E+01    0.27174E-11    0.31144E-10    0.27174E-11    0.82186E-16
  2900    0.26516E+02   -0.21802E+01    0.31092E-10   -0.21802E+01    0.13668E+01    0.26926E-11    0.31092E-10    0.26926E-11    0.82066E-16
  2901    0.26504E+02   -0.21875E+01    0.31042E-10   -0.21875E+01    0.13599E+01    0.26676E-11    0.31042E-10    0.26676E-11    0.81947E-16
  2902    0.26493E+02   -0.21945E+01    0.30993E-10   -0.21945E+01    0.13530E+01    0.26425E-11    0.30993E-10    0.26425E-11    0.81828E-16
  2903    0.26481E+02   -0.22012E+01    0.30946E-10   -0.22012E+01    0.13460E+01    0.26172E-11    0.30946E-10    0.26172E-11    0.81709E-16
  2904    0.26470E+02   -0.22074E+01    0.30901E-10   -0.22074E+01    0.13390E+01    0.25918E-11    0.30901E-10    0.25918E-11    0.81590E-16
  2905    0.26459E+02   -0.22133E+01    0.30857E-10   -0.22133E+01    0.13319E+01    0.25662E-11    0.30857E-10    0.25662E-11    0.81472E-16
  2906    0.26448E+02   -0.22188E+01    0.30815E-10   -0.22188E+01    0.13246E+01    0.25405E-11    0.30815E-10    0.25405E-11    0.81354E-16
  2907    0.26439E+02   -0.22241E+01    0.30775E-10   -0.22241E+01    0.13174E+01    0.25147E-11    0.30775E-10    0.25147E-11    0.81236E-16
  2908    0.26429E+02   -0.22290E+01    0.30736E-10   -0.22290E+01    0.13102E+01    0.24887E-11    0.30736E-10    0.24887E-11    0.81118E-16
  2909    0.26419E+02   -0.22334E+01    0.30699E-10   -0.22334E+01    0.13029E+01    0.24626E-11    0.30699E-10    0.24626E-11    0.81000E-16
  2910    0.26410E+02   -0.22376E+01    0.30663E-10   -0.22376E+01    0.12954E+01    0.24364E-11    0.30663E-10    0.24364E-11    0.80883E-16
  2911    0.26401E+02   -0.22412E+01    0.30629E-10   -0.22412E+01    0.12880E+01    0.24101E-11    0.30629E-10    0.24101E-11    0.80766E-16
  2912    0.26393E+02   -0.22448E+01    0.30596E-10   -0.22448E+01    0.12805E+01    0.23836E-11    0.30596E-10    0.23836E-11    0.80649E-16
  2913    0.26383E+02   -0.22478E+01    0.30565E-10   -0.22478E+01    0.12730E+01    0.23571E-11    0.30565E-10    0.23571E-11    0.80532E-16
  2914    0.26375E+02   -0.22505E+01    0.30535E-10   -0.22505E+01    0.12656E+01    0.23304E-11    0.30535E-10    0.23304E-11    0.80416E-16
  2915    0.26367E+02   -0.22529E+01    0.30507E-10   -0.22529E+01    0.12579E+01    0.23037E-11    0.30507E-10    0.23037E-11    0.80299E-16
  2916    0.26359E+02   -0.22548E+01    0.30480E-10   -0.22548E+01    0.12503E+01    0.22768E-11    0.30480E-10    0.22768E-11    0.80183E-16
  2917    0.26351E+02   -0.22564E+01    0.30455E-10   -0.22564E+01    0.12425E+01    0.22498E-11    0.30455E-10    0.22498E-11    0.80067E-16
  2918    0.26343E+02   -0.22578E+01    0.30431E-10   -0.22578E+01    0.12349E+01    0.22228E-11    0.30431E-10    0.22228E-11    0.79951E-16
  2919    0.26335E+02   -0.22587E+01    0.30409E-10   -0.22587E+01    0.12270E+01    0.21956E-11    0.30409E-10    0.21956E-11    0.79836E-16
  2920    0.26326E+02   -0.22593E+01    0.30388E-10   -0.22593E+01    0.12193E+01    0.21684E-11    0.30388E-10    0.21684E-11    0.79721E-16
  2921    0.26319E+02   -0.22595E+01    0.30369E-10   -0.22595E+01    0.12115E+01    0.21411E-11    0.30369E-10    0.21411E-11    0.79605E-16
  2922    0.26311E+02   -0.22593E+01    0.30351E-10   -0.22593E+01    0.12036E+01    0.21137E-11    0.30351E-10    0.21137E-11    0.79491E-16
  2923    0.26303E+02   -0.22588E+01    0.30334E-10   -0.22588E+01    0.11957E+01    0.20862E-11    0.30334E-10    0.20862E-11    0.79376E-16
  2924    0.26296E+02   -0.22579E+01    0.30319E-10   -0.22579E+01    0.11878E+01    0.20587E-11    0.30319E-10    0.20587E-11    0.79261E-16
  2925    0.26288E+02   -0.22567E+01    0.30305E-10   -0.22567E+01    0.11800E+01    0.20311E-11    0.30305E-10    0.20311E-11    0.79147E-16
  2926    0.26280E+02   -0.22551E+01    0.30293E-10   -0.22551E+01    0.11720E+01    0.20034E-11    0.30293E-10    0.20034E-11    0.79033E-16
  2927    0.26271E+02   -0.22532E+01    0.30282E-10   -0.22532E+01    0.11639E+01    0.19757E-11    0.30282E-10    0.19757E-11    0.78919E-16
  2928    0.26263E+02   -0.22510E+01    0.30272E-10   -0.22510E+01    0.11558E+01    0.19479E-11    0.30272E-10    0.19479E-11    0.78805E-16
  2929    0.26255E+02   -0.22484E+01    0.30264E-10   -0.22484E+01    0.11481E+01    0.19200E-11    0.30264E-10    0.19200E-11    0.78692E-16
  2930    0.26247E+02   -0.22455E+01    0.30257E-10   -0.22455E+01    0.11401E+01    0.18922E-11    0.30257E-10    0.18922E-11    0.78578E-16
  2931    0.26239E+02   -0.22422E+01    0.30251E-10   -0.22422E+01    0.11322E+01    0.18642E-11    0.30251E-10    0.18642E-11    0.78465E-16
  2932    0.26230E+02   -0.22386E+01    0.30247E-10   -0.22386E+01    0.11242E+01    0.18363E-11    0.30247E-10    0.18363E-11    0.78352E-16
  2933    0.26220E+02   -0.22348E+01    0.30243E-10   -0.22348E+01    0.11162E+01    0.18083E-11    0.30243E-10    0.18083E-11    0.78240E-16
  2934    0.26211E+02   -0.22306E+01    0.30241E-10   -0.22306E+01    0.11082E+01    0.17802E-11    0.30241E-10    0.17802E-11    0.78127E-16
  2935    0.26202E+02   -0.22260E+01    0.30241E-10   -0.22260E+01    0.11002E+01    0.17521E-11    0.30241E-10    0.17521E-11    0.78015E-16
  2936    0.26192E+02   -0.22210E+01    0.30241E-10   -0.22210E+01    0.10922E+01    0.17241E-11    0.30241E-10    0.17241E-11    0.77903E-16
  2937    0.26181E+02   -0.22158E+01    0.30243E-10   -0.22158E+01    0.10843E+01    0.16959E-11    0.30243E-10    0.16959E-11    0.77791E-16
  2938    0.26171E+02   -0.22102E+01    0.30246E-10   -0.22102E+01    0.10762E+01    0.16678E-11    0.30246E-10    0.16678E-11    0.77679E-16
  2939    0.26160E+02   -0.22043E+01    0.30251E-10   -0.22043E+01    0.10683E+01    0.16396E-11    0.30251E-10    0.16396E-11    0.77567E-16
  2940    0.26150E+02   -0.21982E+01    0.30256E-10   -0.21982E+01    0.10604E+01    0.16115E-11    0.30256E-10    0.16115E-11    0.77456E-16
  2941    0.26137E+02   -0.21917E+01    0.30263E-10   -0.21917E+01    0.10524E+01    0.15833E-11    0.30263E-10    0.15833E-11    0.77345E-16
  2942    0.26126E+02   -0.21848E+01    0.30271E-10   -0.21848E+01    0.10446E+01    0.15551E-11    0.30271E-10    0.15551E-11    0.77234E-16
  2943    0.26113E+02   -0.21778E+01    0.30280E-10   -0.21778E+01    0.10367E+01    0.15270E-11    0.30280E-10    0.15270E-11    0.77123E-16
  2944    0.26100E+02   -0.21704E+01    0.30290E-10   -0.21704E+01    0.10288E+01    0.14988E-11    0.30290E-10    0.14988E-11    0.77013E-16
  2945    0.26087E+02   -0.21628E+01    0.30302E-10   -0.21628E+01    0.10209E+01    0.14706E-11    0.30302E-10    0.14706E-11    0.76902E-16
  2946    0.26073E+02   -0.21548E+01    0.30314E-10   -0.21548E+01    0.10131E+01    0.14425E-11    0.30314E-10    0.14425E-11    0.76792E-16
  2947    0.26059E+02   -0.21467E+01    0.30328E-10   -0.21467E+01    0.10054E+01    0.14143E-11    0.30328E-10    0.14143E-11    0.76682E-16
  2948    0.26044E+02   -0.21381E+01    0.30343E-10   -0.21381E+01    0.99760E+00    0.13862E-11    0.30343E-10    0.13862E-11    0.76572E-16
  2949    0.26028E+02   -0.21293E+01    0.30359E-10   -0.21293E+01    0.98991E+00    0.13581E-11    0.30359E-10    0.13581E-11    0.76463E-16
  2950    0.26013E+02   -0.21203E+01    0.30376E-10   -0.21203E+01    0.98220E+00    0.13300E-11    0.30376E-10    0.13300E-11    0.76353E-16
  2951    0.25997E+02   -0.21111E+01    0.30394E-10   -0.21111E+01    0.97456E+00    0.13020E-11    0.30394E-10    0.13020E-11    0.76244E-16
  2952    0.25980E+02   -0.21015E+01    0.30413E-10   -0.21015E+01    0.96698E+00    0.12740E-11    0.30413E-10    0.12740E-11    0.76135E-16
  2953    0.25962E+02   -0.20917E+01    0.30433E-10   -0.20917E+01    0.95954E+00    0.12460E-11    0.30433E-10    0.12460E-11    0.76026E-16
  2954    0.25943E+02   -0.20817E+01    0.30454E-10   -0.20817E+01    0.95201E+00    0.12180E-11    0.30454E-10    0.12180E-11    0.75917E-16
  2955    0.25925E+02   -0.20713E+01    0.30476E-10   -0.20713E+01    0.94455E+00    0.11901E-11    0.30476E-10    0.11901E-11    0.75809E-16
  2956    0.25905E+02   -0.20607E+01    0.30500E-10   -0.20607E+01    0.93714E+00    0.11623E-11    0.30500E-10    0.11623E-11    0.75701E-16
  2957    0.25885E+02   -0.20500E+01    0.30524E-10   -0.20500E+01    0.92980E+00    0.11345E-11    0.30524E-10    0.11345E-11    0.75593E-16
  2958    0.25865E+02   -0.20390E+01    0.30549E-10   -0.20390E+01    0.92252E+00    0.11067E-11    0.30549E-10    0.11067E-11    0.75485E-16
  2959    0.25843E+02   -0.20278E+01    0.30575E-10   -0.20278E+01    0.91522E+00    0.10790E-11    0.30575E-10    0.10790E-11    0.75377E-16
  2960    0.25821E+02   -0.20163E+01    0.30602E-10   -0.20163E+01    0.90812E+00    0.10513E-11    0.30602E-10    0.10513E-11    0.75269E-16
  2961    0.25799E+02   -0.20046E+01    0.30630E-10   -0.20046E+01    0.90094E+00    0.10237E-11    0.30630E-10    0.10237E-11    0.75162E-16
  2962    0.25775E+02   -0.19928E+01    0.30659E-10   -0.19928E+01    0.89382E+00    0.99609E-12    0.30659E-10    0.99609E-12    0.75055E-16
  2963    0.25751E+02   -0.19806E+01    0.30689E-10   -0.19806E+01    0.88689E+00    0.96858E-12    0.30689E-10    0.96858E-12    0.74948E-16
  2964    0.25726E+02   -0.19682E+01    0.30720E-10   -0.19682E+01    0.87988E+00    0.94113E-12    0.30720E-10    0.94113E-12    0.74841E-16
  2965    0.25701E+02   -0.19557E+01    0.30752E-10   -0.19557E+01    0.87299E+00    0.91375E-12    0.30752E-10    0.91375E-12    0.74734E-16
  2966    0.25675E+02   -0.19430E+01    0.30784E-10   -0.19430E+01    0.86616E+00    0.88643E-12    0.30784E-10    0.88643E-12    0.74628E-16
  2967    0.25647E+02   -0.19300E+01    0.30817E-10   -0.19300E+01    0.85939E+00    0.85918E-12    0.30817E-10    0.85918E-12    0.74522E-16
  2968    0.25619E+02   -0.19169E+01    0.30852E-10   -0.19169E+01    0.85266E+00    0.83199E-12    0.30852E-10    0.83199E-12    0.74416E-16
  2969    0.25591E+02   -0.19035E+01    0.30887E-10   -0.19035E+01    0.84599E+00    0.80488E-12    0.30887E-10    0.80488E-12    0.74310E-16
  2970    0.25561E+02   -0.18900E+01    0.30922E-10   -0.18900E+01    0.83937E+00    0.77785E-12    0.30922E-10    0.77785E-12    0.74204E-16
  2971    0.25533E+02   -0.18764E+01    0.30959E-10   -0.18764E+01    0.83287E+00    0.75089E-12    0.30959E-10    0.75089E-12    0.74099E-16
  2972    0.25502E+02   -0.18625E+01    0.30996E-10   -0.18625E+01    0.82643E+00    0.72401E-12    0.30996E-10    0.72401E-12    0.73993E-16
  2973    0.25470E+02   -0.18486E+01    0.31034E-10   -0.18486E+01    0.82003E+00    0.69721E-12    0.31034E-10    0.69721E-12    0.73888E-16
  2974    0.25440E+02   -0.18344E+01    0.31073E-10   -0.18344E+01    0.81369E+00    0.67049E-12    0.31073E-10    0.67049E-12    0.73783E-16
  2975    0.25407E+02   -0.18201E+01    0.31113E-10   -0.18201E+01    0.80746E+00    0.64386E-12    0.31113E-10    0.64386E-12    0.73678E-16
  2976    0.25373E+02   -0.18056E+01    0.31153E-10   -0.18056E+01    0.80121E+00    0.61732E-12    0.31153E-10    0.61732E-12    0.73574E-16
  2977    0.25340E+02   -0.17911E+01    0.31194E-10   -0.17911E+01    0.79516E+00    0.59088E-12    0.31194E-10    0.59088E-12    0.73469E-16
  2978    0.25305E+02   -0.17764E+01    0.31235E-10   -0.17764E+01    0.78915E+00    0.56452E-12    0.31235E-10    0.56452E-12    0.73365E-16
  2979    0.25269E+02   -0.17616E+01    0.31278E-10   -0.17616E+01    0.78326E+00    0.53826E-12    0.31278E-10    0.53826E-12    0.73261E-16
  2980    0.25233E+02   -0.17466E+01    0.31321E-10   -0.17466E+01    0.77734E+00    0.51210E-12    0.31321E-10    0.51210E-12    0.73157E-16
  2981    0.25196E+02   -0.17315E+01    0.31364E-10   -0.17315E+01    0.77161E+00    0.48604E-12    0.31364E-10    0.48604E-12    0.73054E-16
  2982    0.25158E+02   -0.17163E+01    0.31408E-10   -0.17163E+01    0.76585E+00    0.46009E-12    0.31408E-10    0.46009E-12    0.72950E-16
  2983    0.25119E+02   -0.17011E+01    0.31453E-10   -0.17011E+01    0.76021E+00    0.43424E-12    0.31453E-10    0.43424E-12    0.72847E-16
  2984    0.25080E+02   -0.16857E+01    0.31499E-10   -0.16857E+01    0.75468E+00    0.40850E-12    0.31499E-10    0.40850E-12    0.72743E-16
  2985    0.25040E+02   -0.16702E+01    0.31545E-10   -0.16702E+01    0.74920E+00    0.38286E-12    0.31545E-10    0.38286E-12    0.72640E-16
  2986    0.24999E+02   -0.16547E+01    0.31591E-10   -0.16547E+01    0.74383E+00    0.35734E-12    0.31591E-10    0.35734E-12    0.72538E-16
  2987    0.24958E+02   -0.16391E+01    0.31638E-10   -0.16391E+01    0.73850E+00    0.33194E-12    0.31638E-10    0.33194E-12    0.72435E-16
  2988    0.24916E+02   -0.16233E+01    0.31686E-10   -0.16233E+01    0.73321E+00    0.30665E-12    0.31686E-10    0.30665E-12    0.72333E-16
  2989    0.24873E+02   -0.16075E+01    0.31734E-10   -0.16075E+01    0.72818E+00    0.28148E-12    0.31734E-10    0.28148E-12    0.72230E-16
  2990    0.24829E+02   -0.15917E+01    0.31783E-10   -0.15917E+01    0.72312E+00    0.25644E-12    0.31783E-10    0.25644E-12    0.72128E-16
  2991    0.24785E+02   -0.15759E+01    0.31832E-10   -0.15759E+01    0.71809E+00    0.23152E-12    0.31832E-10    0.23152E-12    0.72026E-16
  2992    0.24739E+02   -0.15599E+01    0.31882E-10   -0.15599E+01    0.71332E+00    0.20672E-12    0.31882E-10    0.20672E-12    0.71925E-16
  2993    0.24693E+02   -0.15440E+01    0.31932E-10   -0.15440E+01    0.70852E+00    0.18206E-12    0.31932E-10    0.18206E-12    0.71823E-16
  2994    0.24646E+02   -0.15281E+01    0.31982E-10   -0.15281E+01    0.70375E+00    0.15753E-12    0.31982E-10    0.15753E-12    0.71722E-16
  2995    0.24599E+02   -0.15120E+01    0.32033E-10   -0.15120E+01    0.69923E+00    0.13313E-12    0.32033E-10    0.13313E-12    0.71620E-16
  2996    0.24551E+02   -0.14961E+01    0.32084E-10   -0.14961E+01    0.69475E+00    0.10886E-12    0.32084E-10    0.10886E-12    0.71519E-16
  2997    0.24502E+02   -0.14799E+01    0.32136E-10   -0.14799E+01    0.69031E+00    0.84742E-13    0.32136E-10    0.84742E-13    0.71418E-16
  2998    0.24452E+02   -0.14641E+01    0.32188E-10   -0.14641E+01    0.68597E+00    0.60759E-13    0.32188E-10    0.60759E-13    0.71318E-16
  2999    0.24401E+02   -0.14480E+01    0.32241E-10   -0.14480E+01    0.68173E+00    0.36921E-13    0.32241E-10    0.36921E-13    0.71217E-16
  3000    0.24351E+02   -0.14320E+01    0.32294E-10   -0.14320E+01    0.67760E+00    0.13228E-13    0.32294E-10    0.13228E-13    0.71117E-16
  3001    0.24299E+02   -0.14160E+01    0.32347E-10   -0.14160E+01    0.67350E+00   -0.10316E-13    0.32347E-10   -0.10316E-13    0.71017E-16
  3002    0.24247E+02   -0.14001E+01    0.32401E-10   -0.14001E+01    0.66958E+00   -0.33711E-13    0.32401E-10   -0.33711E-13    0.70916E-16
  3003    0.24193E+02   -0.13842E+01    0.32455E-10   -0.13842E+01    0.66569E+00   -0.56955E-13    0.32455E-10   -0.56955E-13    0.70817E-16
  3004    0.24139E+02   -0.13683E+01    0.32509E-10   -0.13683E+01    0.66190E+00   -0.80047E-13    0.32509E-10   -0.80047E-13    0.70717E-16
  3005    0.24085E+02   -0.13525E+01    0.32563E-10   -0.13525E+01    0.65828E+00   -0.10299E-12    0.32563E-10   -0.10299E-12    0.70617E-16
  3006    0.24030E+02   -0.13367E+01    0.32618E-10   -0.13367E+01    0.65469E+00   -0.12577E-12    0.32618E-10   -0.12577E-12    0.70518E-16
  3007    0.23974E+02   -0.13209E+01    0.32673E-10   -0.13209E+01    0.65120E+00   -0.14840E-12    0.32673E-10   -0.14840E-12    0.70419E-16
  3008    0.23918E+02   -0.13052E+01    0.32728E-10   -0.13052E+01    0.64773E+00   -0.17087E-12    0.32728E-10   -0.17087E-12    0.70320E-16
  3009    0.23861E+02   -0.12896E+01    0.32784E-10   -0.12896E+01    0.64447E+00   -0.19319E-12    0.32784E-10   -0.19319E-12    0.70221E-16
  3010    0.23803E+02   -0.12740E+01    0.32840E-10   -0.12740E+01    0.64132E+00   -0.21534E-12    0.32840E-10   -0.21534E-12    0.70122E-16
  3011    0.23745E+02   -0.12585E+01    0.32896E-10   -0.12585E+01    0.63818E+00   -0.23734E-12    0.32896E-10   -0.23734E-12    0.70024E-16
  3012    0.23686E+02   -0.12431E+01    0.32952E-10   -0.12431E+01    0.63516E+00   -0.25917E-12    0.32952E-10   -0.25917E-12    0.69926E-16
  3013    0.23626E+02   -0.12277E+01    0.33008E-10   -0.12277E+01    0.63223E+00   -0.28084E-12    0.33008E-10   -0.28084E-12    0.69827E-16
  3014    0.23567E+02   -0.12124E+01    0.33065E-10   -0.12124E+01    0.62941E+00   -0.30235E-12    0.33065E-10   -0.30235E-12    0.69729E-16
  3015    0.23505E+02   -0.11971E+01    0.33121E-10   -0.11971E+01    0.62666E+00   -0.32369E-12    0.33121E-10   -0.32369E-12    0.69632E-16
  3016    0.23444E+02   -0.11821E+01    0.33178E-10   -0.11821E+01    0.62400E+00   -0.34487E-12    0.33178E-10   -0.34487E-12    0.69534E-16
  3017    0.23381E+02   -0.11670E+01    0.33235E-10   -0.11670E+01    0.62144E+00   -0.36588E-12    0.33235E-10   -0.36588E-12    0.69436E-16
  3018    0.23319E+02   -0.11521E+01    0.33292E-10   -0.11521E+01    0.61896E+00   -0.38672E-12    0.33292E-10   -0.38672E-12    0.69339E-16
  3019    0.23256E+02   -0.11373E+01    0.33350E-10   -0.11373E+01    0.61656E+00   -0.40739E-12    0.33350E-10   -0.40739E-12    0.69242E-16
  3020    0.23193E+02   -0.11225E+01    0.33407E-10   -0.11225E+01    0.61426E+00   -0.42789E-12    0.33407E-10   -0.42789E-12    0.69145E-16
  3021    0.23127E+02   -0.11080E+01    0.33465E-10   -0.11080E+01    0.61206E+00   -0.44822E-12    0.33465E-10   -0.44822E-12    0.69048E-16
  3022    0.23063E+02   -0.10934E+01    0.33522E-10   -0.10934E+01    0.60994E+00   -0.46837E-12    0.33522E-10   -0.46837E-12    0.68951E-16
  3023    0.22996E+02   -0.10790E+01    0.33580E-10   -0.10790E+01    0.60792E+00   -0.48835E-12    0.33580E-10   -0.48835E-12    0.68855E-16
  3024    0.22930E+02   -0.10646E+01    0.33637E-10   -0.10646E+01    0.60598E+00   -0.50815E-12    0.33637E-10   -0.50815E-12    0.68759E-16
  3025    0.22865E+02   -0.10505E+01    0.33695E-10   -0.10505E+01    0.60413E+00   -0.52778E-12    0.33695E-10   -0.52778E-12    0.68662E-16
  3026    0.22800E+02   -0.10364E+01    0.33753E-10   -0.10364E+01    0.60237E+00   -0.54723E-12    0.33753E-10   -0.54723E-12    0.68566E-16
  3027    0.22732E+02   -0.10225E+01    0.33811E-10   -0.10225E+01    0.60069E+00   -0.56650E-12    0.33811E-10   -0.56650E-12    0.68471E-16
  3028    0.22664E+02   -0.10087E+01    0.33869E-10   -0.10087E+01    0.59911E+00   -0.58559E-12    0.33869E-10   -0.58559E-12    0.68375E-16
  3029    0.22596E+02   -0.99510E+00    0.33926E-10   -0.99510E+00    0.59760E+00   -0.60450E-12    0.33926E-10   -0.60450E-12    0.68279E-16
  3030    0.22527E+02   -0.98158E+00    0.33984E-10   -0.98158E+00    0.59619E+00   -0.62322E-12    0.33984E-10   -0.62322E-12    0.68184E-16
  3031    0.22459E+02   -0.96827E+00    0.34042E-10   -0.96827E+00    0.59485E+00   -0.64176E-12    0.34042E-10   -0.64176E-12    0.68089E-16
  3032    0.22389E+02   -0.95510E+00    0.34100E-10   -0.95510E+00    0.59360E+00   -0.66012E-12    0.34100E-10   -0.66012E-12    0.67994E-16
  3033    0.22319E+02   -0.94206E+00    0.34157E-10   -0.94206E+00    0.59241E+00   -0.67829E-12    0.34157E-10   -0.67829E-12    0.67899E-16
  3034    0.22249E+02   -0.92916E+00    0.34215E-10   -0.92916E+00    0.59133E+00   -0.69627E-12    0.34215E-10   -0.69627E-12    0.67804E-16
  3035    0.22179E+02   -0.91646E+00    0.34273E-10   -0.91646E+00    0.59032E+00   -0.71406E-12    0.34273E-10   -0.71406E-12    0.67710E-16
  3036    0.22108E+02   -0.90382E+00    0.34330E-10   -0.90382E+00    0.58939E+00   -0.73166E-12    0.34330E-10   -0.73166E-12    0.67615E-16
  3037    0.22036E+02   -0.89146E+00    0.34387E-10   -0.89146E+00    0.58854E+00   -0.74908E-12    0.34387E-10   -0.74908E-12    0.67521E-16
  3038    0.21966E+02   -0.87922E+00    0.34445E-10   -0.87922E+00    0.58776E+00   -0.76630E-12    0.34445E-10   -0.76630E-12    0.67427E-16
  3039    0.21894E+02   -0.86727E+00    0.34502E-10   -0.86727E+00    0.58705E+00   -0.78332E-12    0.34502E-10   -0.78332E-12    0.67333E-16
  3040    0.21822E+02   -0.85544E+00    0.34559E-10   -0.85544E+00    0.58642E+00   -0.80015E-12    0.34559E-10   -0.80015E-12    0.67239E-16
  3041    0.21749E+02   -0.84373E+00    0.34615E-10   -0.84373E+00    0.58587E+00   -0.81679E-12    0.34615E-10   -0.81679E-12    0.67146E-16
  3042    0.21677E+02   -0.83231E+00    0.34672E-10   -0.83231E+00    0.58539E+00   -0.83323E-12    0.34672E-10   -0.83323E-12    0.67052E-16
  3043    0.21603E+02   -0.82100E+00    0.34728E-10   -0.82100E+00    0.58498E+00   -0.84947E-12    0.34728E-10   -0.84947E-12    0.66959E-16
  3044    0.21530E+02   -0.80989E+00    0.34785E-10   -0.80989E+00    0.58465E+00   -0.86551E-12    0.34785E-10   -0.86551E-12    0.66866E-16
