#    L    TT             EE             BB             TE          
     2    0.10996E+04    0.35375E-01    0.80927E-03    0.28254E+01
     3    0.10315E+04    0.47563E-01    0.82154E-03    0.32154E+01
     4    0.97087E+03    0.43835E-01    0.71407E-03    0.30732E+01
     5    0.92573E+03    0.31532E-01    0.55859E-03    0.26698E+01
     6    0.89441E+03    0.18984E-01    0.40800E-03    0.21929E+01
     7    0.87388E+03    0.10482E-01    0.29053E-03    0.17501E+01
     8    0.86090E+03    0.62473E-02    0.21417E-03    0.13923E+01
     9    0.85383E+03    0.46088E-02    0.17526E-03    0.11340E+01
    10    0.85110E+03    0.39517E-02    0.16530E-03    0.97280E+00
    11    0.85125E+03    0.34829E-02    0.17513E-03    0.89474E+00
    12    0.85483E+03    0.31862E-02    0.19743E-03    0.88171E+00
    13    0.86014E+03    0.28351E-02    0.22751E-03    0.90952E+00
    14    0.86621E+03    0.27891E-02    0.26178E-03    0.95460E+00
    15    0.87344E+03    0.29825E-02    0.29882E-03    0.10093E+01
    16    0.88235E+03    0.32504E-02    0.33786E-03    0.10705E+01
    17    0.89291E+03    0.36790E-02    0.37856E-03    0.11336E+01
    18    0.90417E+03    0.42195E-02    0.42076E-03    0.11960E+01
    19    0.91695E+03    0.48797E-02    0.46438E-03    0.12581E+01
    20    0.92954E+03    0.57233E-02    0.50939E-03    0.13185E+01
    21    0.94233E+03    0.67124E-02    0.55572E-03    0.13813E+01
    22    0.95564E+03    0.78687E-02    0.60329E-03    0.14493E+01
    23    0.96928E+03    0.91927E-02    0.65203E-03    0.15190E+01
    24    0.98332E+03    0.10653E-01    0.70187E-03    0.15858E+01
    25    0.99771E+03    0.12280E-01    0.75268E-03    0.16487E+01
    26    0.10123E+04    0.14075E-01    0.80436E-03    0.17082E+01
    27    0.10272E+04    0.16024E-01    0.85693E-03    0.17615E+01
    28    0.10424E+04    0.18139E-01    0.91040E-03    0.18068E+01
    29    0.10580E+04    0.20437E-01    0.96475E-03    0.18441E+01
    30    0.10738E+04    0.22943E-01    0.10199E-02    0.18730E+01
    31    0.10896E+04    0.25660E-01    0.10757E-02    0.18941E+01
    32    0.11058E+04    0.28579E-01    0.11321E-02    0.19082E+01
    33    0.11223E+04    0.31705E-01    0.11891E-02    0.19134E+01
    34    0.11390E+04    0.35056E-01    0.12464E-02    0.19089E+01
    35    0.11558E+04    0.38647E-01    0.13040E-02    0.18970E+01
    36    0.11727E+04    0.42493E-01    0.13616E-02    0.18789E+01
    37    0.11897E+04    0.46585E-01    0.14195E-02    0.18513E+01
    38    0.12071E+04    0.50915E-01    0.14776E-02    0.18123E+01
    39    0.12248E+04    0.55488E-01    0.15359E-02    0.17620E+01
    40    0.12427E+04    0.60316E-01    0.15940E-02    0.17011E+01
    41    0.12608E+04    0.65415E-01    0.16520E-02    0.16295E+01
    42    0.12789E+04    0.70795E-01    0.17096E-02    0.15463E+01
    43    0.12971E+04    0.76462E-01    0.17668E-02    0.14507E+01
    44    0.13153E+04    0.82411E-01    0.18237E-02    0.13426E+01
    45    0.13339E+04    0.88644E-01    0.18801E-02    0.12218E+01
    46    0.13527E+04    0.95165E-01    0.19361E-02    0.10866E+01
    47    0.13717E+04    0.10197E+00    0.19915E-02    0.93797E+00
    48    0.13907E+04    0.10907E+00    0.20462E-02    0.78006E+00
    49    0.14099E+04    0.11643E+00    0.21003E-02    0.61657E+00
    50    0.14295E+04    0.12403E+00    0.21536E-02    0.44438E+00
    51    0.14492E+04    0.13184E+00    0.22060E-02    0.25891E+00
    52    0.14693E+04    0.13995E+00    0.22575E-02    0.55402E-01
    53    0.14894E+04    0.14850E+00    0.23080E-02   -0.16908E+00
    54    0.15094E+04    0.15748E+00    0.23576E-02   -0.40952E+00
    55    0.15296E+04    0.16689E+00    0.24061E-02   -0.66079E+00
    56    0.15501E+04    0.17658E+00    0.24536E-02   -0.92400E+00
    57    0.15709E+04    0.18643E+00    0.25000E-02   -0.11991E+01
    58    0.15921E+04    0.19645E+00    0.25452E-02   -0.14867E+01
    59    0.16133E+04    0.20668E+00    0.25892E-02   -0.17879E+01
    60    0.16348E+04    0.21716E+00    0.26319E-02   -0.21019E+01
    61    0.16567E+04    0.22799E+00    0.26733E-02   -0.24280E+01
    62    0.16785E+04    0.23916E+00    0.27133E-02   -0.27672E+01
    63    0.17003E+04    0.25062E+00    0.27519E-02   -0.31205E+01
    64    0.17226E+04    0.26239E+00    0.27892E-02   -0.34891E+01
    65    0.17450E+04    0.27444E+00    0.28250E-02   -0.38737E+01
    66    0.17676E+04    0.28672E+00    0.28594E-02   -0.42725E+01
    67    0.17905E+04    0.29923E+00    0.28923E-02   -0.46829E+01
    68    0.18137E+04    0.31199E+00    0.29236E-02   -0.51032E+01
    69    0.18372E+04    0.32496E+00    0.29535E-02   -0.55319E+01
    70    0.18609E+04    0.33820E+00    0.29818E-02   -0.59708E+01
    71    0.18848E+04    0.35168E+00    0.30085E-02   -0.64222E+01
    72    0.19089E+04    0.36537E+00    0.30336E-02   -0.68875E+01
    73    0.19331E+04    0.37924E+00    0.30571E-02   -0.73669E+01
    74    0.19575E+04    0.39328E+00    0.30790E-02   -0.78594E+01
    75    0.19823E+04    0.40750E+00    0.30994E-02   -0.83632E+01
    76    0.20073E+04    0.42190E+00    0.31181E-02   -0.88777E+01
    77    0.20327E+04    0.43647E+00    0.31353E-02   -0.94025E+01
    78    0.20584E+04    0.45124E+00    0.31509E-02   -0.99392E+01
    79    0.20844E+04    0.46614E+00    0.31649E-02   -0.10484E+02
    80    0.21106E+04    0.48119E+00    0.31773E-02   -0.11038E+02
    81    0.21371E+04    0.49633E+00    0.31880E-02   -0.11602E+02
    82    0.21638E+04    0.51157E+00    0.31972E-02   -0.12176E+02
    83    0.21907E+04    0.52691E+00    0.32048E-02   -0.12758E+02
    84    0.22179E+04    0.54232E+00    0.32108E-02   -0.13347E+02
    85    0.22452E+04    0.55779E+00    0.32152E-02   -0.13944E+02
    86    0.22727E+04    0.57332E+00    0.32181E-02   -0.14549E+02
    87    0.23006E+04    0.58889E+00    0.32193E-02   -0.15161E+02
    88    0.23286E+04    0.60451E+00    0.32190E-02   -0.15778E+02
    89    0.23569E+04    0.62016E+00    0.32171E-02   -0.16403E+02
    90    0.23854E+04    0.63581E+00    0.32137E-02   -0.17033E+02
    91    0.24140E+04    0.65144E+00    0.32088E-02   -0.17669E+02
    92    0.24430E+04    0.66705E+00    0.32024E-02   -0.18309E+02
    93    0.24723E+04    0.68263E+00    0.31945E-02   -0.18954E+02
    94    0.25016E+04    0.69813E+00    0.31853E-02   -0.19602E+02
    95    0.25313E+04    0.71355E+00    0.31746E-02   -0.20254E+02
    96    0.25609E+04    0.72889E+00    0.31626E-02   -0.20909E+02
    97    0.25910E+04    0.74413E+00    0.31492E-02   -0.21566E+02
    98    0.26213E+04    0.75925E+00    0.31346E-02   -0.22224E+02
    99    0.26517E+04    0.77423E+00    0.31187E-02   -0.22886E+02
   100    0.26824E+04    0.78905E+00    0.31016E-02   -0.23546E+02
   101    0.27133E+04    0.80379E+00    0.30833E-02   -0.24208E+02
   102    0.27447E+04    0.81829E+00    0.30638E-02   -0.24870E+02
   103    0.27760E+04    0.83262E+00    0.30432E-02   -0.25532E+02
   104    0.28075E+04    0.84679E+00    0.30215E-02   -0.26192E+02
   105    0.28392E+04    0.86072E+00    0.29987E-02   -0.26851E+02
   106    0.28711E+04    0.87448E+00    0.29749E-02   -0.27508E+02
   107    0.29030E+04    0.88792E+00    0.29501E-02   -0.28161E+02
   108    0.29352E+04    0.90113E+00    0.29243E-02   -0.28813E+02
   109    0.29676E+04    0.91402E+00    0.28976E-02   -0.29460E+02
   110    0.30001E+04    0.92659E+00    0.28700E-02   -0.30102E+02
   111    0.30328E+04    0.93893E+00    0.28415E-02   -0.30741E+02
   112    0.30656E+04    0.95094E+00    0.28122E-02   -0.31374E+02
   113    0.30986E+04    0.96264E+00    0.27821E-02   -0.32002E+02
   114    0.31317E+04    0.97395E+00    0.27512E-02   -0.32622E+02
   115    0.31651E+04    0.98501E+00    0.27197E-02   -0.33235E+02
   116    0.31984E+04    0.99561E+00    0.26874E-02   -0.33841E+02
   117    0.32320E+04    0.10058E+01    0.26546E-02   -0.34438E+02
   118    0.32658E+04    0.10158E+01    0.26212E-02   -0.35027E+02
   119    0.32996E+04    0.10254E+01    0.25872E-02   -0.35605E+02
   120    0.33335E+04    0.10344E+01    0.25527E-02   -0.36174E+02
   121    0.33674E+04    0.10432E+01    0.25178E-02   -0.36732E+02
   122    0.34014E+04    0.10514E+01    0.24824E-02   -0.37279E+02
   123    0.34355E+04    0.10592E+01    0.24467E-02   -0.37815E+02
   124    0.34696E+04    0.10666E+01    0.24106E-02   -0.38336E+02
   125    0.35037E+04    0.10735E+01    0.23742E-02   -0.38846E+02
   126    0.35378E+04    0.10800E+01    0.23376E-02   -0.39342E+02
   127    0.35720E+04    0.10860E+01    0.23008E-02   -0.39825E+02
   128    0.36061E+04    0.10916E+01    0.22637E-02   -0.40294E+02
   129    0.36403E+04    0.10967E+01    0.22266E-02   -0.40747E+02
   130    0.36744E+04    0.11012E+01    0.21893E-02   -0.41184E+02
   131    0.37086E+04    0.11053E+01    0.21520E-02   -0.41607E+02
   132    0.37428E+04    0.11089E+01    0.21147E-02   -0.42012E+02
   133    0.37769E+04    0.11120E+01    0.20774E-02   -0.42402E+02
   134    0.38109E+04    0.11146E+01    0.20401E-02   -0.42772E+02
   135    0.38450E+04    0.11167E+01    0.20029E-02   -0.43125E+02
   136    0.38789E+04    0.11183E+01    0.19657E-02   -0.43458E+02
   137    0.39127E+04    0.11194E+01    0.19287E-02   -0.43773E+02
   138    0.39465E+04    0.11199E+01    0.18918E-02   -0.44069E+02
   139    0.39801E+04    0.11201E+01    0.18551E-02   -0.44344E+02
   140    0.40137E+04    0.11197E+01    0.18186E-02   -0.44599E+02
   141    0.40471E+04    0.11187E+01    0.17824E-02   -0.44833E+02
   142    0.40804E+04    0.11173E+01    0.17464E-02   -0.45046E+02
   143    0.41137E+04    0.11154E+01    0.17107E-02   -0.45238E+02
   144    0.41468E+04    0.11129E+01    0.16753E-02   -0.45409E+02
   145    0.41797E+04    0.11101E+01    0.16402E-02   -0.45557E+02
   146    0.42126E+04    0.11067E+01    0.16055E-02   -0.45683E+02
   147    0.42452E+04    0.11029E+01    0.15713E-02   -0.45785E+02
   148    0.42777E+04    0.10986E+01    0.15374E-02   -0.45866E+02
   149    0.43100E+04    0.10938E+01    0.15040E-02   -0.45922E+02
   150    0.43421E+04    0.10886E+01    0.14711E-02   -0.45953E+02
   151    0.43740E+04    0.10830E+01    0.14387E-02   -0.45961E+02
   152    0.44056E+04    0.10769E+01    0.14069E-02   -0.45944E+02
   153    0.44371E+04    0.10704E+01    0.13756E-02   -0.45901E+02
   154    0.44683E+04    0.10635E+01    0.13448E-02   -0.45834E+02
   155    0.44994E+04    0.10562E+01    0.13145E-02   -0.45742E+02
   156    0.45300E+04    0.10486E+01    0.12849E-02   -0.45624E+02
   157    0.45606E+04    0.10405E+01    0.12557E-02   -0.45480E+02
   158    0.45908E+04    0.10322E+01    0.12272E-02   -0.45311E+02
   159    0.46208E+04    0.10235E+01    0.11993E-02   -0.45115E+02
   160    0.46505E+04    0.10144E+01    0.11719E-02   -0.44892E+02
   161    0.46800E+04    0.10051E+01    0.11451E-02   -0.44643E+02
   162    0.47091E+04    0.99550E+00    0.11190E-02   -0.44369E+02
   163    0.47381E+04    0.98557E+00    0.10935E-02   -0.44067E+02
   164    0.47667E+04    0.97542E+00    0.10686E-02   -0.43739E+02
   165    0.47950E+04    0.96498E+00    0.10443E-02   -0.43383E+02
   166    0.48231E+04    0.95440E+00    0.10207E-02   -0.43001E+02
   167    0.48509E+04    0.94346E+00    0.99771E-03   -0.42592E+02
   168    0.48783E+04    0.93253E+00    0.97540E-03   -0.42156E+02
   169    0.49053E+04    0.92132E+00    0.95376E-03   -0.41691E+02
   170    0.49320E+04    0.91004E+00    0.93279E-03   -0.41200E+02
   171    0.49583E+04    0.89870E+00    0.91251E-03   -0.40680E+02
   172    0.49841E+04    0.88723E+00    0.89293E-03   -0.40133E+02
   173    0.50095E+04    0.87563E+00    0.87405E-03   -0.39558E+02
   174    0.50345E+04    0.86419E+00    0.85588E-03   -0.38956E+02
   175    0.50592E+04    0.85262E+00    0.83843E-03   -0.38325E+02
   176    0.50833E+04    0.84115E+00    0.82171E-03   -0.37667E+02
   177    0.51070E+04    0.82969E+00    0.80570E-03   -0.36982E+02
   178    0.51302E+04    0.81849E+00    0.79039E-03   -0.36269E+02
   179    0.51529E+04    0.80723E+00    0.77577E-03   -0.35528E+02
   180    0.51753E+04    0.79614E+00    0.76183E-03   -0.34760E+02
   181    0.51972E+04    0.78524E+00    0.74854E-03   -0.33966E+02
   182    0.52186E+04    0.77458E+00    0.73590E-03   -0.33143E+02
   183    0.52394E+04    0.76410E+00    0.72389E-03   -0.32295E+02
   184    0.52599E+04    0.75388E+00    0.71250E-03   -0.31419E+02
   185    0.52798E+04    0.74406E+00    0.70172E-03   -0.30519E+02
   186    0.52990E+04    0.73451E+00    0.69152E-03   -0.29590E+02
   187    0.53179E+04    0.72537E+00    0.68191E-03   -0.28635E+02
   188    0.53363E+04    0.71662E+00    0.67286E-03   -0.27656E+02
   189    0.53541E+04    0.70831E+00    0.66435E-03   -0.26650E+02
   190    0.53717E+04    0.70048E+00    0.65639E-03   -0.25620E+02
