#    L    TT             EE             BB             TE          
     2    0.10996E+04    0.35377E-01    0.81102E-03    0.28254E+01
     3    0.10315E+04    0.47566E-01    0.82505E-03    0.32154E+01
     4    0.97088E+03    0.43841E-01    0.71992E-03    0.30732E+01
     5    0.92574E+03    0.31541E-01    0.56736E-03    0.26698E+01
     6    0.89443E+03    0.18997E-01    0.42028E-03    0.21929E+01
     7    0.87391E+03    0.10498E-01    0.30691E-03    0.17501E+01
     8    0.86094E+03    0.62683E-02    0.23524E-03    0.13923E+01
     9    0.85388E+03    0.46352E-02    0.20160E-03    0.11340E+01
    10    0.85116E+03    0.39839E-02    0.19751E-03    0.97279E+00
    11    0.85132E+03    0.35215E-02    0.21380E-03    0.89472E+00
    12    0.85491E+03    0.32319E-02    0.24316E-03    0.88169E+00
    13    0.86024E+03    0.28884E-02    0.28088E-03    0.90949E+00
    14    0.86633E+03    0.28508E-02    0.32340E-03    0.95457E+00
    15    0.87357E+03    0.30530E-02    0.36929E-03    0.10093E+01
    16    0.88250E+03    0.33303E-02    0.41778E-03    0.10705E+01
    17    0.89307E+03    0.37689E-02    0.46853E-03    0.11335E+01
    18    0.90435E+03    0.43200E-02    0.52139E-03    0.11960E+01
    19    0.91715E+03    0.49915E-02    0.57627E-03    0.12580E+01
    20    0.92976E+03    0.58469E-02    0.63315E-03    0.13183E+01
    21    0.94257E+03    0.68486E-02    0.69196E-03    0.13811E+01
    22    0.95590E+03    0.80179E-02    0.75263E-03    0.14491E+01
    23    0.96956E+03    0.93556E-02    0.81508E-03    0.15187E+01
    24    0.98363E+03    0.10830E-01    0.87925E-03    0.15855E+01
    25    0.99804E+03    0.12472E-01    0.94500E-03    0.16484E+01
    26    0.10126E+04    0.14282E-01    0.10122E-02    0.17078E+01
    27    0.10276E+04    0.16247E-01    0.10810E-02    0.17611E+01
    28    0.10428E+04    0.18379E-01    0.11513E-02    0.18063E+01
    29    0.10584E+04    0.20695E-01    0.12230E-02    0.18436E+01
    30    0.10742E+04    0.23218E-01    0.12962E-02    0.18724E+01
    31    0.10901E+04    0.25954E-01    0.13707E-02    0.18935E+01
    32    0.11063E+04    0.28892E-01    0.14464E-02    0.19075E+01
    33    0.11229E+04    0.32038E-01    0.15233E-02    0.19126E+01
    34    0.11396E+04    0.35409E-01    0.16012E-02    0.19080E+01
    35    0.11564E+04    0.39020E-01    0.16799E-02    0.18960E+01
    36    0.11733E+04    0.42888E-01    0.17594E-02    0.18779E+01
    37    0.11903E+04    0.47002E-01    0.18397E-02    0.18501E+01
    38    0.12077E+04    0.51355E-01    0.19209E-02    0.18110E+01
    39    0.12255E+04    0.55951E-01    0.20028E-02    0.17607E+01
    40    0.12434E+04    0.60803E-01    0.20853E-02    0.16996E+01
    41    0.12615E+04    0.65926E-01    0.21682E-02    0.16279E+01
    42    0.12797E+04    0.71330E-01    0.22513E-02    0.15447E+01
    43    0.12979E+04    0.77023E-01    0.23348E-02    0.14490E+01
