#    L    TT             EE             BB             TE          
     2    0.11242E+04    0.35828E-01    0.16185E-02    0.28544E+01
     3    0.10513E+04    0.48043E-01    0.16431E-02    0.32157E+01
     4    0.98951E+03    0.44271E-01    0.14281E-02    0.30650E+01
     5    0.94399E+03    0.31877E-01    0.11172E-02    0.26594E+01
     6    0.91257E+03    0.19235E-01    0.81599E-03    0.21827E+01
     7    0.89206E+03    0.10663E-01    0.58106E-03    0.17408E+01
     8    0.87917E+03    0.63906E-02    0.42835E-03    0.13838E+01
     9    0.87220E+03    0.47428E-02    0.35052E-03    0.11257E+01
    10    0.86959E+03    0.40962E-02    0.33060E-03    0.96454E+00
    11    0.86984E+03    0.36500E-02    0.35027E-03    0.88602E+00
    12    0.87349E+03    0.33826E-02    0.39487E-03    0.87230E+00
    13    0.87885E+03    0.30647E-02    0.45501E-03    0.89918E+00
    14    0.88497E+03    0.30548E-02    0.52356E-03    0.94313E+00
    15    0.89226E+03    0.32863E-02    0.59764E-03    0.99651E+00
    16    0.90124E+03    0.35942E-02    0.67571E-03    0.10562E+01
    17    0.91185E+03    0.40647E-02    0.75713E-03    0.11175E+01
    18    0.92316E+03    0.46488E-02    0.84152E-03    0.11780E+01
    19    0.93595E+03    0.53543E-02    0.92876E-03    0.12381E+01
    20    0.94854E+03    0.62450E-02    0.10188E-02    0.12964E+01
    21    0.96132E+03    0.72830E-02    0.11114E-02    0.13571E+01
    22    0.97460E+03    0.84899E-02    0.12066E-02    0.14228E+01
    23    0.98820E+03    0.98662E-02    0.13041E-02    0.14899E+01
    24    0.10022E+04    0.11380E-01    0.14037E-02    0.15542E+01
    25    0.10165E+04    0.13062E-01    0.15054E-02    0.16145E+01
    26    0.10310E+04    0.14913E-01    0.16087E-02    0.16713E+01
    27    0.10459E+04    0.16919E-01    0.17139E-02    0.17219E+01
    28    0.10610E+04    0.19092E-01    0.18208E-02    0.17644E+01
    29    0.10765E+04    0.21450E-01    0.19295E-02    0.17989E+01
    30    0.10922E+04    0.24017E-01    0.20398E-02    0.18248E+01
    31    0.11079E+04    0.26798E-01    0.21514E-02    0.18430E+01
    32    0.11240E+04    0.29782E-01    0.22643E-02    0.18541E+01
    33    0.11404E+04    0.32974E-01    0.23781E-02    0.18562E+01
    34    0.11569E+04    0.36390E-01    0.24928E-02    0.18486E+01
    35    0.11736E+04    0.40047E-01    0.26079E-02    0.18336E+01
    36    0.11904E+04    0.43960E-01    0.27233E-02    0.18125E+01
    37    0.12072E+04    0.48121E-01    0.28390E-02    0.17817E+01
    38    0.12244E+04    0.52520E-01    0.29552E-02    0.17396E+01
    39    0.12420E+04    0.57164E-01    0.30717E-02    0.16863E+01
    40    0.12597E+04    0.62062E-01    0.31881E-02    0.16223E+01
    41    0.12776E+04    0.67232E-01    0.33039E-02    0.15477E+01
    42    0.12956E+04    0.72683E-01    0.34192E-02    0.14615E+01
    43    0.13136E+04    0.78422E-01    0.35337E-02    0.13630E+01
    44    0.13316E+04    0.84442E-01    0.36474E-02    0.12519E+01
    45    0.13500E+04    0.90747E-01    0.37603E-02    0.11282E+01
    46    0.13687E+04    0.97341E-01    0.38722E-02    0.99018E+00
    47    0.13874E+04    0.10422E+00    0.39830E-02    0.83871E+00
    48    0.14063E+04    0.11139E+00    0.40925E-02    0.67806E+00
    49    0.14253E+04    0.11882E+00    0.42006E-02    0.51189E+00
    50    0.14446E+04    0.12650E+00    0.43071E-02    0.33709E+00
    51    0.14642E+04    0.13438E+00    0.44119E-02    0.14909E+00
    52    0.14841E+04    0.14256E+00    0.45149E-02   -0.56875E-01
    53    0.15040E+04    0.15118E+00    0.46160E-02   -0.28374E+00
    54    0.15238E+04    0.16024E+00    0.47152E-02   -0.52648E+00
    55    0.15437E+04    0.16972E+00    0.48123E-02   -0.77996E+00
    56    0.15640E+04    0.17947E+00    0.49073E-02   -0.10453E+01
    57    0.15846E+04    0.18939E+00    0.50000E-02   -0.13224E+01
    58    0.16055E+04    0.19949E+00    0.50904E-02   -0.16121E+01
    59    0.16265E+04    0.20978E+00    0.51784E-02   -0.19151E+01
    60    0.16478E+04    0.22033E+00    0.52638E-02   -0.22308E+01
    61    0.16694E+04    0.23123E+00    0.53466E-02   -0.25586E+01
    62    0.16910E+04    0.24246E+00    0.54266E-02   -0.28993E+01
    63    0.17127E+04    0.25399E+00    0.55039E-02   -0.32540E+01
    64    0.17347E+04    0.26582E+00    0.55784E-02   -0.36240E+01
    65    0.17568E+04    0.27795E+00    0.56500E-02   -0.40099E+01
    66    0.17793E+04    0.29029E+00    0.57187E-02   -0.44099E+01
    67    0.18019E+04    0.30285E+00    0.57845E-02   -0.48213E+01
    68    0.18249E+04    0.31567E+00    0.58473E-02   -0.52426E+01
    69    0.18481E+04    0.32871E+00    0.59070E-02   -0.56721E+01
    70    0.18716E+04    0.34200E+00    0.59636E-02   -0.61117E+01
    71    0.18953E+04    0.35554E+00    0.60170E-02   -0.65638E+01
    72    0.19191E+04    0.36928E+00    0.60672E-02   -0.70295E+01
    73    0.19431E+04    0.38321E+00    0.61142E-02   -0.75093E+01
    74    0.19673E+04    0.39731E+00    0.61581E-02   -0.80021E+01
    75    0.19919E+04    0.41158E+00    0.61988E-02   -0.85062E+01
    76    0.20167E+04    0.42603E+00    0.62363E-02   -0.90208E+01
    77    0.20418E+04    0.44065E+00    0.62706E-02   -0.95456E+01
    78    0.20674E+04    0.45546E+00    0.63018E-02   -0.10082E+02
    79    0.20931E+04    0.47041E+00    0.63297E-02   -0.10627E+02
    80    0.21191E+04    0.48551E+00    0.63545E-02   -0.11181E+02
    81    0.21454E+04    0.50069E+00    0.63761E-02   -0.11745E+02
    82    0.21719E+04    0.51597E+00    0.63945E-02   -0.12317E+02
    83    0.21985E+04    0.53135E+00    0.64097E-02   -0.12899E+02
    84    0.22255E+04    0.54680E+00    0.64217E-02   -0.13488E+02
    85    0.22526E+04    0.56230E+00    0.64305E-02   -0.14084E+02
    86    0.22799E+04    0.57787E+00    0.64361E-02   -0.14688E+02
    87    0.23077E+04    0.59347E+00    0.64386E-02   -0.15299E+02
    88    0.23354E+04    0.60912E+00    0.64380E-02   -0.15915E+02
    89    0.23635E+04    0.62480E+00    0.64342E-02   -0.16539E+02
    90    0.23918E+04    0.64047E+00    0.64274E-02   -0.17168E+02
    91    0.24203E+04    0.65613E+00    0.64176E-02   -0.17802E+02
    92    0.24491E+04    0.67176E+00    0.64048E-02   -0.18441E+02
    93    0.24782E+04    0.68736E+00    0.63891E-02   -0.19085E+02
    94    0.25073E+04    0.70288E+00    0.63705E-02   -0.19731E+02
    95    0.25368E+04    0.71832E+00    0.63492E-02   -0.20382E+02
    96    0.25663E+04    0.73367E+00    0.63252E-02   -0.21035E+02
    97    0.25962E+04    0.74892E+00    0.62985E-02   -0.21691E+02
    98    0.26263E+04    0.76406E+00    0.62692E-02   -0.22348E+02
    99    0.26566E+04    0.77904E+00    0.62374E-02   -0.23007E+02
   100    0.26871E+04    0.79388E+00    0.62031E-02   -0.23666E+02
   101    0.27178E+04    0.80862E+00    0.61665E-02   -0.24326E+02
   102    0.27490E+04    0.82312E+00    0.61275E-02   -0.24986E+02
