#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11242E+04    0.35828E-01    0.16185E-02    0.28544E+01    0.50813E-07    0.32067E-02   -0.13133E-04
     3    0.10513E+04    0.48043E-01    0.16431E-02    0.32157E+01    0.61874E-07    0.31998E-02   -0.14446E-04
     4    0.98951E+03    0.44271E-01    0.14281E-02    0.30650E+01    0.71332E-07    0.31184E-02   -0.12745E-04
     5    0.94399E+03    0.31877E-01    0.11172E-02    0.26594E+01    0.79551E-07    0.30098E-02   -0.93697E-05
     6    0.91257E+03    0.19235E-01    0.81599E-03    0.21827E+01    0.86736E-07    0.28945E-02   -0.54366E-05
     7    0.89206E+03    0.10663E-01    0.58106E-03    0.17408E+01    0.93071E-07    0.27824E-02   -0.18297E-05
     8    0.87917E+03    0.63906E-02    0.42835E-03    0.13838E+01    0.98688E-07    0.26733E-02    0.84983E-06
     9    0.87220E+03    0.47428E-02    0.35052E-03    0.11257E+01    0.10370E-06    0.25656E-02    0.23472E-05
    10    0.86959E+03    0.40962E-02    0.33060E-03    0.96454E+00    0.10817E-06    0.24611E-02    0.27598E-05
    11    0.86984E+03    0.36500E-02    0.35027E-03    0.88602E+00    0.11219E-06    0.23650E-02    0.23974E-05
    12    0.87349E+03    0.33826E-02    0.39487E-03    0.87230E+00    0.11579E-06    0.22786E-02    0.15794E-05
    13    0.87885E+03    0.30647E-02    0.45501E-03    0.89918E+00    0.11902E-06    0.21996E-02    0.56693E-06
    14    0.88497E+03    0.30548E-02    0.52356E-03    0.94313E+00    0.12193E-06    0.21254E-02   -0.39844E-06
    15    0.89226E+03    0.32863E-02    0.59764E-03    0.99651E+00    0.12454E-06    0.20535E-02   -0.10764E-05
    16    0.90124E+03    0.35942E-02    0.67571E-03    0.10562E+01    0.12689E-06    0.19825E-02   -0.12997E-05
    17    0.91185E+03    0.40647E-02    0.75713E-03    0.11175E+01    0.12900E-06    0.19142E-02   -0.11800E-05
    18    0.92316E+03    0.46488E-02    0.84152E-03    0.11780E+01    0.13089E-06    0.18506E-02   -0.89215E-06
    19    0.93595E+03    0.53543E-02    0.92876E-03    0.12381E+01    0.13259E-06    0.17911E-02   -0.59887E-06
    20    0.94854E+03    0.62450E-02    0.10188E-02    0.12964E+01    0.13410E-06    0.17345E-02   -0.41680E-06
    21    0.96132E+03    0.72830E-02    0.11114E-02    0.13571E+01    0.13545E-06    0.16805E-02   -0.29596E-06
    22    0.97460E+03    0.84899E-02    0.12066E-02    0.14228E+01    0.13664E-06    0.16290E-02   -0.17500E-06
    23    0.98820E+03    0.98662E-02    0.13041E-02    0.14899E+01    0.13770E-06    0.15800E-02   -0.10863E-06
    24    0.10022E+04    0.11380E-01    0.14037E-02    0.15542E+01    0.13862E-06    0.15337E-02   -0.16149E-06
    25    0.10165E+04    0.13062E-01    0.15054E-02    0.16145E+01    0.13943E-06    0.14897E-02   -0.32507E-06
    26    0.10310E+04    0.14913E-01    0.16087E-02    0.16713E+01    0.14013E-06    0.14478E-02   -0.55437E-06
    27    0.10459E+04    0.16919E-01    0.17139E-02    0.17219E+01    0.14073E-06    0.14077E-02   -0.73091E-06
    28    0.10610E+04    0.19092E-01    0.18208E-02    0.17644E+01    0.14124E-06    0.13689E-02   -0.75346E-06
    29    0.10765E+04    0.21450E-01    0.19295E-02    0.17989E+01    0.14166E-06    0.13318E-02   -0.66034E-06
    30    0.10922E+04    0.24017E-01    0.20398E-02    0.18248E+01    0.14199E-06    0.12966E-02   -0.52616E-06
    31    0.11079E+04    0.26798E-01    0.21514E-02    0.18430E+01    0.14224E-06    0.12629E-02   -0.43299E-06
    32    0.11240E+04    0.29782E-01    0.22643E-02    0.18541E+01    0.14242E-06    0.12305E-02   -0.43890E-06
    33    0.11404E+04    0.32974E-01    0.23781E-02    0.18562E+01    0.14254E-06    0.11991E-02   -0.49999E-06
    34    0.11569E+04    0.36390E-01    0.24928E-02    0.18486E+01    0.14260E-06    0.11688E-02   -0.55205E-06
    35    0.11736E+04    0.40047E-01    0.26079E-02    0.18336E+01    0.14261E-06    0.11396E-02   -0.55036E-06
    36    0.11904E+04    0.43960E-01    0.27233E-02    0.18125E+01    0.14256E-06    0.11115E-02   -0.47495E-06
    37    0.12072E+04    0.48121E-01    0.28390E-02    0.17817E+01    0.14246E-06    0.10849E-02   -0.38500E-06
    38    0.12244E+04    0.52520E-01    0.29552E-02    0.17396E+01    0.14232E-06    0.10598E-02   -0.34118E-06
    39    0.12420E+04    0.57164E-01    0.30717E-02    0.16863E+01    0.14214E-06    0.10359E-02   -0.33221E-06
    40    0.12597E+04    0.62062E-01    0.31881E-02    0.16223E+01    0.14192E-06    0.10129E-02   -0.32898E-06
    41    0.12776E+04    0.67232E-01    0.33039E-02    0.15477E+01    0.14165E-06    0.99040E-03   -0.30910E-06
    42    0.12956E+04    0.72683E-01    0.34192E-02    0.14615E+01    0.14136E-06    0.96834E-03   -0.27673E-06
    43    0.13136E+04    0.78422E-01    0.35337E-02    0.13630E+01    0.14103E-06    0.94682E-03   -0.24264E-06
    44    0.13316E+04    0.84442E-01    0.36474E-02    0.12519E+01    0.14066E-06    0.92593E-03   -0.21755E-06
    45    0.13500E+04    0.90747E-01    0.37603E-02    0.11282E+01    0.14027E-06    0.90577E-03   -0.21215E-06
    46    0.13687E+04    0.97341E-01    0.38722E-02    0.99018E+00    0.13986E-06    0.88638E-03   -0.23461E-06
    47    0.13874E+04    0.10422E+00    0.39830E-02    0.83871E+00    0.13942E-06    0.86770E-03   -0.28303E-06
    48    0.14063E+04    0.11139E+00    0.40925E-02    0.67806E+00    0.13895E-06    0.84965E-03   -0.35301E-06
