#    L    TT             EE             BB             TE          
    91    0.24226E+04    0.65823E+00    0.89666E-02   -0.17796E+02
    92    0.24514E+04    0.67390E+00    0.90104E-02   -0.18434E+02
    93    0.24805E+04    0.68953E+00    0.90520E-02   -0.19077E+02
    94    0.25097E+04    0.70508E+00    0.90915E-02   -0.19722E+02
    95    0.25392E+04    0.72056E+00    0.91288E-02   -0.20372E+02
    96    0.25687E+04    0.73595E+00    0.91641E-02   -0.21024E+02
    97    0.25986E+04    0.75123E+00    0.91974E-02   -0.21679E+02
    98    0.26288E+04    0.76640E+00    0.92289E-02   -0.22334E+02
    99    0.26590E+04    0.78142E+00    0.92585E-02   -0.22993E+02
   100    0.26896E+04    0.79629E+00    0.92863E-02   -0.23650E+02
   101    0.27203E+04    0.81107E+00    0.93125E-02   -0.24309E+02
   102    0.27515E+04    0.82560E+00    0.93370E-02   -0.24967E+02
   103    0.27827E+04    0.83997E+00    0.93600E-02   -0.25626E+02
   104    0.28141E+04    0.85418E+00    0.93814E-02   -0.26282E+02
   105    0.28456E+04    0.86814E+00    0.94015E-02   -0.26938E+02
   106    0.28774E+04    0.88194E+00    0.94202E-02   -0.27591E+02
   107    0.29091E+04    0.89541E+00    0.94377E-02   -0.28241E+02
   108    0.29412E+04    0.90865E+00    0.94539E-02   -0.28889E+02
   109    0.29735E+04    0.92157E+00    0.94690E-02   -0.29532E+02
   110    0.30059E+04    0.93417E+00    0.94830E-02   -0.30170E+02
   111    0.30384E+04    0.94653E+00    0.94960E-02   -0.30804E+02
   112    0.30710E+04    0.95858E+00    0.95080E-02   -0.31434E+02
   113    0.31039E+04    0.97030E+00    0.95193E-02   -0.32057E+02
   114    0.31369E+04    0.98164E+00    0.95298E-02   -0.32673E+02
   115    0.31701E+04    0.99273E+00    0.95396E-02   -0.33282E+02
   116    0.32033E+04    0.10033E+01    0.95489E-02   -0.33883E+02
   117    0.32368E+04    0.10136E+01    0.95577E-02   -0.34476E+02
   118    0.32705E+04    0.10236E+01    0.95661E-02   -0.35060E+02
   119    0.33042E+04    0.10332E+01    0.95741E-02   -0.35634E+02
   120    0.33380E+04    0.10422E+01    0.95820E-02   -0.36198E+02
   121    0.33718E+04    0.10510E+01    0.95897E-02   -0.36752E+02
   122    0.34056E+04    0.10593E+01    0.95974E-02   -0.37294E+02
   123    0.34396E+04    0.10671E+01    0.96050E-02   -0.37825E+02
   124    0.34736E+04    0.10745E+01    0.96129E-02   -0.38342E+02
   125    0.35075E+04    0.10815E+01    0.96209E-02   -0.38846E+02
   126    0.35416E+04    0.10880E+01    0.96292E-02   -0.39338E+02
   127    0.35756E+04    0.10940E+01    0.96380E-02   -0.39816E+02
   128    0.36096E+04    0.10997E+01    0.96472E-02   -0.40280E+02
   129    0.36437E+04    0.11047E+01    0.96569E-02   -0.40728E+02
   130    0.36777E+04    0.11093E+01    0.96674E-02   -0.41160E+02
   131    0.37118E+04    0.11134E+01    0.96785E-02   -0.41578E+02
   132    0.37458E+04    0.11170E+01    0.96905E-02   -0.41978E+02
   133    0.37798E+04    0.11202E+01    0.97033E-02   -0.42363E+02
   134    0.38138E+04    0.11228E+01    0.97171E-02   -0.42728E+02
   135    0.38477E+04    0.11250E+01    0.97319E-02   -0.43076E+02
   136    0.38815E+04    0.11266E+01    0.97477E-02   -0.43404E+02
   137    0.39153E+04    0.11277E+01    0.97647E-02   -0.43714E+02
   138    0.39489E+04    0.11283E+01    0.97828E-02   -0.44004E+02
   139    0.39824E+04    0.11285E+01    0.98022E-02   -0.44274E+02
   140    0.40159E+04    0.11282E+01    0.98229E-02   -0.44525E+02
   141    0.40492E+04    0.11272E+01    0.98450E-02   -0.44754E+02
   142    0.40824E+04    0.11259E+01    0.98686E-02   -0.44962E+02
   143    0.41156E+04    0.11240E+01    0.98936E-02   -0.45149E+02
   144    0.41485E+04    0.11217E+01    0.99203E-02   -0.45315E+02
   145    0.41813E+04    0.11189E+01    0.99485E-02   -0.45458E+02
   146    0.42142E+04    0.11156E+01    0.99785E-02   -0.45579E+02
   147    0.42467E+04    0.11119E+01    0.10010E-01   -0.45677E+02
   148    0.42790E+04    0.11076E+01    0.10044E-01   -0.45752E+02
   149    0.43113E+04    0.11029E+01    0.10079E-01   -0.45804E+02
   150    0.43432E+04    0.10979E+01    0.10117E-01   -0.45830E+02
   151    0.43750E+04    0.10923E+01    0.10156E-01   -0.45833E+02
   152    0.44065E+04    0.10863E+01    0.10197E-01   -0.45812E+02
   153    0.44379E+04    0.10799E+01    0.10241E-01   -0.45765E+02
   154    0.44690E+04    0.10731E+01    0.10287E-01   -0.45693E+02
   155    0.44999E+04    0.10659E+01    0.10334E-01   -0.45597E+02
   156    0.45304E+04    0.10584E+01    0.10384E-01   -0.45475E+02
   157    0.45609E+04    0.10505E+01    0.10436E-01   -0.45327E+02
   158    0.45910E+04    0.10423E+01    0.10490E-01   -0.45153E+02
   159    0.46208E+04    0.10337E+01    0.10546E-01   -0.44953E+02
   160    0.46504E+04    0.10248E+01    0.10605E-01   -0.44727E+02
   161    0.46798E+04    0.10157E+01    0.10665E-01   -0.44474E+02
   162    0.47088E+04    0.10062E+01    0.10728E-01   -0.44196E+02
   163    0.47377E+04    0.99644E+00    0.10794E-01   -0.43890E+02
   164    0.47661E+04    0.98646E+00    0.10861E-01   -0.43559E+02
   165    0.47944E+04    0.97620E+00    0.10931E-01   -0.43200E+02
   166    0.48223E+04    0.96580E+00    0.11003E-01   -0.42814E+02
   167    0.48500E+04    0.95505E+00    0.11077E-01   -0.42403E+02
   168    0.48772E+04    0.94432E+00    0.11154E-01   -0.41963E+02
   169    0.49041E+04    0.93331E+00    0.11233E-01   -0.41496E+02
   170    0.49307E+04    0.92225E+00    0.11314E-01   -0.41002E+02
   171    0.49568E+04    0.91113E+00    0.11398E-01   -0.40479E+02
   172    0.49825E+04    0.89988E+00    0.11484E-01   -0.39929E+02
   173    0.50078E+04    0.88851E+00    0.11572E-01   -0.39352E+02
   174    0.50327E+04    0.87732E+00    0.11663E-01   -0.38748E+02
   175    0.50572E+04    0.86600E+00    0.11757E-01   -0.38115E+02
   176    0.50811E+04    0.85478E+00    0.11853E-01   -0.37455E+02
   177    0.51047E+04    0.84359E+00    0.11951E-01   -0.36768E+02
   178    0.51278E+04    0.83265E+00    0.12051E-01   -0.36054E+02
   179    0.51504E+04    0.82167E+00    0.12154E-01   -0.35311E+02
   180    0.51726E+04    0.81087E+00    0.12259E-01   -0.34542E+02
   181    0.51944E+04    0.80026E+00    0.12367E-01   -0.33747E+02
   182    0.52156E+04    0.78990E+00    0.12477E-01   -0.32924E+02
   183    0.52363E+04    0.77974E+00    0.12588E-01   -0.32074E+02
   184    0.52566E+04    0.76983E+00    0.12702E-01   -0.31198E+02
   185    0.52764E+04    0.76034E+00    0.12819E-01   -0.30297E+02
   186    0.52954E+04    0.75112E+00    0.12937E-01   -0.29368E+02
   187    0.53142E+04    0.74231E+00    0.13057E-01   -0.28414E+02
   188    0.53324E+04    0.73391E+00    0.13179E-01   -0.27434E+02
   189    0.53501E+04    0.72595E+00    0.13304E-01   -0.26429E+02
   190    0.53675E+04    0.71849E+00    0.13430E-01   -0.25400E+02
   191    0.53841E+04    0.71154E+00    0.13558E-01   -0.24344E+02
   192    0.54002E+04    0.70513E+00    0.13688E-01   -0.23264E+02
   193    0.54157E+04    0.69932E+00    0.13820E-01   -0.22160E+02
   194    0.54309E+04    0.69412E+00    0.13953E-01   -0.21032E+02
   195    0.54454E+04    0.68958E+00    0.14089E-01   -0.19881E+02
   196    0.54593E+04    0.68574E+00    0.14226E-01   -0.18706E+02
   197    0.54727E+04    0.68263E+00    0.14365E-01   -0.17509E+02
   198    0.54856E+04    0.68030E+00    0.14505E-01   -0.16290E+02
   199    0.54979E+04    0.67877E+00    0.14647E-01   -0.15048E+02
   200    0.55097E+04    0.67808E+00    0.14790E-01   -0.13785E+02
   201    0.55209E+04    0.67828E+00    0.14935E-01   -0.12500E+02
   202    0.55316E+04    0.67939E+00    0.15082E-01   -0.11195E+02
   203    0.55416E+04    0.68146E+00    0.15230E-01   -0.98691E+01
   204    0.55509E+04    0.68451E+00    0.15379E-01   -0.85247E+01
   205    0.55597E+04    0.68859E+00    0.15530E-01   -0.71601E+01
   206    0.55679E+04    0.69374E+00    0.15682E-01   -0.57765E+01
   207    0.55754E+04    0.69997E+00    0.15835E-01   -0.43743E+01
   208    0.55823E+04    0.70733E+00    0.15990E-01   -0.29542E+01
   209    0.55885E+04    0.71586E+00    0.16145E-01   -0.15165E+01
   210    0.55941E+04    0.72559E+00    0.16302E-01   -0.62129E-01
   211    0.55990E+04    0.73656E+00    0.16461E-01    0.14088E+01
   212    0.56033E+04    0.74880E+00    0.16620E-01    0.28953E+01
   213    0.56070E+04    0.76234E+00    0.16780E-01    0.43974E+01
   214    0.56100E+04    0.77719E+00    0.16941E-01    0.59139E+01
   215    0.56124E+04    0.79354E+00    0.17104E-01    0.74440E+01
   216    0.56141E+04    0.81119E+00    0.17267E-01    0.89882E+01
   217    0.56153E+04    0.83030E+00    0.17431E-01    0.10544E+02
   218    0.56158E+04    0.85088E+00    0.17596E-01    0.12113E+02
   219    0.56157E+04    0.87292E+00    0.17762E-01    0.13695E+02
   220    0.56150E+04    0.89656E+00    0.17928E-01    0.15285E+02
   221    0.56136E+04    0.92174E+00    0.18095E-01    0.16886E+02
   222    0.56117E+04    0.94860E+00    0.18263E-01    0.18497E+02
   223    0.56090E+04    0.97706E+00    0.18432E-01    0.20118E+02
   224    0.56059E+04    0.10071E+01    0.18601E-01    0.21745E+02
   225    0.56021E+04    0.10390E+01    0.18771E-01    0.23381E+02
   226    0.55977E+04    0.10725E+01    0.18941E-01    0.25023E+02
   227    0.55926E+04    0.11078E+01    0.19112E-01    0.26672E+02
   228    0.55870E+04    0.11449E+01    0.19284E-01    0.28326E+02
   229    0.55807E+04    0.11838E+01    0.19455E-01    0.29985E+02
   230    0.55738E+04    0.12245E+01    0.19627E-01    0.31648E+02
   231    0.55663E+04    0.12671E+01    0.19800E-01    0.33315E+02
   232    0.55582E+04    0.13116E+01    0.19972E-01    0.34985E+02
   233    0.55495E+04    0.13580E+01    0.20145E-01    0.36655E+02
   234    0.55400E+04    0.14064E+01    0.20318E-01    0.38327E+02
   235    0.55300E+04    0.14567E+01    0.20491E-01    0.39999E+02
   236    0.55194E+04    0.15090E+01    0.20664E-01    0.41671E+02
   237    0.55081E+04    0.15633E+01    0.20837E-01    0.43342E+02
   238    0.54963E+04    0.16198E+01    0.21011E-01    0.45011E+02
   239    0.54839E+04    0.16782E+01    0.21184E-01    0.46678E+02
   240    0.54708E+04    0.17386E+01    0.21357E-01    0.48341E+02
   241    0.54572E+04    0.18012E+01    0.21529E-01    0.50000E+02
   242    0.54430E+04    0.18658E+01    0.21702E-01    0.51654E+02
   243    0.54283E+04    0.19326E+01    0.21875E-01    0.53302E+02
   244    0.54129E+04    0.20016E+01    0.22047E-01    0.54945E+02
   245    0.53970E+04    0.20727E+01    0.22218E-01    0.56579E+02
   246    0.53805E+04    0.21459E+01    0.22390E-01    0.58207E+02
   247    0.53635E+04    0.22213E+01    0.22561E-01    0.59826E+02
   248    0.53459E+04    0.22991E+01    0.22731E-01    0.61435E+02
   249    0.53279E+04    0.23789E+01    0.22901E-01    0.63035E+02
   250    0.53093E+04    0.24611E+01    0.23070E-01    0.64623E+02
   251    0.52902E+04    0.25454E+01    0.23239E-01    0.66200E+02
   252    0.52704E+04    0.26320E+01    0.23407E-01    0.67765E+02
   253    0.52504E+04    0.27207E+01    0.23575E-01    0.69317E+02
   254    0.52298E+04    0.28117E+01    0.23741E-01    0.70855E+02
   255    0.52087E+04    0.29049E+01    0.23908E-01    0.72379E+02
   256    0.51871E+04    0.30004E+01    0.24073E-01    0.73890E+02
   257    0.51651E+04    0.30980E+01    0.24238E-01    0.75379E+02
   258    0.51425E+04    0.31980E+01    0.24402E-01    0.76859E+02
   259    0.51196E+04    0.33001E+01    0.24565E-01    0.78315E+02
   260    0.50962E+04    0.34045E+01    0.24728E-01    0.79762E+02
   261    0.50724E+04    0.35110E+01    0.24890E-01    0.81177E+02
   262    0.50480E+04    0.36198E+01    0.25051E-01    0.82584E+02
   263    0.50235E+04    0.37308E+01    0.25212E-01    0.83974E+02
   264    0.49984E+04    0.38439E+01    0.25371E-01    0.85340E+02
   265    0.49729E+04    0.39592E+01    0.25530E-01    0.86675E+02
   266    0.49470E+04    0.40768E+01    0.25689E-01    0.88001E+02
   267    0.49206E+04    0.41963E+01    0.25846E-01    0.89296E+02
   268    0.48939E+04    0.43182E+01    0.26003E-01    0.90574E+02
   269    0.48666E+04    0.44421E+01    0.26159E-01    0.91829E+02
   270    0.48392E+04    0.45681E+01    0.26314E-01    0.93060E+02
   271    0.48113E+04    0.46961E+01    0.26468E-01    0.94267E+02
   272    0.47832E+04    0.48264E+01    0.26622E-01    0.95443E+02
   273    0.47547E+04    0.49584E+01    0.26775E-01    0.96602E+02
   274    0.47259E+04    0.50927E+01    0.26927E-01    0.97723E+02
   275    0.46967E+04    0.52288E+01    0.27078E-01    0.98828E+02
   276    0.46673E+04    0.53669E+01    0.27229E-01    0.99895E+02
   277    0.46375E+04    0.55070E+01    0.27378E-01    0.10094E+03
   278    0.46076E+04    0.56490E+01    0.27527E-01    0.10196E+03
   279    0.45773E+04    0.57928E+01    0.27675E-01    0.10294E+03
   280    0.45467E+04    0.59385E+01    0.27823E-01    0.10390E+03
   281    0.45161E+04    0.60861E+01    0.27969E-01    0.10483E+03
   282    0.44850E+04    0.62352E+01    0.28115E-01    0.10572E+03
   283    0.44537E+04    0.63862E+01    0.28260E-01    0.10659E+03
   284    0.44223E+04    0.65389E+01    0.28405E-01    0.10742E+03
   285    0.43907E+04    0.66934E+01    0.28548E-01    0.10822E+03
   286    0.43588E+04    0.68494E+01    0.28691E-01    0.10899E+03
   287    0.43267E+04    0.70070E+01    0.28833E-01    0.10973E+03
   288    0.42945E+04    0.71662E+01    0.28974E-01    0.11043E+03
   289    0.42621E+04    0.73269E+01    0.29115E-01    0.11110E+03
   290    0.42295E+04    0.74890E+01    0.29255E-01    0.11174E+03
